"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"A6NHL2",-21.5444516939,-21.5383657729,-21.7708286483,-22.4470783254,-21.5942382711,-21.5302995041,24,22,22,23,22,22,0.515387321606372,0.84585635359116,0.239323328499999
"A6NHR9",-22.0018068057,-22.0071240413,-21.5584634321,-21.7459613024,-21.2646500931,-21.092155563,27,31,34,32,32,41,0.213632923996017,0.658721560130011,-0.488209106866666
"A6NIZ1",NA,NA,NA,-21.7572684485,-21.2878164062,NA,4,3,1,1,3,4,NA,NA,NA
"A8MPS7",NA,NA,NA,NA,NA,-22.2898665998,NA,NA,NA,1,1,3,NA,NA,NA
"A8MWD9",-19.2120444629,-20.3581042088,-18.8239947329,-20.0377233862,-19.912617503,-19.3762659354,8,8,11,7,8,12,0.450072850979091,0.808277541083384,0.310821139999998
"B4DXR9",NA,NA,NA,NA,-23.2682963808,NA,2,NA,2,2,1,2,NA,NA,NA
"Biognosys|iRT-Kit_WR_fusion",-15.380093399,-15.441438998,-15.3624386932,-15.2506112055,-15.3714502718,-15.4828592519,52,57,60,61,53,65,0.911010122801195,0.957336108220604,-0.0263501203333316
"C9JLW8",NA,-20.1377887541,NA,NA,-20.068136141,NA,2,3,5,2,2,2,NA,NA,NA
"Cont_A0A3Q1M3L6",-19.3019045871,-18.8739873347,-19.1862531551,-18.6828991086,-18.7596981839,-19.1623359543,13,16,17,16,19,17,0.471407567208762,0.827893175074184,-0.252403943366666
"Cont_A2I7N1",-21.5009367646,NA,NA,-22.4271266412,-22.4278164479,-22.8170424038,5,6,5,4,7,9,NA,NA,NA
"Cont_A2I7N3",-22.7177346332,-22.9138060912,-22.0961299387,-22.6654498784,NA,NA,2,2,2,2,1,1,NA,NA,NA
"Cont_G5E513",-22.3769361631,-22.8899143924,-22.0696109868,-21.7982039868,-20.7409988963,-21.4514741604,11,14,14,14,13,11,0.0255623962827746,0.265765765765766,-1.1152614996
"Cont_P00330",-17.8728322058,-17.8012636219,-17.8815237207,-18.5540442057,-18.4682905205,-18.3081034815,75,63,79,49,50,50,0.11317158977763,0.50990099009901,0.591606219766668
"Cont_P00722",NA,NA,-24.2384176381,-22.4246085557,-22.7871987884,-22.442264794,2,2,1,4,9,11,NA,NA,NA
"Cont_P00735",-22.5164742959,-20.9742796702,-21.2947215586,-21.2128475719,-21.0190678996,-20.9818313572,15,19,13,11,16,14,0.23167142383007,0.678350515463918,-0.523909565333334
"Cont_P00761",-16.1038795544,-16.2288143866,-16.2185956975,-16.1445693317,-16.3498055278,-16.322743018,51,46,52,49,47,54,0.76329372718221,0.928516228748068,0.0886094130000004
"Cont_P01017",-23.213477149,NA,-23.2880612657,-23.3353764634,NA,-23.3295946461,2,2,3,3,1,4,0.775224029206771,0.928516228748068,0.0817163474000004
"Cont_P01030",-23.4678726724,NA,-24.3669032002,-22.2861394032,-23.4648277038,-23.114458997,3,3,5,5,3,4,0.0587381347494192,0.408602150537634,-0.962245901633331
"Cont_P01044",-23.2055247979,-23.0518642886,-23.3343476895,-23.5002410673,-23.0048605517,-23.1911440149,2,3,3,2,2,4,0.895020079654829,0.955239786856128,0.0348362859666658
"Cont_P01966",-17.9220750879,-17.7214626829,-18.0925842068,-18.2501356498,-17.8445452651,-18.1121085176,31,29,34,32,31,36,0.631960172585463,0.895522388059702,0.15688915163333
"Cont_P02070",NA,-21.4608315414,-21.5762271927,-21.5424089448,-21.2777530522,-20.6844000999,1,13,19,16,16,4,0.365733322270163,0.7882096069869,-0.350342001416667
"Cont_P02081",-18.756058866,-17.4352296256,-17.9064767416,-17.6037050108,-17.4694357167,-17.5899840129,21,29,35,31,30,28,0.251295718552937,0.701138519924099,-0.478213497599999
"Cont_P02769",-18.9457830589,-19.0491320475,-18.724404727,-18.5238503777,-18.5798677375,-18.6929580306,39,35,45,43,39,45,0.368771158313973,0.789623312011372,-0.307547895866666
"Cont_P05783",-21.78120027,-21.1277417364,-21.7027924446,-21.0157640093,-22.4837141793,-22.0466930315,16,15,15,19,19,17,0.44524128775307,0.808277541083384,0.311478923033331
"Cont_P05787",-19.8140951392,-20.4409737238,-20.3526932325,-20.7955780907,-20.2619143148,-19.6428666866,36,27,37,29,34,38,0.911914205111185,0.957336108220604,0.0308656655333372
"Cont_P08727",-19.3214806655,-19.7476548383,-19.7975354053,-19.3769310365,-19.901425464,-19.7615133739,16,17,16,21,13,16,0.84792432791238,0.941916389197188,0.0577329884333331
"Cont_P08730",NA,NA,-23.1028802863,NA,-22.8736077053,NA,5,2,5,5,4,3,NA,NA,NA
"Cont_P12763",-19.5848046153,-19.1214235464,-19.3552340402,-19.2444528445,-19.480639194,-19.0767103779,20,14,13,18,20,21,0.779880351808828,0.928516228748068,-0.086553261833334
"Cont_P13645",-22.2395898439,-23.0309289064,-22.4540305788,-22.4130077123,-21.5792719672,-22.4814725302,6,2,4,8,5,6,0.303237470959177,0.737623762376238,-0.416932373133331
"Cont_P15497",-20.0407927942,-19.6356823327,-20.1922869079,-18.9584369192,-19.1956358557,-19.0771290521,12,13,15,15,14,15,0.040716561566545,0.348684210526316,-0.879186735933335
"Cont_P17690",-22.7949676623,-22.4418556461,-22.7994656112,-22.4564154428,NA,NA,1,1,3,1,NA,2,NA,NA,NA
"Cont_P32503",-20.1672449365,-20.2209795389,-21.0500808961,-21.4153289198,-21.5199623408,-21.6346071478,15,16,15,6,6,12,0.0270818121473614,0.269387755102041,1.04386434563333
"Cont_P33433",-21.2107131778,-21.5652682731,-21.1333777239,-21.0280211246,-20.9785554667,-21.2801618693,4,4,5,5,5,3,0.540019415864587,0.85872430152873,-0.207540238066667
"Cont_P34955",-21.4670217931,-21.8265636605,-20.4719505069,-21.5367039248,-20.402363134,-21.4706214373,8,15,12,8,14,11,0.754399435778294,0.928516228748068,-0.118615821466665
"Cont_P41361",-21.8896138806,-21.8795348093,-21.78943411,-22.0173205087,-20.6161500142,-20.8723003711,8,6,9,6,7,9,0.127566213076668,0.521806853582555,-0.684270635300003
"Cont_P60712",-18.8084069599,-18.3196517498,-19.0115119062,-18.7871171918,-18.5036564082,-18.6585271702,236,241,273,255,259,284,0.836387985396615,0.936002994011976,-0.0634232818999969
"Cont_P63103",-17.5995800822,-17.6931316323,-18.6551388369,-17.5953124527,-17.9732525871,-17.9884062676,26,86,80,84,87,92,0.715707600398274,0.927234042553192,-0.130293081333335
"Cont_P67983",NA,NA,NA,-19.8873584114,NA,NA,1,NA,NA,2,1,1,NA,NA,NA
"Cont_P68103",-20.7247266922,-21.4670451271,-21.3881390972,-21.3998317978,-21.9294733354,-21.1064426658,46,91,58,53,94,64,0.451447394623299,0.808277541083384,0.285278960833331
"Cont_P81187",-24.3142473403,NA,NA,NA,NA,NA,4,2,NA,2,NA,NA,NA,NA,NA
"Cont_P81948",-20.9809923381,-21.6870841123,-21.6781207089,-20.7310522983,-21.6635470761,-22.7587972351,97,87,109,105,104,118,0.532043146365748,0.856835306781485,0.269066483400003
"Cont_Q03247",-22.2878542037,NA,-22.3491268266,-22.0985714865,NA,-21.3929948764,7,5,6,4,4,6,0.174780119482244,0.592269326683292,-0.572707333699999
"Cont_Q1RMN8",-18.1917903545,-18.1575739157,-18.4196249788,-18.221947385,-18.5872357537,-18.418265492,14,15,19,13,16,17,0.635611848655825,0.895522388059702,0.152819793900001
"Cont_Q1WEI2",-18.8535210208,-18.9341506729,-18.8404323343,-19.0367737891,-18.9465993743,-19.2838025371,19,20,28,24,20,23,0.517657152339861,0.848170398689241,0.213023890833334
"Cont_Q28065",-23.1106120118,-22.0559579431,-22.0047348511,-21.1548675358,-22.6849872322,-21.6007327758,4,5,6,7,3,4,0.213330235645536,0.658721560130011,-0.576905754066669
"Cont_Q28085",-24.8565575767,-24.3667175667,-24.6804044494,-22.8405172513,-23.3058340503,-23.6316015133,2,3,1,5,3,5,0.00720477928974444,0.118811881188119,-1.3752422593
"Cont_Q28107",-23.0825466213,-23.7533543849,-22.9675671462,-22.9764991172,-24.2296240192,-23.3949428326,12,8,9,12,10,11,0.501481911715898,0.834929577464789,0.265865938866664
"Cont_Q28178",NA,-24.5837971053,NA,NA,-24.4281867296,-24.6301716116,4,3,6,3,6,5,NA,NA,NA
"Cont_Q29443",-20.093990138,-20.1627438188,-20.1819282727,-19.6173330389,-19.6687499831,-19.2281152496,21,32,26,26,27,32,0.101585131098573,0.504378283712785,-0.641487985966666
"Cont_Q2KJD0",-18.2777803783,-18.6743411346,-18.6469512137,-18.3157844837,-18.3461833132,-18.275477753,218,199,233,235,236,251,0.509798705609028,0.842339832869081,-0.220542392233334
"Cont_Q2KJF1",NA,-22.5601547279,-23.230654297,-23.0664352469,NA,-23.2307436656,3,4,3,3,2,3,0.501615499502157,0.834929577464789,0.253184943800001
"Cont_Q2TBQ1",NA,NA,NA,NA,-24.159353567,-24.6178315772,NA,NA,NA,1,1,1,NA,NA,NA
"Cont_Q2UVX4",-22.896192981,-22.0289578368,-21.9464908073,-22.728434536,-22.2229705537,-22.2442565192,19,19,20,21,18,23,0.753236475273813,0.928516228748068,0.108006661266671
"Cont_Q2YDI2",NA,NA,NA,NA,NA,-23.0735889591,1,NA,2,1,1,2,NA,NA,NA
"Cont_Q32PI4",NA,-23.1466813449,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
"Cont_Q32PJ2",NA,-21.9767007881,-22.4714695177,-22.2890532813,-22.3171334444,NA,2,2,3,1,3,1,0.805246598075008,0.928900845503459,0.0790082099499969
"Cont_Q3MHN2",NA,-22.7024083943,NA,NA,NA,NA,5,5,5,4,4,5,NA,NA,NA
"Cont_Q3SX14",-23.2111428901,-22.3397739537,NA,NA,-23.642044252,NA,9,5,8,6,9,8,NA,NA,NA
"Cont_Q3SYV4",-21.0540718993,-22.4575577501,-22.5962291453,-21.1606703902,-21.0934923403,-21.509760693,14,12,15,13,13,18,0.0999488881513442,0.504378283712785,-0.7813117904
"Cont_Q3SZV7",-21.9156482892,-22.8124734375,-22.4869526266,NA,-22.3268415842,-22.5712822877,1,1,2,NA,3,2,0.883676568204447,0.952091526635681,0.0440371515166653
"Cont_Q3T052",-21.2825585886,-22.0538680996,-22.1417323366,-21.3583390396,-21.321672713,-21.2905584398,10,13,15,13,15,19,0.207755061400597,0.650334075723831,-0.502529610799996
"Cont_Q3ZBS7",NA,-23.2285546243,NA,-22.9253888229,-22.9490979024,-23.0212362067,4,5,8,5,4,8,NA,NA,NA
"Cont_Q7SIH1",-21.9333380596,-21.4155232314,-22.2163069005,-21.4521145412,-21.8755155105,-20.8428521544,22,16,20,23,24,24,0.260803186193163,0.714036617262424,-0.464895328466667
"Cont_Q95121",-23.0313995693,-22.880008647,-21.7027908755,-21.3511478898,-21.6011890141,-21.5118332529,5,6,9,8,8,8,0.034546797212081,0.298892988929889,-1.050009645
"Cont_Q9N2I2",NA,NA,NA,NA,-22.8184431661,-23.3289841011,0,1,1,2,4,4,NA,NA,NA
"Cont_Q9TTE1",-22.8743584421,-22.5865608657,NA,-21.5511282955,-22.6095076253,-22.5956798202,4,7,4,4,6,7,0.266622801194822,0.714036617262424,-0.478354406899999
"E9PAV3",-22.0518233593,-22.8319667213,-23.1685548338,-21.9534309225,-21.6322417803,-22.3340573817,17,20,16,20,20,20,0.109146365748423,0.506849315068493,-0.710871609966667
"E9PRG8",-21.3138152849,-19.9746550856,-21.4978828698,NA,-21.3084595136,-21.5328491424,2,2,3,2,2,2,0.285135081314305,0.715397923875433,0.491869914566664
"G2XKQ0",-20.2104792211,NA,-20.6029636097,NA,NA,-20.9736420674,2,2,3,2,2,2,NA,NA,NA
"O00116",-21.7525170335,-21.6755166782,-21.3027737684,-20.8652325283,-21.6008799996,-21.1318237262,14,8,13,10,9,9,0.31830534351145,0.752198241406875,-0.377623742000001
"O00139",-22.9947064406,NA,NA,-24.0350378629,-23.8988069331,-22.7522315331,9,9,7,9,7,9,NA,NA,NA
"O00148",-19.5918618062,-19.5002845619,-18.8028990558,-19.0034941465,-18.9875877881,-19.081832284,32,33,40,36,33,37,0.449318785263857,0.808277541083384,-0.274043735099998
"O00151",-19.9364169707,-19.3568894453,-19.8836250171,-20.1444135222,-19.5778720069,-19.1689853587,7,11,15,11,13,17,0.77823265847992,0.928516228748068,-0.0952201817666669
"O00154",-20.7554839425,-19.3749939481,-20.7459719296,-20.4560994756,-20.4929882295,-21.4249864319,13,13,11,12,18,14,0.267158811815466,0.714036617262424,0.499208105600001
"O00159",NA,NA,NA,NA,-24.558653306,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"O00161",-19.9537734074,-21.5754236666,-20.3666758987,-20.0914087877,-19.8046554858,-20.1120892855,5,4,5,3,4,6,0.166276966478593,0.579821200510856,-0.629239804566666
"O00170",-20.9244719052,-21.2116786239,-20.6404486269,-20.2670386571,-20.3093691382,-20.1508612264,6,7,6,9,9,9,0.0901699303020246,0.479125248508946,-0.683110044766664
"O00178",-23.1394334602,-22.9364477083,-21.8082742841,-23.2107105009,-22.0393525845,-22.3365314907,6,4,6,6,5,5,0.791136906737471,0.928516228748068,-0.0991869588333323
"O00186",-24.1695855818,-21.6771120609,-24.2209576365,-23.9209030869,-23.8360784166,NA,2,7,3,5,3,4,0.337233156322602,0.764478764478765,0.522605658683332
"O00193",-20.1768333941,-20.3008143813,-21.0658153039,-20.9511034432,-20.3536348119,-19.8067447551,3,2,1,1,2,3,0.699410056422171,0.916775032509753,-0.143993356366668
"O00203",-23.9997168241,-23.4429659981,-23.1091703677,-23.2394716536,-24.0378448802,-24.1812575777,8,9,9,9,8,10,0.440038997676734,0.808277541083384,0.302240307200002
"O00217",-20.2740501321,-19.4524279493,-20.4520330392,-19.243934853,-21.0845345523,-20.2430954933,5,7,6,7,5,5,0.740939595087952,0.928516228748068,0.131017925999998
"O00231",-18.6149931582,-18.2461568026,-18.601843598,-18.6342700493,-18.6982198765,-18.6037476612,35,35,33,32,34,36,0.62394772651842,0.895522388059702,0.157748009400002
"O00232",-19.4835123864,-20.7409176661,-20.1523100573,-19.9848062065,-19.9509574444,-20.2589511483,15,14,19,13,16,18,0.852118818453369,0.942414174972315,-0.0606751035333311
"O00233",-20.8349547918,-20.8247233775,-20.4683613966,-20.8254269567,-21.6775845832,-21.0879539907,5,4,4,6,7,6,0.221092764686359,0.661375661375661,0.487641988233335
"O00244",-18.6037422514,-19.4987406616,-19.1270815133,-18.438148354,NA,-20.0524112423,4,2,4,5,3,3,0.688524228343843,0.913254073095553,0.16875832271667
"O00267",-21.099206179,-20.8542386681,-20.3004857533,-20.4196977079,-20.8049134868,-20.1507764654,20,21,23,25,24,26,0.434654331231331,0.808277541083384,-0.292847646766667
"O00273",-21.5806377305,-20.9199111624,-19.7465920246,-20.7223702271,-21.1131591031,-20.8857095067,7,6,10,7,7,6,0.689209923664122,0.913254073095553,0.158032639799998
"O00299",-16.708662679,-16.9971214498,-16.9185241725,-16.5881554064,-16.7588958979,-16.9238532435,49,43,52,46,46,55,0.709246432127448,0.921619293712317,-0.117801251166664
"O00303",-19.2570293864,-19.6282329342,-19.620987828,-19.4821849606,-19.968575558,-19.5573832565,15,15,16,14,15,16,0.617892631928311,0.890856869315462,0.167297875500001
"O00330",NA,-22.326777531,-22.665398655,-22.807107779,-22.7356975903,-22.6090572031,1,1,5,4,2,7,0.512317789578493,0.844617092119867,0.221199431133332
"O00410",-20.5314361981,-20.1551612885,-20.030219777,-20.4560530468,-20.4513304132,-20.1110057933,31,25,33,27,37,32,0.75083720544308,0.928516228748068,0.100523996566668
"O00411",NA,-24.9847805477,-24.5108126669,NA,NA,-24.4198584761,0,1,2,1,1,2,NA,NA,NA
"O00418",-24.068736304,-23.6215922476,-23.9888495493,NA,NA,NA,2,3,2,3,NA,3,NA,NA,NA
"O00422",-21.4188787321,-19.5424921106,-19.8491487685,-21.8296322423,-22.2843605425,-19.9307569543,9,13,13,7,13,12,0.0655799867241952,0.412621359223301,1.0780767093
"O00425",-21.3975076976,-20.4782282026,-20.5181844952,-20.0637378355,-19.8188938966,-20.3836232853,14,15,22,19,20,23,0.103931795552605,0.504378283712785,-0.709221792666664
"O00429",-21.6967266404,-21.4194584497,-20.7530322605,-20.6971578103,-20.3819998224,-20.4930221376,14,12,16,14,21,18,0.0788722203783604,0.454157782515991,-0.765679193433332
"O00442",-23.2998635425,-21.2312453139,-21.3257215026,-22.913094972,-23.2530537527,-20.4406909334,5,7,4,5,5,6,0.621642051111849,0.893078758949881,0.250003099700002
"O00459",NA,-24.2817944728,-24.4701965492,NA,NA,NA,NA,2,2,2,NA,1,NA,NA,NA
"O00471",-23.1590728405,-23.5891262402,NA,NA,NA,-23.7394558264,3,3,3,2,2,2,NA,NA,NA
"O00483",-20.3039043878,-20.7053678864,NA,-20.521145629,-18.8800497437,-20.9478443014,5,2,4,4,4,2,0.417806837039496,0.798831927319922,-0.388289579066669
"O00487",-22.881937382,-22.2027906747,-21.463084102,NA,-22.3227066835,-22.3257457182,3,2,3,4,7,7,0.715371058745436,0.927234042553192,0.141622147949999
"O00505",-23.1930529595,-23.7715616869,-23.4983019377,-22.0344638232,-21.973795034,-22.5193028253,2,2,4,2,4,5,0.00846846996349154,0.141592920353982,-1.3117849672
"O00541",-22.5147956812,-22.3820983472,-21.3610677437,-22.597819874,-22.2772649703,-22.3714062823,10,9,15,7,9,10,0.400375539329572,0.796742671009772,0.329509784833331
"O00566",-20.7687120169,-20.2147082451,-20.5680969841,-20.4848072559,-20.7630148953,-20.5158757946,12,10,9,10,11,16,0.817646531695984,0.932222642938281,0.0707268999000021
"O00567",-22.365521051,-22.346960145,-21.6144606121,-21.7679243953,-22.3345416826,-21.7298193508,6,5,7,7,8,10,0.643184035844673,0.898375870069606,-0.164885459800001
"O00571",-21.5640336434,NA,-20.968890097,-21.0369878596,-21.5747361654,-21.0077307635,52,37,45,43,45,50,0.84994490540989,0.941916389197188,-0.0599769406999968
"O00584",NA,NA,-22.552756418,NA,-22.4672199458,-21.1778891883,2,4,4,2,2,4,NA,NA,NA
"O00629",-21.3432862922,-21.313183259,-20.6073226287,-20.9596465904,-20.1940063987,-20.4071424204,7,9,9,8,13,10,0.173792067706605,0.591478696741855,-0.567665590133331
"O00743",-22.2704636972,-22.1578460022,-22.3957062346,-22.3424392618,-22.1748892791,NA,2,2,3,4,5,5,0.936099900431464,0.96297565992458,-0.0160077075500027
"O00750",NA,-24.8613693418,-25.6509275519,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA
"O00764",-20.2494362618,-20.0084694538,-20.6823211937,-20.5823191202,-19.6297785084,-19.9935746886,8,8,8,8,10,7,0.513740292067707,0.844961240310077,-0.2448515307
"O13516",-21.0287331959,-21.6237589237,-21.6392122208,-21.949177563,-21.7094108214,-21.590339622,13,1,13,1,10,1,0.381805509459011,0.795595320027529,0.319074555333334
"O13563",-20.873916618,-21.8033774972,-20.4905100207,-20.6446622409,-20.9995136861,-21.2077966763,3,2,2,2,2,2,0.767142714902091,0.928516228748068,-0.105277177533335
"O14455",-19.5364574157,-19.5478786285,-21.2005744477,-20.2260029561,-21.3262523177,NA,21,22,20,14,13,15,0.190103053435114,0.631455399061033,0.681157472933332
"O14467",-20.1651230915,-21.5004006806,-21.3391692639,-19.7689015838,NA,-20.5843620485,7,5,6,6,6,5,0.0994093926319283,0.504378283712785,-0.824932529183332
"O14497",-23.1019601089,-22.4474487812,-22.7740196072,-22.7869404191,-22.8464584768,-22.694379031,13,15,18,15,11,16,0.971623962827746,0.971390552228876,0.0014498098666671
"O14530",-19.9938676374,-19.4069107371,-20.7067160656,-20.4768864998,-21.0782180937,-20.2442328711,7,7,5,8,7,6,0.198593594424162,0.636781609195402,0.563947674833333
"O14545",-21.5898008218,-22.6831930722,-22.0572879636,-22.9574887983,-22.0289317843,-21.6684920763,11,6,9,8,11,8,0.768671921672751,0.928516228748068,0.108210267100002
"O14561",-18.8741065522,-19.3456055881,-20.5361113293,-18.7986979707,-20.2266531804,-19.2035061322,9,9,7,10,8,9,0.672939263192831,0.912595248767369,-0.175655395433331
"O14562",NA,NA,-21.3116314099,-22.2242836101,NA,-22.2264048254,NA,1,3,6,NA,1,NA,NA,NA
"O14579",-20.11742906,-19.1516408938,-19.3589038365,-19.2793212134,-20.189647329,-19.1282998899,5,7,7,10,5,11,0.954439097245271,0.968264686022957,-0.0102351193333341
"O14602",NA,NA,NA,NA,-21.787453382,-19.8183243422,1,0,3,4,2,3,NA,NA,NA
"O14617",NA,NA,-24.7030933067,-21.7794319021,NA,-22.8723272331,4,2,7,8,8,9,NA,NA,NA
"O14618",NA,NA,-22.2790046399,NA,NA,-22.3995828043,1,3,2,NA,2,2,NA,NA,NA
"O14646",NA,-24.6284367123,-24.791279237,NA,NA,NA,7,7,6,5,8,5,NA,NA,NA
"O14737",-18.4186238202,-18.5969284341,-19.9830228433,-18.7640349425,-19.0413503568,-19.787198783,6,7,6,7,5,5,0.626093262529041,0.895522388059702,0.198002994899998
"O14744",-20.4054269458,-20.6560765371,-19.9349156133,-20.6893654992,-19.896500705,-20.1149546759,13,15,19,9,14,17,0.769233820112844,0.928516228748068,-0.0985327386999977
"O14745",-21.3447154594,-21.4232600674,-21.6283523392,-21.5832359308,-21.3994387631,-21.5268753296,4,3,6,3,6,7,0.885094092266844,0.952091526635681,0.037740719166667
"O14757",-23.0315573966,NA,NA,-23.0949039415,-23.1257409,NA,2,4,4,2,1,NA,NA,NA,NA
"O14773",-22.0123222244,-21.0909228142,-23.2924465249,-21.4149012044,-21.4449910874,-23.1648436697,5,5,2,4,5,3,0.774045967474278,0.928516228748068,-0.123651867333333
"O14776",-21.585514834,-20.5906478927,-21.7320008399,-20.7558789085,-21.2009567992,-21.9058698543,22,19,23,21,18,23,0.944628941254564,0.965622872702519,-0.0151526681999989
"O14777",-23.4115432561,NA,-23.5325235104,NA,-23.3312598897,NA,9,6,11,6,10,9,NA,NA,NA
"O14787",-22.9239524286,-22.9760162091,-23.1232739685,-22.0437143416,-22.4393696158,-22.6250824505,5,4,5,5,8,7,0.108644872220378,0.506849315068493,-0.638358732766665
"O14802",-24.1823921244,-23.4886971972,-24.9151829295,-24.6268523693,-23.1729468544,NA,5,5,5,9,7,8,0.5162558911384,0.847766133480419,-0.295524471850001
"O14818",-19.1976281201,-19.2411616496,-19.7391837694,-19.7422222284,-19.2637373999,-19.7108809291,17,18,16,16,16,13,0.601042648523067,0.880975609756098,0.179622339433333
"O14828",-20.1129953467,-20.4226649176,-20.6372599726,-20.576853717,-19.7163050452,-21.2301563562,6,6,4,4,7,4,0.749760039827415,0.928516228748068,0.116798293833334
"O14841",-23.466476139,-23.2840646085,-23.3149500308,-22.3617730869,-24.0833321489,-22.8533708566,5,8,8,7,6,7,0.531120975771656,0.856835306781485,-0.255671561966665
"O14880",-20.2474571079,-20.7763101536,-21.5940759464,-20.3466213925,-21.3822468719,-20.3322959861,2,2,2,2,2,2,0.637911384002655,0.895522388059702,-0.185559652466669
"O14893",NA,NA,-21.9785053109,-22.0427291361,-21.9451592217,-22.0422567605,1,NA,2,2,3,3,NA,NA,NA
"O14908",NA,NA,NA,-22.7424280743,NA,NA,1,NA,3,1,4,2,NA,NA,NA
"O14925",-21.1325772877,-20.4599201584,-20.3358663818,-20.2700447232,-21.3298485601,NA,2,3,2,5,1,2,0.68607567208762,0.913254073095553,0.157158699016669
"O14929",-20.509235073,-20.600195247,-20.466565861,-20.0684302625,-20.5381632537,-20.9603818129,7,5,7,8,7,6,0.968850315300365,0.970343218927024,-0.00300695063333478
"O14950",-19.7522500783,-19.9113423741,-19.719715548,-19.6347562792,-19.6222230941,-19.487457377,12,11,14,14,18,18,0.511150016594756,0.844617092119867,-0.212957083366668
"O14964",-23.074757653,NA,-23.9012860944,NA,-23.3553363077,-23.9938317939,9,5,8,5,5,8,0.636547129107202,0.895522388059702,0.186562177100001
"O14965",-22.6044075595,NA,NA,-21.2096248325,NA,-22.8463527413,4,4,NA,7,3,1,NA,NA,NA
"O14972",NA,NA,-22.883606471,NA,NA,NA,NA,2,2,NA,2,1,NA,NA,NA
"O14974",NA,-24.1873025916,NA,-22.4073036981,-23.5716414634,-23.6778062424,4,7,7,9,4,6,NA,NA,NA
"O14976",-24.5342951735,NA,-24.4517613136,NA,-24.8384222178,-23.0229991727,2,2,3,1,2,7,0.279350979090607,0.714036617262424,-0.562317548300001
"O14979",-20.0724722533,-20.085885301,-20.3792834134,-19.6786892153,-19.8068147844,-19.7502673611,16,23,23,19,23,22,0.229087620311981,0.677720207253886,-0.433956535633332
"O14980",-20.0045916409,-19.9293499287,-19.9491902031,-19.9208862664,-20.0919892737,-19.8924494961,38,39,46,44,51,49,0.956912047792897,0.968424588511925,0.00739775450000124
"O14981",NA,NA,NA,-25.2817354051,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA
"O15014",NA,NA,NA,-24.756786468,NA,-24.7998893303,2,NA,3,4,1,2,NA,NA,NA
"O15027",-26.001045906,-25.8966569132,NA,NA,-26.0530184385,-25.7464783335,10,9,6,14,13,12,0.862420677066047,0.945807396558037,-0.0491030236000043
