"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"REV__sp|O94868|FCSD2_HUMAN",1,1,1,1,0,0,0.396959138782651,0.563273049315332,26.1498233920056,29.2541407637918,29.1931138143886,26.7661193780956,NA,NA
"REV__sp|P0A9M0|LON_ECOLI;REV__sp|Q86WA8|LONP2_HUMAN",2,1,1,2,1,1,0.663197642179417,0.779968735028323,25.2839481506298,24.6248147497195,24.7625377237926,25.513123755002,24.818907589852,24.7295871791106
"REV__sp|P13533|MYH6_HUMAN;REV__sp|P12883|MYH7_HUMAN",1,1,1,1,2,1,0.0496223663505759,0.151687314730651,23.7665167315222,23.5882358452916,22.8203535070006,24.1753045081505,23.9132450994135,25.2089369984279
"REV__sp|P13535|MYH8_HUMAN;REV__sp|Q9Y623|MYH4_HUMAN;REV__sp|Q9UKX2|MYH2_HUMAN",2,2,1,2,0,2,0.61038065719447,0.738084599116601,26.8588483032038,26.2509463984156,21.9577081196886,26.7847207936405,NA,25.0707303595544
"REV__sp|P16050|LOX15_HUMAN",1,2,2,2,2,2,0.0605349833334542,0.173823610022362,24.3390796908007,26.0956780877883,26.1434277025312,26.4174280468172,27.1831815031721,26.7260865076197
"REV__sp|P25665|METE_ECOLI",0,0,0,1,1,2,NA,NA,NA,NA,NA,23.2871031464059,24.735147307043,25.2213877459917
"REV__sp|P29597|TYK2_HUMAN",1,0,0,0,1,0,0.0440474541026177,0.138777125268917,23.0882200507505,NA,NA,NA,24.7327228126636,NA
"REV__sp|P34896|GLYC_HUMAN",2,2,2,1,2,2,0.261674578417903,0.436736514699699,26.2889664340211,26.8111426127436,26.9449490968547,26.706407565442,27.8600459403955,26.8271188126364
"REV__sp|P36022|DYHC_YEAST",1,1,1,1,2,1,0.00399777029712833,0.0219464473905538,30.6326834313614,30.7558212732925,29.4589751926163,28.256268595007,28.7067386337828,28.657564131716
"REV__sp|P38811|TRA1_YEAST",1,1,1,2,1,1,0.192491216977453,0.365189490957585,25.5076503788993,25.3777932351878,25.7000396891189,25.6455660942482,25.0941195909142,24.2659389174061
"REV__sp|P38959|VPS41_YEAST",0,0,1,1,0,1,0.94049651830437,0.961566705068826,NA,NA,25.6891157984444,24.4517975335677,NA,26.7300303201993
"REV__sp|P40885|HXT9_YEAST;REV__sp|P54862|HXT11_YEAST;REV__sp|P40441|HXT12_YEAST",2,1,1,2,1,1,0.37942175833802,0.548020448398174,26.6172472604708,25.5047693320511,26.5805937942928,26.1350655955398,25.8892261644494,25.7219833750582
"REV__sp|P46674|SAC3_YEAST",2,1,1,1,1,1,0.576264227043969,0.71116137060493,26.0337068034956,21.9721484297438,25.7625590350132,25.5777985351238,25.3916656735807,24.7771057456652
"REV__sp|P48237|CCM1_YEAST",0,1,1,1,0,0,0.857062473408382,0.910524199849395,NA,26.1001303993022,22.650311797816,24.7317084387513,NA,NA
"REV__sp|P51160|PDE6C_HUMAN",1,1,1,2,1,0,0.723519050604555,0.823597649441012,22.9642814434842,23.7222102280868,23.5114900497233,24.0387971229352,22.3337961713061,NA
"REV__sp|P53304|SLI1_YEAST",1,1,2,1,1,1,0.277278589306622,0.451765115934843,24.1140632045783,24.0275356896373,25.3151155569137,23.9036375396536,24.1939070876532,24.0396476854916
"REV__sp|Q02785|PDR12_YEAST",1,2,0,2,0,0,0.158888203690755,0.323067913715046,23.7096809015399,24.3083710303353,NA,24.7353616671088,NA,NA
"REV__sp|Q07157|ZO1_HUMAN",2,2,1,2,1,1,0.0295140633617773,0.103770068691447,27.0728803784473,27.1990605345269,25.4282817538761,25.4128727142115,24.9429137868185,25.0367450775979
"REV__sp|Q13315|ATM_HUMAN",1,1,1,2,0,1,0.0510094854724687,0.154360921208716,23.9576272485897,23.4616911068967,24.1318925220146,23.3799717850231,NA,22.7341695709523
"REV__sp|Q14643|ITPR1_HUMAN",0,1,1,1,1,2,0.309219481736093,0.483475639813181,NA,24.3023695447437,23.9108193171571,22.7022793738161,27.3508480411787,28.4194649532102
"REV__sp|Q68DQ2|CRBG3_HUMAN",2,1,1,1,1,1,0.133773973378461,0.292117357043929,28.0057330632481,28.7663645676565,27.8099974222453,28.2597555672765,27.0040291675687,27.0763175457831
"REV__sp|Q6IWH7|ANO7_HUMAN",1,1,1,1,1,1,0.344488904040601,0.517248543853584,25.8471030955307,22.7127929603285,24.9708940004008,24.8919332314842,26.2163806533144,25.0664477448353
"REV__sp|Q7Z589|EMSY_HUMAN",1,2,1,1,2,1,0.876344210274018,0.921415671868284,26.5158084186983,25.9972611153089,25.7972798007315,26.2101754286617,25.939527516097,26.0559012953051
"REV__sp|Q86UQ4|ABCAD_HUMAN",0,1,2,0,1,2,0.384543600626281,0.552597960441965,NA,26.8357634734988,27.4072801946023,NA,25.779427639782,27.2784311788222
"REV__sp|Q8N8E3|CE112_HUMAN",0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,25.2287581639113
"REV__sp|Q8NDA2|HMCN2_HUMAN",1,2,1,1,1,1,0.506485397101405,0.656883021140001,24.2330302118539,24.6733812342737,24.3396933832814,24.6584619552551,22.7907475413536,24.6532935664565
"REV__sp|Q8NF91|SYNE1_HUMAN",2,2,2,1,2,2,0.544241483455464,0.685307419802616,24.7733807284883,24.6299037957396,24.5935181717188,22.8103918648321,25.0698816489004,24.923647369816
"REV__sp|Q8TDJ6|DMXL2_HUMAN",1,1,2,1,1,1,0.218721359479489,0.392136151638226,23.3018853885993,23.9705446449642,26.32813374768,22.8738870912823,23.6245471278057,23.7730498109137
"REV__sp|Q8TE73|DYH5_HUMAN",1,1,1,0,0,2,0.237782778130554,0.412717092429445,23.2690427045058,NA,24.4323598947716,NA,NA,24.8138019599107
"REV__sp|Q8WXH0|SYNE2_HUMAN",1,2,3,2,3,3,0.932865823338641,0.957100988281653,24.3793039452315,24.8166480021715,26.1603167455405,24.6780745636579,25.3734551016467,25.4366484514341
"REV__sp|Q92824|PCSK5_HUMAN",0,1,0,1,2,1,0.392715185120333,0.560038104082383,NA,24.4736503967658,NA,23.0096369292423,24.5680734451336,23.8791456276094
"REV__sp|Q96AE7|TTC17_HUMAN",0,2,1,2,1,0,0.927507176553077,0.953464715282549,NA,23.4153974546227,22.6542684481959,24.4771282475388,21.7921221025346,NA
"REV__sp|Q99707|METH_HUMAN",1,1,2,1,1,1,0.31890210641349,0.492581099752529,23.6239242500588,23.239872992553,23.539022466385,23.3876645487073,23.5256371639304,24.7716634084813
"REV__sp|Q9BXX3|AN30A_HUMAN",2,2,2,1,1,1,0.796796775983612,0.871442225585563,24.6112736892309,24.6586580592438,25.0037917028572,24.3542937556662,25.3731048809982,24.2822132599746
"REV__sp|Q9H4L7|SMRCD_HUMAN",1,2,0,1,2,0,0.297666031720226,0.472376231581307,22.9368264716881,24.068070550544,NA,24.6065645508001,23.7151451279303,NA
"REV__sp|Q9NUQ6|SPS2L_HUMAN",2,2,2,2,2,2,0.0640043508933757,0.180169256907334,23.885016371243,24.634210636993,25.2206978492064,24.9692436238796,25.6966044121522,26.5235699753283
"REV__sp|Q9UKZ4|TEN1_HUMAN",2,0,0,0,0,0,NA,NA,25.6369353559865,NA,NA,NA,NA,NA
"REV__sp|Q9UPN3|MACF1_HUMAN;REV__sp|O94854|K0754_HUMAN",2,3,3,0,2,2,0.374488803558616,0.544732908717909,24.1818408836345,24.6059348391163,25.5117182901479,NA,24.415216357276,24.292650648465
"REV__sp|Q9Y2Q0|AT8A1_HUMAN",1,0,0,0,1,0,0.0149166486816398,0.0608920780670713,24.1064729087639,NA,NA,NA,27.1806265853963,NA
"REV__sp|Q9Y483|MTF2_HUMAN",0,1,1,0,0,2,0.115611290352965,0.265661632301285,NA,25.3829778726578,26.1540755484351,NA,NA,24.736465122592
"REV__sp|Q9Y4C0|NRX3A_HUMAN;REV__sp|Q9HDB5|NRX3B_HUMAN",2,2,1,1,1,0,0.195463928875596,0.368361710279227,22.8842133595255,23.9559380316965,22.3208638272692,27.686467535483,22.9208687637651,NA
"sp|Q9NZJ9|NUDT4_HUMAN;sp|A0A024RBG1|NUD4B_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN",3,3,3,3,3,2,0.260747925074404,0.435995235191027,25.5467689089279,25.03511919482,24.3927035187347,25.5406986182725,25.3989471887795,25.1853969522871
"sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN",8,8,7,8,8,8,0.185788954366215,0.355675633824813,28.2182552405605,28.205868277601,27.837622114387,28.4773875473631,28.3081804837125,28.1958254503827
"sp|A0A2R8Y4L2|RA1L3_HUMAN",1,1,1,1,1,1,0.791020728614931,0.869333897319936,26.3447936467707,26.4274969321974,24.4580641895203,26.5309969922236,26.0293398190218,25.1974108394956
"sp|A0AVT1|UBA6_HUMAN",24,22,21,25,20,22,0.540782020005662,0.682472951504352,29.0628769703517,28.7462231464825,28.7005458988863,29.2664197766497,28.7717649686073,28.8396638168953
"sp|A0FGR8|ESYT2_HUMAN",2,1,1,2,2,3,0.0056492015777245,0.0287098905828564,22.7121359852647,21.5629762682242,21.7200805733838,23.3849828453539,23.2467232100807,23.8148699866084
"sp|A0MZ66|SHOT1_HUMAN",4,5,4,5,5,6,0.00472468541300277,0.0250251576176168,24.8552404194304,25.365757094479,25.0856587624945,25.7519833439331,25.821191600526,25.9582692890617
"sp|A0PJW8|DAPL1_HUMAN",1,1,2,1,1,2,0.58040630993501,0.713050983934275,21.3981522598649,NA,22.295942645052,21.6928235540812,22.0352101614518,22.4770256200663
"sp|A2A3N6|PIPSL_HUMAN",2,2,0,2,2,2,0.152566790585053,0.315467624651382,23.6833191306592,24.1427890112468,NA,24.6069568895708,24.4547365487801,24.0054828131358
"sp|A2RRP1|NBAS_HUMAN",5,5,5,5,5,5,0.784878240987563,0.864897534824831,25.1955762537412,25.0889998983274,25.1863818553217,25.2324899383287,24.9854379682886,25.1495531082418
"sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN",4,6,5,3,5,6,0.217407205277812,0.391631498493265,25.2785304380218,26.1595353108242,25.3635785294248,24.3292287395011,25.1511080730591,25.6342435847308
"sp|A4D1E9|GTPBA_HUMAN",4,3,2,3,4,4,0.082163954889038,0.212936441354988,25.1963000387291,24.450663258374,22.7758764646909,25.0417022689851,25.608933570587,25.7413579409591
"sp|A5YKK6|CNOT1_HUMAN",13,14,17,15,15,18,0.0386122166720734,0.126321502479672,27.2313486884237,27.2943638071572,27.5302871527103,27.8513219104946,27.6015447186329,27.7180422939708
"sp|A6NDG6|PGP_HUMAN",7,7,7,6,7,7,0.220256809636633,0.393414351185287,26.942303589652,26.9517839645397,27.0063496415188,26.9725458588863,27.2654710095772,27.177078986016
"sp|A6NDU8|RIMC1_HUMAN",3,2,3,4,4,2,0.221593212401661,0.3941567455239,24.6637502305519,24.5942415452665,25.1993186415614,25.2049366674612,25.6662122349674,24.7649035722121
"sp|A6NFI3|ZN316_HUMAN",2,2,1,1,1,0,0.484548762538009,0.638884518825684,23.2295570600645,23.1709273955428,21.052484450675,23.0582464563554,23.0356626297136,NA
"sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN",3,3,3,3,3,3,0.0230778168400494,0.0853237123431614,27.3594650539315,27.4857894305137,27.4551398333809,27.8074731573024,27.7281202323607,27.7511668495131
"sp|A6NHQ2|FBLL1_HUMAN",2,2,2,2,1,2,0.0881212291933062,0.22180039749045,27.1076954741935,27.0547981280677,27.2482780985919,27.5954860952628,27.2651564799352,27.3932414636126
