"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","abundance_A_2","abundance_B_2","abundance_A_3","abundance_B_3","log_ratios_B..vs.A.","differential_abundance_qvalue_B..vs.A."
"P00560",48,46,50,43,43,45,32.6237674267848,31.7742556154398,32.9994815511462,31.7217800988564,33.0268847356294,32.0483588183749,-1.03524639362977,0.055202121174873
"P35579",32,29,41,33,35,49,27.6228725769939,27.4097510107304,27.7895684686077,27.8158417741318,28.0869255078628,28.1615152755432,-0.0374194976863341,1
"P49792",26,35,33,34,35,37,26.808702832719,26.8165368354362,27.1740236735232,26.9618114963851,27.449463669417,27.286255846903,-0.122528665644968,1
"P02994",43,44,43,34,36,39,32.2801170038947,31.6430024630007,32.6634356253165,31.9686971991328,32.7136963265965,32.2608210693242,-0.594909408116667,0.602199117868501
"P32324",40,40,43,34,29,29,29.9313985918017,29.064946156911,30.3492395125666,29.2403913172696,30.4453101855991,29.5477250937404,-0.957628574015467,0.0815895871758135
"Q5T4S7",27,36,40,35,35,42,26.8775420496998,26.9186781095258,27.3948042766229,27.0501371087768,27.3837274924382,27.4859226416509,-0.0671119862691339,1
"O43707",40,36,38,37,42,46,28.4035043718636,28.5455951797438,28.765809831677,28.5522610081007,28.8998255213268,28.8964793089553,-0.0249347426892008,1
"O75643",33,32,32,32,39,37,27.7357628998699,27.9172720009552,28.0523798227854,27.8037891022441,28.1768019554318,28.175155247387,-0.0229094425002666,1
"P16521",43,47,43,28,31,30,29.3216493184742,28.3194710546422,29.6924649222464,28.3889524692287,29.7154223554325,28.6730552948944,-1.11601925912927,0.0378597684461813
"P0DMV8,P0DMV9",43,43,42,43,41,41,30.9355473506349,30.7884618599434,31.2111637739279,30.9020356436956,31.3513796595774,31.1167072420151,-0.230295346162033,1
"P52272",41,43,37,35,35,47,29.2038869878129,29.1497818450485,29.4128239761686,29.1912874317284,29.4958934437745,29.4362017997498,-0.111777777076432,1
"P07814",37,31,34,32,41,42,27.923885180935,27.8716400141984,28.4059473709089,28.1889390618545,28.4915501304574,28.4907310580612,-0.0900241827290659,1
"Q08211",38,32,35,37,40,44,28.7449372831593,28.765002554127,29.0437515741865,28.8562942473861,29.1952645095338,29.1478705426006,-0.0715953409219665,1
"P19097",43,39,42,31,22,33,27.8813593362525,27.1890668446811,28.1702019815752,27.4661530290316,28.47915017472,27.749006413261,-0.708828401858001,0.336183434895744
"P35580",35,32,40,32,38,38,27.7032360372638,27.684387581367,27.8126631429851,27.3855479214135,28.4663021686283,28.192927123416,-0.2397795742269,1
"P10809",36,30,36,39,35,37,29.7211358083208,29.7572959994541,30.0937626508129,29.7945700537268,30.0511120023358,30.0946241200667,-0.0731734294072979,1
"Q9BUF5",35,35,40,37,37,41,29.9488662431041,30.3342529595057,30.2607497287172,30.0767937461711,30.3549198980058,30.3612154624338,0.0692420994278334,1
"P07259",35,34,39,26,17,27,27.8510100087363,27.2263109037979,28.1784641108811,27.1386677204054,28.3113553042602,27.3759263405024,-0.866641486390634,0.0890437402509448
"P00358",45,44,43,38,31,37,32.862388209109,31.8280307948081,33.1947478385118,31.946681970734,33.1396264470958,32.2608067153608,-1.05374767127123,0.0531177310038297
"Q09666",22,26,21,25,25,23,26.5969000518143,26.5655299104769,26.8496837004818,26.5650298887948,26.812201694323,26.9354229857643,-0.0642675538610327,0.999228499599805
"P22102",36,35,34,34,32,36,28.4266205149417,28.5437821002427,28.68710727459,28.4585450415058,28.9033415567676,28.9330072105948,-0.0272449979853337,1
"P12270",28,36,42,31,35,39,27.2382219113221,27.4939940591674,27.70770193753,27.5454310376586,27.7729670109516,27.8418772813502,0.0541371727908325,1
"Cont_P00330,P00330",37,40,43,28,28,25,32.11783505036,30.9824750700791,32.3869699693743,31.095609981334,32.3962271660567,31.4173085046261,-1.13521287658393,0.0481660158045604
"P60010",29,35,41,29,26,33,31.7157297405869,31.5027448993626,31.9146661511687,31.6072804149869,31.9516864216263,31.8508594486376,-0.2070658501316,1
"Q6P2Q9",27,30,35,31,34,35,27.0090506871077,26.9885884816156,27.4093401740594,27.0356215271398,27.4905865035913,27.3347972920076,-0.183323354665132,0.995518158244167
"P42704",38,36,36,38,38,36,28.0162458492485,28.0603943031371,28.2777729342305,28.145443679769,28.4323292016553,28.4299014000296,-0.0302028673995333,1
"P27708",23,26,28,30,28,37,27.0607892604971,27.2157692258413,27.3197072598851,27.1725866705541,27.5007533963393,27.5760995517116,0.0277351771285007,1
"Q92616",29,30,31,27,27,36,27.3900823420095,27.8367360393287,27.8103752133528,27.7120814084245,28.0014174723656,28.2191363120228,0.1886929106827,1
"P00360",36,38,37,28,23,32,32.2604310213573,31.1857376319404,32.6500377153939,31.4370278959662,32.6039520442439,31.7252079268352,-1.05548244208443,0.0598003484417052
"P50990",33,35,38,37,42,40,29.4726315975676,29.6268303852522,29.8320551800871,29.8468520607628,29.9681430250327,30.1013486527864,0.100733765371334,1
"Q14980",27,27,29,27,28,32,26.1897601746779,26.195020394643,26.6363337659714,26.426749616297,26.7443443198985,26.7088186760077,-0.0799498578667013,1
"P18206",25,35,38,30,34,35,28.9590768800125,28.7817484044895,29.4169025200117,29.0887507197953,29.4273482703775,29.4258393909044,-0.168996385070834,1
"P78371",24,26,30,30,35,31,28.6869618878674,28.891732815732,29.2297959180124,28.9031254580838,29.3120795748241,29.2951943952431,-0.0462615705483339,1
"P14618",27,30,29,35,33,35,29.2149146299674,29.331285322586,29.5056804948213,29.2845119384164,29.5514781618797,29.583572670286,-0.0242344517933321,1
"P38646",30,35,30,36,35,30,29.8206516941807,29.6815166005143,30.2321947329593,29.704829649773,30.4499331177865,30.0551473671943,-0.353761975814966,1
"P49368",30,32,32,32,36,37,28.8625427732368,29.096525361113,29.2332355180796,28.974792582084,29.3503592227184,29.336604077727,-0.0127384977036004,1
"P07149",29,32,34,18,19,24,27.222958182448,26.6088323389148,27.9999250136155,26.7151312479207,28.0660492693952,26.830924622098,-1.04468141884173,0.0861978324783538
"P06748",25,26,30,22,23,31,29.7940331526445,29.826156452991,30.1522364034412,29.8287824645583,30.1455186238755,30.082209963811,-0.118213099533633,1
"P05030",32,32,33,22,23,24,29.1865347264749,28.2383443824027,29.6475176044285,28.4514089706917,29.6616492706451,28.7132214087006,-1.0309089465845,0.0480714175711148
"Q12906",28,29,25,26,33,25,27.9374033661758,28.0966992321055,28.3737491918982,28.2047459006853,28.4730794439699,28.4681257028504,-0.00488705546756663,1
"P14866",24,23,31,33,33,30,28.1547654295026,28.2554043764254,28.689412701947,28.2843694594938,28.6488593814682,28.6848313235257,-0.0894774511576332,1
"P06576",30,29,31,33,35,36,29.130669375958,29.1436394931233,29.3315384625418,29.0455203848746,29.4773353422982,29.4491635101112,-0.100406597562967,1
"P40926",30,29,31,34,33,29,29.6928349045292,29.81974056835,30.0201257463659,29.8643331476393,30.1867382755104,30.2426611093033,0.00901196629569985,1
"Q13509",28,30,35,33,33,37,30.5980996514861,30.9563319295929,30.93141491412,30.6742811827517,30.9741947853887,31.0097578982371,0.0455538865289663,1
"P34932",28,28,29,28,31,31,27.9853254108385,28.2909569056151,28.2815797443221,28.1799063572673,28.4501886812971,28.4448293749626,0.066199600462434,1
"P00558",23,21,28,25,28,32,29.4059686583249,29.5789180807845,29.7079199004743,29.4746510106556,30.0352494926708,29.8073961973034,-0.0960575875755,1
"P04806",32,29,36,21,26,27,29.2716053624073,28.3538076260838,29.5048057762747,28.347576090092,29.6683192219858,28.646865085259,-1.03216051974433,0.0398444927182438
"P17987",28,27,30,29,35,34,28.9066598911009,28.9199426001858,29.2795949959918,29.0787054239168,29.4167483138116,29.399379114253,-0.0683253541828996,1
"P33991",24,25,26,29,27,26,27.5311729690122,27.5985934548186,27.8383901062773,27.7323062572104,27.9924790629789,28.0469534513067,0.00527034168910016,1
"P55072",26,28,30,26,28,33,28.3103601037482,28.3750878343268,28.6708838779476,28.3517294384192,28.7703989471841,28.7464009418759,-0.0928082380859993,1
"Q14974",27,26,32,24,28,31,27.7718326824306,28.0145303164258,28.2051435381926,28.051282138505,28.4222511331877,28.3577369621999,0.00810735443993475,1
"P35658",23,19,25,29,29,27,26.7590063469665,26.6520818091458,27.0581146312331,26.6775715853305,27.5291370469528,27.0553989548606,-0.320401891938501,0.901407266203185
"P49321",25,26,27,25,31,32,27.7328749026386,27.6452162202212,28.3327539269575,28.1740378503524,28.3750278939586,28.3524203898829,-0.0896607543660662,1
"Q7KZF4",23,24,26,29,33,32,28.0613538864497,28.0753092314616,28.5073080778273,28.2032010129044,28.4998821303088,28.5451212024586,-0.0816375492537347,1
"Q00955",34,25,31,23,18,15,27.0728318041934,26.6595321407703,27.5252163476105,26.1895725846494,27.495142848677,26.459700511904,-0.928128587719065,0.0868723633912413
"P11484",34,29,31,26,28,27,29.7618418459267,28.9298016290059,30.0204462550103,28.830218274489,30.1257957540457,29.11250266327,-1.01185376273927,0.0385604204136161
"P53396",30,24,28,32,29,33,27.3091264501824,27.4108279789682,27.684231645338,27.4894879795241,27.7631453866261,27.7804948131074,-0.0252309035156001,1
"P0A853",17,16,18,30,32,34,28.2751124107422,30.1410765223814,28.626783829518,29.9818295072871,28.5742903549175,30.2908437409622,1.64585439181767,0.0132767917314516
"P16861",24,27,33,14,22,25,28.4813492335231,27.9089469591253,28.6704466302988,27.7039226836013,28.7136073962726,28.0678461012305,-0.728229172045802,0.0806567049686023
"P48643",23,22,22,30,26,25,28.8937330382484,29.3825783823015,29.9062668287583,28.9548983613485,29.1903523406944,29.8463374282546,0.0644873214011668,1
"P22314",24,26,25,26,27,27,27.5020174133602,27.4822141547571,27.6975345746085,27.5119763929138,27.8639384920022,27.8508096716721,-0.0728300868759675,1
"P02549",21,23,24,24,24,28,27.3727075351192,26.5963493614363,27.9206190862601,27.0807954120262,28.0695443344589,27.4043222400704,-0.760467980768433,0.411022312962522
"Q15365",22,20,23,24,27,28,28.7923898708815,28.8524818855153,29.1602496778609,28.887579950892,29.2403841835375,29.1980687909571,-0.0849643683051665,1
"P31939",24,26,27,27,27,31,27.6306709553811,27.7918253362919,27.9000076463807,27.9139913397314,27.9015053425763,28.2931878799807,0.188940203888633,0.821045118877353
"Q99832",26,26,28,27,24,33,28.6240744394646,28.5768568174127,29.0009007358655,28.7985132323923,29.0713428776171,29.1251995051205,-0.0652494993405668,1
"P12709",23,26,31,21,19,22,29.3515326561332,28.3785609152853,29.669879534395,28.4410445070018,29.6520081520476,28.7156869095812,-1.04604267023583,0.0394350205914822
"P09651",26,27,29,27,26,29,29.9311788086818,29.943353737878,30.0220536591296,29.8199236384269,30.12935770462,30.1765645873762,-0.0475827362501005,1
"Cont_Q1WEI2",22,20,27,20,23,24,30.178827276583,29.9015742991903,30.4652268482341,30.0489532662152,30.4057155254181,30.2993301722196,-0.266637304203365,1
"Q13200",26,22,29,27,22,32,27.426481804477,26.9983107437159,27.2444583479048,27.0002171977377,27.9148308138235,27.4792807052448,-0.369320773168965,0.870800267254435
"P22626",28,25,25,27,24,28,30.0282451881889,30.0327602513797,30.2369524112026,30.0933580806202,30.3566846157848,30.4053562600716,-0.0301358743682686,1
"P40150",32,28,30,26,26,27,29.7723896881668,28.9613324005673,30.043023945008,28.8410697146972,30.124810438887,29.1395472931146,-0.999424887894233,0.0385604204136161
"P31539",26,28,32,22,17,20,28.0427381333632,27.3468020814754,28.4377315027047,27.6799368399652,28.350969926344,28.0257313200179,-0.592989773651134,0.502151748328462
"P15108",34,32,32,31,30,30,30.6965489384819,30.4651417597252,31.1034683901503,30.4665541023409,31.185142963278,30.7411840713119,-0.437426786177401,0.231571870387624
"Q15029",23,24,26,26,23,24,27.6843554751205,27.6200293811598,27.9881646691971,27.7889940696791,28.08211784806,28.0566894724039,-0.0963083563782684,1
"P41252",27,26,27,27,26,24,26.9724604740797,27.0854192928478,27.9340548942489,27.6509504899575,27.768054154861,27.2214242764809,-0.238925154634468,0.98356700854864
"Q04637",20,25,26,21,29,28,27.3592833423849,27.4047552936647,27.5706275061403,27.5290508782048,27.7820640825497,27.7058441259249,-0.0241082110934994,1
"O75533",23,24,24,22,25,26,26.9344643960884,26.8037519601018,27.227442466607,27.0731079561756,27.338082246564,27.5121229202352,-0.0370020909155997,1
"O14980",19,19,20,28,23,28,27.3104394344007,27.4667868280899,27.68121910602,27.4492526953097,27.7563419203774,27.8681785256601,0.0120725294205345,1
"P46940",18,25,22,23,22,25,26.1199406903821,26.3408597014587,26.3987486491066,26.4184206417327,26.5926956332176,26.5561198701908,0.068005080225299,1
"P00338",22,24,26,27,22,28,30.180639155458,30.0875567204899,30.50554809124,30.1315145880606,30.511717913796,30.6071862574172,-0.123882531508767,0.999228499599805
"P16157",18,16,21,21,23,24,25.8673897942448,25.9724326015632,26.1760947573747,26.0678544693879,26.2536428018174,26.2697717491517,0.00431048888863354,1
"P49588",21,23,25,24,21,27,27.3525183197581,27.4877676747394,27.8197931826722,27.5451687014844,27.8309440553076,27.8502560017083,-0.040021059935268,1
"P26599",19,22,23,26,20,22,27.728180442944,27.8613472605365,28.10909255565,28.1149899744479,28.3902822029717,28.4100022716876,0.0529281017020994,1
"P63244",23,22,23,26,22,19,28.3837347423504,28.5022928133606,28.7698719355859,28.4406538916304,28.8193851765583,28.7662501584127,-0.0879316636969657,1
"Q3ZCM7",22,21,26,24,25,29,29.7606101154615,30.1875783102904,30.1600632903212,30.0051725534949,30.3046575496635,30.3101845067557,0.0925348050316011,1
"P02545",27,28,28,26,27,27,28.7938006384633,28.7355362952988,29.182296443704,28.9813392438056,29.1247927730738,29.2793959174521,-0.0348727995615334,1
"Q9NR30",22,26,27,23,29,29,27.8004848360566,27.9999526180016,28.2644759605601,28.0936620830024,28.4044556910831,28.4297922424325,0.0179968185788996,1
"Q9UQ35",18,21,18,21,19,21,26.3893704651085,26.2931104022251,26.7631587626459,26.5417888343258,26.8867319988529,26.8890570736673,-0.105101638796366,1
"Q00839",22,20,24,26,24,25,29.0160339428416,29.311021659998,29.4333284475802,29.2393516041923,29.6104168411937,29.6343885452703,0.0416608592817009,1
"P26038",26,22,27,23,23,28,28.5296109426618,28.5020936757664,28.890196633517,28.687467420176,28.9970865117274,28.9782133725949,-0.0830398731229671,1
"Q7Z6Z7",21,19,21,22,22,18,26.0718619923256,25.9436526876637,25.9610856814399,25.8920883417581,26.3240273692896,26.1966486482892,-0.108195121781366,1
"P02829",30,29,29,25,24,27,30.5904070453464,30.40780416528,31.0092658431049,30.3993311282489,31.0791193332224,30.6686792191842,-0.400992569653533,0.231571870387624
"Cont_P02769",19,20,27,25,28,30,27.476134693776,27.4380230052383,27.9360685233577,27.7584396757903,28.1054734411093,28.0860934524504,-0.0783735082546677,1
"Q92598",21,26,23,20,23,24,27.1262231611098,27.2988293316876,27.3674446136876,27.1762652349256,27.5014635399134,27.480063393877,-0.0133244514068653,1
"Q9UPN3",12,13,12,15,11,19,24.8201768194793,25.1688930422921,25.3180296956995,25.0095892857441,25.4410679430949,25.4511801664164,0.0167960120596327,1
"P43243",19,18,16,21,20,24,27.2242792125442,27.2538345038306,27.7489194284829,27.5350596135828,27.919787156234,27.9889191058089,-0.0383908580129339,1
"P31943",21,23,24,21,27,25,28.128656431634,28.1398718436698,28.5493242876957,28.451941532786,28.7387994142729,28.7468805388375,-0.0260287394364328,1
"Q16658",23,22,27,24,24,29,28.4738554727034,28.3263226374704,28.8782863310065,28.6395891186301,28.897720936635,28.9427326579259,-0.113739442106166,1
"P13796",22,20,22,22,24,26,27.4257067510831,27.6082846058485,27.7157852409768,27.4547942755288,27.8461621760324,28.3999485653863,0.1584577595571,1
"P08243",23,18,25,24,24,27,27.6661363243361,27.8331674769632,28.0548768615113,27.7980443664056,27.9262446811743,28.0866542557737,0.0235360773735991,1
"P49411",20,19,21,17,22,22,28.0887774036113,28.087051642954,28.5111996098919,28.2268619534909,28.5156158707151,28.5466407493749,-0.0850128461328327,1
"P11940",18,19,25,23,22,21,27.8965706781959,28.3244530658901,28.445915076958,28.2136346782997,28.6417193815941,28.5903929958216,0.0480918677544674,1
"P26640",22,19,20,20,24,20,27.6716232347511,27.2270703244801,27.4628051603883,27.2574546018905,27.4806245567687,27.5682729926205,-0.187418344305666,0.998021631547643
"P19414",23,24,25,17,23,21,27.9161811593753,27.1240196819136,28.3023315696276,27.1931416568687,28.4593734560593,27.4535030004135,-0.969073948622132,0.0712813205606141
"P55060",15,22,20,17,25,25,27.3764684255385,27.3832444343883,27.7268948918141,27.5473298432207,27.7982973613289,27.8069802460576,-0.0547020516716342,1
"P11021",24,24,24,23,23,25,29.9351718853269,29.738812296529,30.1817466012699,29.8023604606838,30.2496114533806,30.0588114102072,-0.255515257519132,1
"A6NHR9",14,17,16,17,21,20,25.4837954850903,25.5827696614237,26.069075535865,25.7617528929731,26.0078386176478,26.1619380733743,-0.0180830036106663,1
"P50395",21,22,23,23,25,26,27.6417684340192,27.8527962693626,28.0355968620593,27.7867887901659,28.1262534152181,28.1675685208208,0.00117828968423458,1
"P56192",16,15,24,20,23,25,26.5009333956374,26.8066539470574,26.8244726565367,26.6362232280704,26.980619267497,26.9924802731493,0.0431107095353328,1
"P22137",21,25,18,10,13,18,26.7127887281427,25.8386838231475,27.0433377383746,25.8228969529645,27.1141474169768,26.0668647212722,-1.0472761287033,0.0525800274553096
"P50991",21,18,18,22,19,21,28.3158335206301,28.2416717601776,28.6580850614505,28.4624552175716,28.7581419699002,28.8563552348022,-0.0571927798098007,1
"P68032",23,22,26,27,23,25,31.8665041370104,31.7295720998001,32.1088678627656,31.8295064516362,32.1376944431287,32.0869475296746,-0.155680120597932,1
"P25694",27,25,26,15,18,14,27.8850674706202,27.1115685562128,28.2760793828424,27.2023287728813,28.3112871123715,27.5491925387971,-0.869781365980966,0.106826254153718
"P23246",23,18,21,21,19,28,28.6626729385146,28.5627259474796,29.071839084519,28.7458970857371,29.0106220055247,29.0185082114669,-0.139334261291566,1
"Q92945",20,20,23,22,24,21,27.3213214877558,27.2655721270237,27.6546355915298,27.4625032710958,27.7997906899054,27.8554615397912,-0.064070277093433,1
"Q15393",16,17,17,17,18,18,26.6348538033436,26.8358603592971,27.0531211497977,26.8789388638273,27.186666651285,27.2518546645381,0.0306707610787337,1
"Q13435",18,19,20,19,21,22,26.8907474321996,26.6677644968212,27.3632574449232,27.0681730795893,27.3014149754567,27.3821526073391,-0.145776556276633,1
"P49915",22,23,23,24,22,23,27.1750384130214,27.3570929980008,27.6769031536806,27.4168940178435,27.7616733682435,27.8337987618096,-0.00194305243053231,1
"P62937",21,18,18,24,17,20,29.9734135127886,30.2605033827196,30.1831837538526,29.9302289462243,30.2395256943939,30.2209979018989,0.00520242326923418,1
"P09972",23,20,20,20,20,20,27.9564808269236,27.9874742879834,28.0978962981509,27.9201780067957,28.2609951715282,28.3060010372354,-0.0339063215293992,1
"Q9UQ80",22,22,19,23,23,23,29.07327584513,28.9942696957386,29.349677810463,29.0593033623493,29.260420970881,29.3162454804948,-0.104518695963767,1
"P38009",20,21,27,12,15,16,27.6595318141321,26.6441510342178,28.1233303348353,26.8202319503622,28.2799689909883,27.2515471322079,-1.11563367438927,0.063790507902447
"P25705",18,22,23,21,18,23,28.5454753449001,28.6337452450436,28.8935575253913,28.7344820232035,29.0086394260076,29.0584180579911,-0.00700899002026745,1
"P02786",21,19,25,20,25,27,28.2507909508735,28.4295395524013,28.6948632786379,28.4715277455393,28.7856830393938,28.8696126683702,0.0131142324685338,1
"P38972",22,18,20,11,11,16,28.5265856798078,27.4696118856409,28.9768939318806,27.8720894180363,28.9623378326278,28.0435198073824,-1.02686544441887,0.0519424879777841
"P04807",19,22,24,12,19,17,28.7058633158326,27.9338746766097,29.0080871329802,28.0974475549606,29.1122406332799,28.3397070421237,-0.818387269466234,0.0730952186782632
"P0A6Y8",8,10,9,20,19,19,28.8989559628647,28.8458554334079,28.9823049794713,28.6623857675064,29.0976187431674,28.9360973769988,-0.178180369196768,1
"O00410",15,19,24,19,18,26,26.5910290851191,26.7127329024802,26.7775188042207,26.4552054181276,27.2077820280186,27.0273613690345,-0.127010075905365,1
"Q8WUM4",21,20,18,22,18,27,27.102731513033,27.0081717860334,27.3334510213811,27.1175640002044,27.6255233580841,27.7162828688778,-0.0732290791275325,1
"P16862",18,21,21,10,15,11,27.5003997739195,26.2112125025935,27.9387155314779,26.7555052844284,28.0069105399369,27.1008028354111,-1.12616840763377,0.0766423239259637
"P09874",17,20,25,18,20,22,27.1461443018621,27.2222968449546,27.50770186486,27.3329502833555,27.6340208852757,27.6733085363386,-0.0197704624497005,1
"P51610",19,20,18,21,17,16,25.9625767481574,25.9725135881393,26.5787113960063,26.1492529650635,26.556074601946,26.5638792506253,-0.137238980760535,1
"P0CS90",23,26,21,13,19,18,28.7308466674923,27.8404837683919,29.1569766245549,27.9216311327724,29.1787107392247,28.2491489058586,-1.018423408083,0.0487301457855088
"Q02790",22,23,23,22,20,21,26.9625953690209,26.8597506900942,27.1961845640368,27.1890878138632,27.5376363351497,27.2500139819616,-0.132521260762799,1
"P12814",20,19,19,20,19,22,27.3291311532408,27.4757866093408,27.643524403972,27.4329263097908,27.7451068030638,27.7765629505649,-0.0108288301933648,1
"P38011",16,21,24,16,13,18,28.1534928116869,27.2244495372277,28.5500822271355,27.2178611371322,28.5449020738016,27.529140860665,-1.0923418591997,0.0515988588560441
"O60506",24,22,22,24,22,20,28.1963520838501,28.3395922012142,28.5636243207004,28.2761369033658,28.5710171206009,28.5933462111332,-0.0406394031460676,1
"P46821",16,16,13,19,18,15,24.909213196669,26.266316884614,27.163028166296,26.2225209112236,27.1346627335397,25.4117349228534,-0.435443792604566,0.946014460065351
"P54115",24,21,24,15,14,14,28.5841027899847,27.4533148493121,28.9948046919185,27.6062791398246,28.9749673229949,27.9845027736756,-1.1699260140286,0.0487301457855088
"P20700",21,24,23,25,25,23,28.3060248254407,28.356549358178,28.6707790888804,28.4677959504908,28.6948100487335,28.7841517594056,-0.0210389649934015,1
