"protein_group","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_A_1","number_of_peptides_B_1","number_of_peptides_B_1","number_of_peptides_B_1","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"Q86Y56",11,7,14,13,10,14,19.9817026803242,20.0947383375459,0.192076060231601,0.0187630139714999,0.0579468623414725
"Q9P000",NA,NA,NA,NA,NA,1,20.4217544219413,20.5325191242259,0.103109934222075,0.698947728482703,1
"P27708",43,46,53,58,50,58,20.845985449992,20.7958740782244,0.104384913685346,0.0074966100652122,0.0262033827312516
"Q9NXG2",9,10,10,9,10,7,21.5236997314636,21.673260691978,0.237952094044402,0.0190057281654062,0.0585593889416311
"Q9H0S4",8,7,5,11,7,6,20.0911940356416,20.0177658676301,2.43654000820813e-19,0.999999998955395,1
"Q96G03",13,16,14,14,11,16,21.2827069333899,21.1363567642519,8.3336882196208e-21,0.999999999872798,1
"Q5RI15",NA,1,2,5,NA,NA,21.3647306853269,21.3207223647439,-9.5028023629369e-21,0.999999999945095,1
"Q3MHD2",5,6,6,5,4,6,21.7400428790728,21.7730294271102,3.4395976894504e-10,0.999959670311812,1
"Q92979",5,6,5,8,9,9,21.0674641169847,21.1173618577911,0.168621433049647,0.162120468785525,0.346425843825912
"Q13144",4,10,7,6,7,7,21.0495951687245,21.126071290434,0.191887411801606,0.00887327777913749,0.0301760052308555
"P62826",3,5,4,6,4,5,24.9786578489954,24.8114612218491,0.0635238936219377,0.345057897468513,0.637457326859927
"Q13263",38,39,39,38,45,37,21.9124094781914,21.8974236576648,0.0931545312520879,0.00160598152438536,0.00678652560905198
"P14550",11,7,9,8,9,9,21.5334531556028,21.4611827022908,4.51536386248862e-20,0.999999999494073,1
"Q8ND24",4,2,1,4,2,3,20.0613722179505,20.0323442879361,5.93196001283489e-20,0.999999999671955,1
"O75937",NA,NA,NA,6,6,6,20.4414537041844,20.4650067733358,3.78142187690417e-20,0.99999999976061,1
"O15160",5,8,8,7,8,6,21.4227378338785,21.2542107462346,2.18778445609567e-20,0.999999999685692,1
"P41236,Q6NXS1",NA,2,NA,NA,2,2,20.8099497358043,20.5593034543942,-3.52818872333241e-20,0.999999999716274,1
"O95684",8,8,6,5,7,6,20.7902483959694,20.7427498248799,0.0356107754719769,0.524162933545187,0.898224663393344
"Q02978",8,7,8,12,7,7,21.0165099331688,20.8869357085161,0.0826061529232649,0.401691132520996,0.722605929599801
"P12270",47,48,54,52,50,56,21.5915083263844,21.560603980593,0.124891193299533,0.00113623896943166,0.00499339657007519
"Q9Y5X3",NA,8,7,NA,8,8,20.8050491865406,21.0031094276581,0.177069790567692,0.123825610893164,0.277870567301922
"P09382",10,8,9,9,9,9,24.2459127691584,24.2577590551815,0.175160690230935,0.0501905826066135,0.130619435361693
"Q7Z7C8",5,3,NA,3,3,NA,19.7175733192724,19.7646905673745,6.0100492227433e-20,0.99999999975752,1
"O60832",12,11,14,13,12,13,22.1237248122688,22.1775568634,0.020119883696683,0.530749917205544,0.907449971820817
"Q14498",9,14,15,13,12,15,22.3453554425137,22.4436663777346,0.168109992590662,0.0130530263190555,0.0423441136521049
"P62310",2,4,2,4,5,4,21.7871800120193,21.9349236284548,3.98351917526102e-20,0.999999999852035,1
"O14737",6,6,NA,6,5,5,23.4026697708743,23.4074044395791,7.45722127521747e-20,0.999999999452981,1
"P62140",3,NA,NA,3,5,3,21.3789695994617,21.3265039513222,0.0974187367635852,0.173545457407583,0.367069983234781
"Q9Y285",9,10,14,14,13,12,21.3332851238648,21.266562440883,0.103067945656722,0.0741565948976532,0.181876630051029
"Q99733",9,8,8,8,7,10,21.5100590261655,21.4653697239404,0.155074253368645,0.0292852084122506,0.0837309479955898
"Q9UIA9",16,18,18,23,13,16,20.9995497991178,21.017046022448,0.1200573226725,0.091062574993136,0.21440818548986
"P63313",3,2,2,2,2,1,23.6612797619135,23.8473830654811,2.08208153795922e-09,0.999907033691884,1
"Q9H6Z4",13,9,8,11,8,7,20.7105089747581,20.5809575769786,0.0675188613507201,0.390254517616612,0.70733631318011
"P47755",7,8,9,9,7,8,21.4852183865434,21.3978412143871,0.126949226187184,0.0416202262976432,0.112479034510477
"P05771",9,7,9,9,9,7,20.6802317798546,20.4218429943039,2.24563442383092e-20,0.999999999762752,1
"P29083",NA,6,3,NA,3,4,19.7507382383715,19.6248170557976,-6.22031368866476e-17,0.999999993711635,1
"P0DP23,P0DP24,P0DP25",4,4,5,4,5,6,22.4379568579872,22.4664763500762,2.88849170223446e-11,0.999993389896452,1
"Q99287",3,NA,NA,NA,NA,NA,20.8086308748932,20.2148506587491,-0.359030966738075,0.0170281057906645,0.053306252884417
"P07741",7,6,5,7,7,6,23.577973165973,23.5234057286284,1.861639596825e-10,0.999976184273947,1
"Q96C90",4,5,4,5,5,5,21.5808970159281,21.4689028045781,5.37935951098747e-11,0.99998865325396,1
"Q9NY33",9,9,18,17,8,15,20.6691843422356,20.7697198750091,0.275678809656027,0.00667328948536657,0.0237023027616183
"Q9UBF6",NA,NA,2,1,NA,1,20.1603608957688,20.1696927353852,1.1286473248113e-19,0.99999999968256,1
"Q9Y5S9",7,8,9,8,8,8,21.3308050632287,21.2048954345356,0.176989187987131,0.024999871114033,0.0737559081832678
"O60927",2,1,1,1,1,1,20.3143616930868,20.1636530170182,6.85622469269194e-20,0.999999999722486,1
"Q9NYB0",8,10,10,8,9,9,20.283680667366,20.1522048705065,3.08708610814417e-20,0.999999999612011,1
"P25398",11,12,11,13,14,14,22.9158641951378,22.7469390452726,3.93418411081301e-22,0.999999999994426,1
"O00299",20,21,18,19,17,19,26.0174030713377,25.9710567040637,0.0779124464248812,0.123928063695602,0.277982286521626
"Q12434",4,5,6,3,4,NA,21.6019740787943,20.5551624506979,-0.716907775903361,2.48829526676923e-06,2.09127745509681e-05
"Q9Y4E8",26,24,26,29,31,30,21.4083307330915,21.3520893505686,0.0804094562227074,0.0790294533874016,0.191426092234376
"Q9H2C0",1,NA,NA,2,3,1,19.838344166914,19.7796351828008,9.42591478188517e-20,0.999999999549291,1
"Q9Y5J9",4,3,NA,3,3,NA,22.4129184077789,22.3419867740024,7.389195972316e-20,0.999999999514924,1
"Q9UN36",3,4,3,4,3,5,20.449074205167,20.2564740666401,3.25768653181848e-22,0.999999999997191,1
"Q96I24",14,14,8,12,16,16,21.6262999598769,21.523730633874,3.39962968047254e-20,0.999999999578419,1
"Q9NXV2",3,2,1,3,NA,2,20.1515396736686,19.7963352402421,-0.103048973554363,0.711854781759915,1
"Q8TAG9",NA,NA,4,5,NA,NA,19.6271661180689,19.5275207169472,6.44220553191281e-20,0.999999999602984,1
"Q9NQT5",6,6,5,5,9,6,21.133782278658,21.2469911053988,0.243124572283205,0.00737142851600021,0.0258171199120432
"Q9Y5Z4",5,3,4,NA,NA,NA,21.0063374005587,21.1581066924414,1.71205971300595e-19,0.9999999994386,1
"Q04760",9,11,9,11,10,14,22.2388457342235,22.2160745246245,5.25051129512468e-10,0.999938374431002,1
"O00148",9,9,10,8,10,10,22.2699897840242,22.1692225112859,6.93439294709861e-10,0.999931637573018,1
"Q9NRF9",2,2,3,2,2,NA,21.7218039769337,21.6389298250069,8.84778955132271e-20,0.999999999450538,1
"O60869",6,6,4,6,6,6,22.0579576051089,21.9768741803054,2.11736521943526e-19,0.999999999762661,1
"P49736",20,24,25,21,22,24,22.1329001985087,22.0706448806444,1.99212145711866e-05,0.982165361445558,1
"Q08945",12,12,12,12,12,13,22.6281464838393,22.560823556019,0.0436680558727009,0.343391151717091,0.635045024093484
"Q14151",7,10,10,12,11,10,21.1680019079957,21.0631377970047,5.7696963149868e-20,0.999999999534586,1
"Q15424",9,10,12,10,11,10,22.899267846102,22.8388644021097,3.5209159529973e-20,0.999999999615894,1
"P40429",NA,NA,3,3,3,3,24.0792397748119,23.9209862242915,-1.55344100238004e-21,0.999999999987751,1
"P30520",8,7,9,7,9,10,21.7278820369041,21.6311966409174,5.43512691924301e-10,0.999939988267772,1
"Q9H267",5,8,6,4,4,5,19.6687818146836,19.6401385862535,3.41688574625917e-17,0.9999999946165,1
"Q9H9Y4",NA,NA,NA,NA,NA,1,18.2381189504813,18.6705897427581,0.382338554020127,0.0835310268176315,0.200125628480916
"Q9BXR0",3,3,3,3,3,4,20.4251580023709,20.4379873534033,9.67477016768302e-20,0.999999999368432,1
"P63151",8,6,5,8,6,5,20.0121127526701,20.0561279756903,5.48088201579223e-20,0.999999999591394,1
"Q9BTD8",5,5,7,4,6,NA,19.3733998382748,19.2198260333875,2.31814721124102e-20,0.999999999792348,1
"O95295",1,1,2,NA,2,2,20.36740446428,20.5626334175337,0.296586857291895,0.245695462673399,0.484053994770512
"Q9NPD3",5,5,7,4,5,7,21.6411780935885,21.5725334543917,5.08515199199223e-20,0.999999999705262,1
"P57081",3,5,6,5,8,7,20.3515706084567,20.481851013644,0.0518981179625818,0.599437773738312,1
"P25205",26,29,28,26,30,33,22.5525117590701,22.5601907053422,0.175991963726244,0.00324097948376873,0.0126403256847438
"Q16643",11,11,9,10,12,13,21.851436815291,21.7802130434529,0.0365177680568396,0.428494673545021,0.760711364604986
"P42229",NA,8,6,7,7,8,21.9557952221736,21.8270029871831,2.93780840914658e-20,0.99999999986598,1
"Q8TED0",13,11,8,14,10,12,21.0486308602838,21.0865607783277,0.1955657870477,0.0368374537317502,0.101529023914453
"Q99829",2,4,5,6,5,6,20.7534222659104,20.7266202240466,1.36878010798704e-08,0.99972738693516,1
"Q6IBS0",8,7,8,9,8,8,21.1790895583713,21.0865719756542,0.146378700546559,0.0564904105977544,0.144356997394833
"Q9P289",6,7,5,7,6,6,21.4414369119,21.3984126350872,1.06043948139782e-19,0.999999999331092,1
"P28074",13,13,13,16,14,17,21.8286738344765,21.6563614786981,1.96652132324905e-21,0.999999999962736,1
"P62195",20,17,19,21,18,20,21.7856282126059,21.971466866705,0.396380776565855,2.26132336499112e-05,0.000156425487816817
"Q7Z7K0",4,2,2,4,3,3,20.7872863410021,20.6480803313755,1.07959722511486e-09,0.999938247663307,1
"P15891",17,21,21,16,15,15,22.3244022741991,21.3417428952723,-0.817817662304778,3.96714742017905e-19,2.03287418288398e-17
"O60232",4,3,5,4,6,6,20.6672581949322,20.6724213583816,0.203956335198219,0.0166957961296551,0.0523280356130163
NA,NA,NA,NA,NA,NA,NA,18.6811186486126,18.7462996751308,2.84718381456532e-21,0.999999999983897,1
"P49321",26,31,35,31,36,37,22.0421622846863,21.9858742422173,0.103495975700746,0.0161566498296713,0.0509615601840511
"Q9HAV4",20,15,20,22,23,24,21.2282002481363,21.1944613942144,0.0916923296062664,0.161541290721897,0.345748147781902
"Q96DG6",8,6,9,9,8,8,22.8069071118716,22.7181503956401,2.37474855639709e-20,0.999999999761861,1
"P62913",7,5,5,5,6,5,23.3512728336599,23.1299179226631,-1.19623877184319e-20,0.999999999919452,1
"Q12074",7,5,8,4,6,6,22.3300628223495,21.1589561059037,-1.02184755836534,3.12384072009094e-10,5.20114552701577e-09
"Q9NXV6",5,4,9,9,6,7,19.7210526886,19.7115232518934,0.070109520114235,0.323529234214393,0.605970196985294
"P78347",21,23,16,26,23,20,21.0920513827974,21.0869862643539,0.23730386553486,0.000482690919107845,0.00236330488965789
"P40763",11,12,11,11,11,15,20.8332836442702,20.7084622522874,0.175187196342972,0.00424361799874085,0.0160098754805963
"Q86VP6",26,24,26,24,21,24,22.045769487481,22.1696157141853,0.233417367158228,0.0038622914149147,0.0147079178123519
"Q6P2E9",25,18,25,17,26,22,20.9078720337566,20.9544082239055,0.258786631490291,5.36534846475396e-07,5.21515823148645e-06
"P53602",6,7,7,6,8,8,20.2192924285195,20.1852736372162,0.0172329320287502,0.688064459912358,1
"O43264",5,7,7,8,7,12,20.3783220812998,20.2441042124295,5.08901330650832e-20,0.999999999634434,1
"O76094",16,9,17,11,13,13,21.4777642445986,21.4569447373348,0.125899868488651,0.113537105851149,0.258296915811364
"Q96B36",3,3,4,3,3,3,20.5703954483313,20.3488614352298,-2.1412162655756e-20,0.999999999818873,1
"P23528",11,11,12,11,11,12,26.0617712413127,25.9769442295642,1.25017142256691e-08,0.999681736728335,1
"P60981",NA,6,6,4,5,7,21.8339239967899,22.1022942702826,1.04520261155435e-17,0.999999994608453,1
NA,NA,NA,NA,NA,NA,NA,18.9099605472787,19.3867163036723,0.402024543568155,0.138048306809584,0.303844438424096
"P78371",36,35,37,44,39,41,22.5794387283168,22.5930289720195,0.196274372028285,9.91868975938547e-05,0.000590867319977839
"P48643",27,25,28,34,32,30,21.9992997520592,21.967381346257,0.166633841019018,0.0024903720016029,0.00997414588671159
NA,NA,NA,NA,NA,NA,NA,20.0447972414123,20.0560135009924,1.57480725288025e-19,0.99999999934184,1
"Q7KZF4",37,37,36,39,43,42,22.8660406567829,22.8030882674558,0.0930368614021122,0.00302673111740208,0.0118862253256311
"Q96BD8",1,3,2,5,5,4,20.5383629000834,20.6178040813412,3.99625620658435e-05,0.995719237292431,1
"O75381",5,5,4,3,6,6,20.6724962546328,20.4423495951492,-2.59845081598026e-20,0.999999999759338,1
"Q01658",3,3,3,3,3,3,21.150593878387,21.1923088211157,0.0876193867871751,0.266117922131929,0.514683178091726
"O15294",19,14,18,15,15,17,20.4833408237247,20.4029670954142,0.00606166967091783,0.729570883062249,1
"P40016",7,8,11,3,6,NA,21.4584871681947,20.2548034417731,-0.947037428026123,1.53634623541635e-08,1.87704523854803e-07
"P56134",4,3,3,4,4,4,21.8833079817186,21.8259448002399,2.4266784687231e-20,0.999999999793324,1
"Q7Z4H3",6,7,7,5,6,6,21.9023354011415,21.7643351743919,5.35558638991711e-20,0.999999999503374,1
"Q15020",15,15,13,13,17,13,20.8608573288999,20.7492547701599,5.84243768566419e-20,0.999999999474305,1
"P29144",18,25,23,26,26,24,21.3682656623604,21.3926571961335,0.175937782070868,0.000488140774992137,0.00238335523627058
"P22234",16,20,18,21,17,17,23.6611141152479,23.6745546575054,0.128870559109711,0.0242097804691474,0.0716251240561436
"P20700",33,31,28,33,33,30,22.8291326004788,22.7373903699814,0.0658788034813091,0.189970319424146,0.394092940436244
"Q9NUU7",4,4,4,4,3,4,21.15384981235,21.0663441179876,6.2772051301366e-18,0.999999995661841,1
"Q5SSJ5",5,5,7,7,5,6,21.1830959578184,21.1516446033491,9.46847622123135e-20,0.999999999418089,1
"Q9NX55",3,5,3,4,4,5,20.2478970798926,20.4138281690096,0.167173450431567,0.100871169157786,0.234227026315351
"Q13435",25,23,24,26,28,27,22.0346289064478,21.9361261280399,0.0287055507710365,0.350581115529785,0.646258024341501
"Q8NC96",NA,1,NA,NA,NA,NA,18.6448931653107,18.3325196299644,-3.41132636869233e-20,0.999999999867598,1
"P82979",5,6,5,6,6,6,23.635281256934,23.5554902838196,2.0899191758054e-12,0.999998906859717,1
"Q8WUM4",30,30,30,34,29,35,22.1451852050139,22.0817440952955,0.118528129655907,0.00256359221529056,0.0102171344688157
"Q15637",9,12,9,11,9,10,22.7294753548603,22.6134087082214,1.01472724228536e-10,0.999974669062475,1
"P11745",6,8,6,8,5,4,21.5888942961847,20.748412529064,-0.69653794962439,4.56009260530462e-05,0.000293872634564076
"P29692",18,15,15,18,15,16,23.6828072274802,23.6308301630574,0.129528393302655,0.0061496944943043,0.0220503312098764
"Q9Y2P8",6,6,NA,NA,6,4,20.6115788074822,20.4398470926859,-1.26381112116743e-20,0.999999999900509,1
"Q6PKG0",22,15,20,18,16,20,21.2196149373851,21.1430345212742,3.42597002555731e-10,0.999941451332839,1
"Q9NW64",4,6,6,5,3,6,20.7931646308572,20.80627324606,2.58974596513586e-10,0.999967591720617,1
"P38919",14,16,19,19,19,19,21.6559414799976,21.5017399481056,0.141724533054315,0.0328538436829007,0.0921912223500717
"P06730",6,5,5,6,5,4,22.9740948727571,22.8985478916017,1.91939642694145e-11,0.999988611656617,1
"P46821",22,23,24,26,24,25,20.3754292570739,20.4782176697018,0.165574653744527,0.00452995516680282,0.0169327927552304
"Q15437",7,11,9,11,7,10,20.4755152458159,20.4349490299376,6.31129563279683e-10,0.999938814599301,1
"Q15691",12,8,10,10,9,9,22.930839533898,22.7365145555819,3.79800376942923e-20,0.999999999700525,1
"Q9UPY8",1,NA,NA,3,2,NA,19.4032218975221,19.6173334019236,0.209112211945023,0.305099255816982,0.576759982880383
"P09012",7,7,9,8,8,8,22.4041644235214,22.27589946669,2.76075216965504e-20,0.999999999823978,1
"P21796",13,13,15,13,12,13,23.518256128333,23.5711188912623,0.15501677384614,0.0103771707225927,0.0344686639860566
"O15143",4,6,8,9,9,7,21.5357296391921,21.3463589636873,-3.51941987615688e-20,0.999999999673735,1
"P60660",5,4,5,5,4,5,22.5526145924132,22.6419214874737,0.167249141534391,0.039216744277327,0.106529066544381
"Q9BV44",8,8,9,10,10,10,21.0482401978537,20.9953703341164,0.204711376019311,0.0593725209171783,0.150368601439955
"Q2VPK5",4,NA,NA,6,5,5,19.9991239514485,20.0608738022711,0.151446053520338,0.0878699221474133,0.208212136183184
"Cont_P60712,P60709",3,2,2,4,4,3,24.9159233872963,25.1378943588231,0.338031932725343,0.0805077269046147,0.194204653840291
"P63261",2,2,3,2,3,2,23.3442396691603,23.6851737994443,0.319653313422477,0.0895560098472869,0.211299338388011
"P35658",31,31,32,41,36,34,21.7451573232273,21.7104882894075,0.120459733089159,0.000567953607650553,0.00271036088714251
"P12235",NA,2,NA,2,NA,NA,21.0195470945819,21.0113941942564,1.18242663479926e-19,0.999999999432176,1
"Q92620",11,8,12,10,11,9,19.5815274477168,19.4951574095356,0.109827026688615,0.12480857532403,0.279719601087147
"Q9BTY7",11,9,10,13,9,9,20.2120132552622,20.1787963254224,0.0435063904094602,0.429678054535199,0.762043270106445
"Q9NQS7",5,3,NA,5,9,7,20.1285596804592,20.0710267598986,1.01650598343066e-19,0.99999999938251,1
"Q15365",19,17,20,21,23,23,22.2359576434214,22.1732248195591,0.0893547370009625,0.0703080460445115,0.173992253508138
"O43592",13,15,16,17,13,11,20.1569312214103,20.1647586139538,0.151653162547908,0.00781473594045569,0.0271866561995936
"P26599",20,20,20,25,21,22,21.997847443014,22.0557727163606,0.200768627950067,0.00019122441778415,0.00108176042557851
"P00498",7,7,8,5,3,6,21.3661902782544,20.4494311674996,-0.679284734755018,7.15785794435642e-06,5.49115904510366e-05
"P32381",10,9,9,4,8,10,21.0760831786901,20.1210169350293,-0.832422126259955,1.0769163319505e-07,1.15527731708023e-06
"O95373",21,23,21,19,22,19,22.0286646539933,22.0250667141248,0.129444441020347,0.0635289082736653,0.158987945883549
"P60010",16,23,24,16,16,21,21.2752139590891,20.439781248508,-0.725486554606618,4.84465883683975e-16,1.70467395605601e-14
"P49588",30,30,32,31,29,35,21.7948724486483,21.8062982227124,0.123440118740589,0.00186434348732472,0.0077358529293238
"P49723",14,9,11,8,7,6,23.2160693797682,22.3279776868739,-0.801817826104639,4.67116911588087e-10,7.44846845728678e-09
"P06132",12,10,13,12,12,12,20.884467064491,20.7790037873964,5.2005933017953e-08,0.999523837012829,1
"P06748",17,21,21,17,16,24,21.8596945112646,21.6509197114497,8.18176124477144e-21,0.999999999887736,1
"Q9NVZ3",7,8,6,6,7,4,20.826760323949,20.828697023399,0.116180963796137,0.32781907049779,0.610511154457344
"Q8WW33",7,6,7,8,8,6,21.5776753666163,21.6167283203669,1.6636099693705e-19,0.999999999234371,1
"P49327",95,99,97,95,98,108,22.5271261376053,22.5201447607732,0.150716724604299,6.24032741698638e-08,7.02269682448915e-07
"P17987",33,32,36,36,37,38,23.7047554427183,23.65595405205,0.143351512814351,0.00018602135813251,0.00105345571697788
"P19623",14,15,16,15,16,14,22.2376745041959,22.2466527057877,0.205310277446458,0.0804271310012567,0.194127232078085
"P61978",25,28,26,24,26,28,25.0509570400603,25.0416718934127,0.128804494449086,0.0196906673325054,0.0603081452355186
"P51991",16,16,19,17,18,19,21.7811633244631,21.7856133437167,0.157026856132272,0.0048496404740322,0.0180002829971462
"P52597",15,18,18,19,18,19,22.0783411471235,21.9730404897343,0.186769572028092,0.00544144991580333,0.0198754136024982
"P31943",17,17,20,18,21,20,22.1504324861074,22.0538848172597,0.0570753860720714,0.179405298435747,0.376501457313668
"P41252",41,40,44,46,50,44,22.1132457810197,21.9998829622112,0.114293498790189,0.0222246106459253,0.0666107296928981
"P04080",6,6,5,6,7,7,22.2061000399589,22.1126006966849,0.0140148322827564,0.756596777691301,1
"P49368",35,38,39,40,40,39,22.9691935569463,22.9983556224968,0.178459994945595,0.00673243473193725,0.0238802355612667
"Q99832",31,29,29,33,30,31,22.346371080377,22.4859185765414,0.309422998793115,7.53731747449107e-07,7.11662998754274e-06
"P11940",5,6,6,6,5,6,20.7683576469717,20.6022152575337,2.83889330779775e-20,0.999999999717978,1
"P55884",24,26,29,27,29,30,22.3564184591263,22.2804372380711,0.0661589462032909,0.202022413259969,0.413605235526033
"P63220",7,7,6,5,6,6,22.2401433238319,22.3923584319196,0.246080040106883,0.0359820043935845,0.0994829854318171
"Q99385",2,2,NA,1,1,NA,20.689779302351,19.7689300731287,-0.646036060936075,0.0122684793512332,0.0400204165734294
"P62258",23,22,23,21,22,23,23.1659361548583,23.1144457947934,0.152537015316343,0.00366999432848483,0.0140536602974101
"Q9UGV2",NA,NA,4,5,6,7,19.6611184318711,19.9209130340963,1.87752220249519e-19,0.999999999298428,1
"Q5BKZ1",16,12,11,13,14,12,21.1001246325791,20.9913500844633,5.33648539740693e-12,0.999995978412857,1
"P15303",12,14,15,12,12,9,20.918012000538,19.8786682945149,-0.790468921407764,6.33573029080079e-13,1.54814742939104e-11
"Q15428",NA,5,8,6,5,7,21.7193859133747,21.6260672788965,-3.46489103083669e-21,0.999999999966533,1
"P33448",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q14566",30,27,32,27,31,30,22.4690661473553,22.4093960300477,0.0984666402866945,0.0103506173623196,0.0344021148855937
"Q12154",8,12,9,8,5,7,21.5360023550331,20.6073133958954,-3.98165903442274e-07,0.998743353647526,1
"O00161",5,5,6,5,4,8,21.1219603155129,21.0406623997374,2.91176032657766e-20,0.999999999796741,1
"O43399",8,8,10,8,10,9,21.8642790048646,21.7147728745512,5.15425057328485e-20,0.999999999528884,1
"Q9H6V9",5,1,2,5,5,4,19.4761275632554,19.8817133164804,0.231771268016436,0.158828520338701,0.340909691072658
"P32598",6,5,6,4,4,3,22.098181648694,20.9561807564369,-0.956578241776552,1.12565233524899e-09,1.687838927683e-08
"O60220",2,NA,6,NA,NA,5,20.4989838737853,20.4138738105979,-2.70763648148999e-20,0.999999999924925,1
"Q12016",1,1,NA,NA,NA,NA,20.4634894543181,19.3925859996632,-0.969321584909458,0.000411348644212797,0.0020776058795743
"O43504",4,6,4,4,5,5,21.9844343970705,22.1364147005723,0.0155976982878593,0.72389158217223,1
"Q9NQC3",7,8,8,10,7,11,20.8410857932092,20.6809025846309,2.8079163267834e-20,0.999999999738149,1
"O76021",8,6,10,8,9,8,22.4888687939612,22.5182816559128,0.207424849142187,0.0434801250752263,0.116491421394439
"P53384",4,NA,4,6,6,5,20.2840583581549,20.1901597646431,5.89803467976589e-10,0.999949829147808,1
"O75832",6,5,5,6,6,6,20.8552784138229,20.74130623414,1.90097245487595e-20,0.999999999782737,1
"Q9Y5L4",7,5,4,6,6,8,22.0239429366591,21.8306895263674,2.79462314335928e-20,0.999999999755643,1
"Q5JS54",NA,2,3,3,3,2,20.5362550956019,20.6203726256446,0.138817472233102,0.348852452433087,0.643791344035605
"Q15050",6,5,7,8,8,6,21.555479917025,21.5463213489352,0.142580829430306,0.173435013343248,0.367036888703154
"A0AVT1",20,23,23,22,22,26,20.6838069587815,20.6968988475921,0.10856533713456,0.0557539466553315,0.142617690906167
