"","protein_group","number_of_peptides_Cu.complex_1","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","abundance_Cu.complex_1","abundance_DMSO_1","abundance_Mn.complex_1","abundance_Cu.complex_2","abundance_DMSO_2","abundance_Mn.complex_2","abundance_Cu.complex_3","abundance_DMSO_3","abundance_Mn.complex_3","abundance_Cu.complex_4","abundance_DMSO_4","abundance_Mn.complex_4","abundance_Cu.complex_5","abundance_DMSO_5","abundance_Mn.complex_5","abundance_Cu.complex_6","abundance_DMSO_6","abundance_Mn.complex_6","log_ratios_DMSO..vs.Cu.complex.","log_ratios_Mn.complex..vs.Cu.complex.","log_ratios_Mn.complex..vs.DMSO.","differential_abundance_qvalue_DMSO..vs.Cu.complex.","differential_abundance_qvalue_Mn.complex..vs.Cu.complex.","differential_abundance_qvalue_Mn.complex..vs.DMSO."
"501","sp|O43396|TXNL1_HUMAN",NA,NA,NA,NA,NA,NA,4,4,6,6,6,5,NA,NA,NA,1,NA,NA,19.9100087773308,22.0059404166289,20.7348656719114,19.0041076416092,21.5334240824771,20.7240082323977,20.0921686966295,21.8590443810598,20.6116581596531,19.1747632863185,21.9066776883085,21.4774459024884,18.9243470626747,21.6235437384595,20.6470038059731,19.7944302406814,21.9532223157701,20.6759582213624,2.33033781957663,1.32851904809033,-1.0018187714863,3.49555291340831e-08,0.000174603256451496,0.00160307805828996
"502","sp|P37837|TALDO_HUMAN",3,3,3,3,4,3,8,8,9,7,5,6,3,4,4,4,4,4,21.1445642728267,23.7004863908317,22.2746086351901,20.1834774278405,23.3450252263194,22.0810367137237,20.4741103055365,23.4400324647666,22.1083387633852,20.6497728972321,23.3026429674848,22.9203224129223,20.4996649005732,22.9937074684089,22.2795880535015,21.0317851544481,23.3263984891935,22.1991750771927,2.68748634142463,1.64661578290973,-1.0408705585149,1.51009422303039e-09,7.87437853092809e-06,0.000509719358848655
"503","sp|Q14980|NUMA1_HUMAN",1,NA,2,NA,NA,NA,1,1,NA,NA,2,3,NA,NA,NA,1,NA,1,18.3648220854219,18.7383971331992,18.1618767615333,17.1546417161451,18.5881609302486,17.8110561585294,18.7473459285714,18.2492920003669,17.9645760289475,17.1854453674974,18.3364934842812,18.6916474666871,17.4418026602828,18.644349214179,18.0093779234206,17.1250129241302,19.0952196009444,17.2126409590346,0.93880694686175,0.305350769350618,-0.633456177511132,0.00469404718884778,0.445575127256341,0.071390311679318
"504","sp|P54577|SYYC_HUMAN",1,NA,4,NA,NA,NA,4,6,4,5,3,5,2,3,4,2,1,3,19.5120886619127,20.8231813054193,19.3563310656812,15.7343788588675,20.5658869793452,19.6628163309475,20.3047990192519,20.5275779437612,19.7283559958165,17.3353967230004,20.6457210919928,20.1870486121134,16.0589434217266,20.3938587377672,19.3668391172426,17.2155688315866,20.6658390015578,19.3030578686617,2.91014825724963,1.9072122456862,-1.00293601156343,6.23473673311319e-05,0.0111332570200369,0.0260065055195002
"505","sp|O95757|HS74L_HUMAN",NA,NA,NA,NA,NA,NA,2,3,1,3,3,2,1,2,2,1,NA,1,19.6881887268729,21.1804087921647,20.2837395029745,18.6837685412085,20.9789687542653,20.0951062667282,19.6902450674564,20.8264900050947,20.1022330028992,18.8786068423209,21.2155451452279,20.9722359009492,18.6999880601672,20.7880140225045,20.4449324734503,19.2541608665876,21.0265595759025,20.014506657014,1.85350469842435,1.16963261656698,-0.683872081857366,4.73478830605036e-07,0.000493623769863988,0.0166127678339544
"506","sp|P39060|COIA1_HUMAN",2,5,3,4,5,5,NA,NA,NA,NA,NA,NA,4,3,4,2,3,4,20.4902765378184,NA,20.7144146993641,21.2391162940913,16.7619168461463,20.1856325392131,20.3881954873822,16.6943065985882,20.3123471927238,21.2049795726269,NA,20.7884890386564,21.0912121239031,16.3264633701141,20.4693088137228,20.9342505696286,16.7508682913199,20.0516704651225,-4.25794965436629,-0.471027972774634,3.78692168159166,1.65116920006605e-10,0.0945304709067704,3.47726753703132e-09
"507","sp|Q9Y265|RUVB1_HUMAN",3,NA,4,2,1,5,7,8,6,7,6,6,6,6,5,5,6,6,20.9727617784196,21.802566949089,21.2787097716025,20.066818917085,21.4561582362781,21.3118368523667,20.8710061751426,21.6033663439185,21.0605219546273,20.8286095212582,21.8015699306178,22.0883795209901,20.4182801110148,21.7708271913906,21.4818335449232,20.5222050779444,21.992777252847,21.2346798978145,1.12459738721273,0.796046660243284,-0.328550726969449,5.47333025615997e-05,0.00607771708124336,0.16986592890114
"508","sp|O60547|GMDS_HUMAN",1,NA,NA,NA,NA,2,6,5,5,5,5,6,5,4,4,4,4,3,19.0869018729031,21.2941212160385,20.3165972524884,15.3666340130719,20.7646882787003,20.3757297880102,18.279950848802,20.9644678731146,20.5204595803437,14.7710880918959,21.0849959994921,21.12169349371,16.40694088322,20.356187579146,20.3960157106857,18.7530975688486,21.0155443642514,20.1951299194564,3.8025653386669,3.37683541099215,-0.425729927674751,3.81486813649084e-06,7.96575845192886e-05,0.120573456394352
"509","sp|O00148|DX39A_HUMAN",5,2,5,1,1,1,6,6,7,6,7,7,4,5,4,5,5,4,22.2710677231122,23.070276732189,22.0737802118426,19.7660595500422,22.7337375860172,21.99103339484,22.1696360416527,22.779415187318,21.9862942991735,20.4563323541558,22.7673764554759,22.7702460872543,20.2573665481607,22.8750764327938,22.1791036163388,21.0462350973292,23.1113775228785,22.0093124930318,1.8950937670366,1.17384546467137,-0.721248302365234,3.79033770455262e-05,0.0116875660008703,0.0136534740282936
"510","sp|O75521|ECI2_HUMAN",1,1,NA,1,1,1,7,7,5,7,5,2,2,3,2,1,2,2,17.5227946005234,21.5637420757664,19.9036784259133,18.3995311567549,21.1166042953103,19.3353421116782,NA,20.7818601400148,20.293189710202,18.4812176727746,21.2166168035792,20.8635559254198,18.2934413379136,20.8999794406224,19.4640476201172,19.3168948119707,20.6276485408151,20.0571884364983,2.63163263336393,1.58339112231736,-1.04824151104657,3.67787880093979e-07,0.000551178425308803,0.00640838867983397
"511","sp|P52272|HNRPM_HUMAN",4,2,7,3,2,3,7,7,6,6,7,6,4,5,5,5,5,4,22.7614193466325,23.6095388059384,22.3299999384836,19.8620801741494,23.3042698448769,22.557716918179,22.7478554361692,23.0848379013723,22.3322302702753,20.114444528659,23.4375745544756,23.0501826217888,20.2513692795579,23.3380010199596,22.4411136740505,21.173686284858,23.5722512663351,22.3346860144669,2.23926972382198,1.35584573120302,-0.883423992618966,4.69897523844286e-05,0.0152796668193765,0.00490821474153979
"512","sp|Q9BY49|PECR_HUMAN",1,2,2,4,1,2,5,6,1,3,5,6,1,2,1,4,2,1,19.9077257767421,21.4136506527464,19.3863712984108,19.5576452835448,20.9465233132343,18.9521729194083,19.5233983939766,20.3650419119488,19.2465524570115,20.0058128172516,21.0545513266019,20.9142719791737,19.0644926435157,21.1204347023083,19.969035923638,19.5221559880901,21.5519237781679,19.1723060271474,1.47848246364778,0.0099132836114677,-1.46856918003632,0.000103228007728306,0.569380789078177,0.00048429026950163
"513","sp|Q9ULC5|ACSL5_HUMAN",6,NA,6,2,2,5,8,6,7,6,7,6,3,5,5,4,5,5,21.3773077187781,21.4834303001596,21.0893863073499,19.2652544833237,20.5428186308559,21.1736234636145,21.5464867353391,20.8887971212764,21.007960571677,19.9502150198486,21.1354542559449,21.824563749067,18.9854766374381,21.2055814840397,21.0874273921555,20.5985800526808,21.4348796463519,20.8907771138779,0.82794013187,0.891736325055567,0.0637961931855665,0.0272161609177447,0.0619125430921957,0.0790839116830306
"514","sp|P42126|ECI1_HUMAN",6,7,5,7,6,5,7,6,8,5,4,3,5,6,5,5,6,3,21.75655031644,22.2712857669084,21.1671204122458,22.4953111047428,21.8548038144022,20.8625323685828,21.7275295531888,21.5603162727576,21.0687989388147,22.3924709869232,21.9579775433527,22.0944092439674,22.24048303354,21.4668311288453,21.6415706709041,21.4899270731599,21.6177815373287,20.9013796618205,-0.228879334066633,-0.727743461943232,-0.498864127876599,0.0299089556731478,0.0285078748840385,0.0872322688788976
"515","sp|O15371|EIF3D_HUMAN",2,NA,2,NA,NA,1,6,5,5,6,2,3,1,2,2,1,1,1,19.3462705019945,20.9509677671189,19.5910813712893,NA,20.9108566085,19.4249765067226,19.2507050855811,20.7395381546106,19.3733440429293,16.4032119585692,20.8845356491181,20.0413675611521,NA,20.2692469885349,19.7252921919147,18.5631082912396,20.7068369255077,19.36309110648,2.3528397228856,1.19570150406857,-1.15713821881703,3.87545637175837e-05,0.0322736186477963,0.0138606417998651
"516","sp|O60763|USO1_HUMAN",1,NA,1,NA,NA,NA,6,7,6,7,6,7,3,4,3,3,2,4,18.8234432492427,21.0529454278967,19.5976196630842,NA,20.6920063786118,19.7952230186803,19.1205259794742,20.4456020501925,19.0028035083193,13.7940837889465,21.0196110877789,19.9264369919167,NA,20.731968727334,19.1559034048794,14.1785621533557,21.0519460585704,19.5349567100715,4.35319282897594,3.02300342340379,-1.33018940557215,4.73951032876602e-05,0.00584729944284243,0.0255131708966939
"517","sp|P18754|RCC1_HUMAN",2,NA,4,NA,1,1,NA,NA,1,NA,6,4,4,3,3,3,3,5,20.5237177190647,NA,20.1877302226313,17.1635326370356,NA,20.5021849910512,21.0185532052193,18.9319603809417,20.7025603717701,16.8473866289125,16.3070904962557,21.3512455214955,18.3340158440146,21.6317912010179,20.8043006207352,19.3281255340909,21.1103921852251,20.6720180295619,0.626086637803833,1.8341180314846,1.20803139368077,0.30001085011888,0.0768130494926819,0.228992182322422
"518","sp|Q15165|PON2_HUMAN",2,4,3,2,2,2,2,1,1,1,1,3,2,2,2,2,2,2,20.5086309213838,19.1929010823599,20.2606592976337,20.889579158758,19.0051322885102,20.0753786048312,20.6614199625137,18.4435149919277,20.0124550675631,19.5689284144785,18.3286030134001,20.9234607861838,20.2380174780964,19.6342107061567,20.2119894073814,20.261703563715,19.9023886438107,19.581034339,-1.27025479546335,-0.177216999392034,1.09303779607132,0.000400380022467842,0.50456675796378,0.00360486082857662
"519","sp|P62906|RL10A_HUMAN",3,1,3,3,3,3,8,8,5,7,6,6,3,2,3,3,3,3,20.469783393979,23.1156668092196,20.4452162089413,19.767927213239,22.7803614435877,20.1174060955634,19.9958382141781,22.3240415199848,20.3040962853747,19.875488395999,22.6068880512319,21.1695846649637,19.877538683512,22.4878131755359,20.4765686046839,19.724272158008,22.8277253079848,20.3320331381858,2.73860804143827,0.522342823132951,-2.21626521830532,1.3858694762494e-09,0.0598395805357092,1.7026825581982e-07
"520","sp|P04179|SODM_HUMAN",8,6,6,9,8,7,2,2,2,2,1,4,4,4,4,3,3,5,22.8189201213259,19.2364230134531,21.7989782886762,22.6909930986989,19.1362143663665,21.3304304419995,22.3452996579324,19.2871484460905,21.435921625271,22.9188337639797,19.4573027170788,21.7955648849272,22.7597000762912,19.5374435575611,21.3478059819132,22.5507847072887,20.3007865557962,21.190588355424,-3.1882021281951,-1.19754030788428,1.99066182031082,2.82106847496509e-10,0.0001935459728378,5.69618328607342e-07
"521","sp|Q92973|TNPO1_HUMAN",3,NA,3,NA,NA,NA,7,6,6,6,3,4,1,1,2,2,1,NA,20.5076281967498,21.6258655503695,20.0583878337997,NA,21.4335711790798,18.7773044767053,20.3920972681888,21.1434634034241,19.5003207422286,17.0294451209548,21.1063068590286,20.0117943827175,16.449017708151,20.5753703927088,19.732197441741,16.2019341744301,21.2813043817111,19.7202923782756,3.07828913402542,1.51735838221638,-1.56093075180903,0.000158428625758837,0.0682903781252995,0.0176930774272076
"522","sp|P51648|AL3A2_HUMAN",4,NA,5,NA,1,3,9,5,7,7,6,6,3,4,3,4,2,4,21.3496740314383,22.0248814582629,20.7298652858023,17.3514811432632,21.7376515042778,20.8121687801084,21.1953137781759,21.5784401852675,20.49422984863,19.1905857814741,21.5533757103889,21.525319475003,18.8074742318079,21.742065143413,20.8437489550722,20.215096144682,21.9005421833512,20.4876857451588,2.07122184568665,1.13056549648888,-0.940656349197766,0.000384543038305179,0.0685623720701469,0.00732097242218979
"523","sp|P27816|MAP4_HUMAN",NA,NA,NA,NA,NA,NA,6,9,5,5,7,7,2,4,5,2,4,5,17.6133296299754,21.8061233938953,19.8520510045576,NA,21.6408196075989,21.8555575399562,16.881253796256,21.460761213399,21.7555114986078,NA,21.5647942304016,21.1853333988697,NA,21.8396832050742,22.0081734961449,15.1842934687222,21.9283933125955,21.9755417100601,5.14713686217622,4.87906914304818,-0.268067719128033,5.205861164593e-08,1.77385323776315e-06,0.524432298588225
"524","sp|Q9H8Y8|GORS2_HUMAN",2,NA,NA,NA,NA,1,4,3,1,1,1,1,1,NA,1,1,1,1,18.2228514928294,20.1209250657285,18.3002272861852,16.3863130039888,19.8074661659747,NA,NA,19.2138968688221,18.3073709324382,17.065583796998,17.2400038201001,18.2083931733403,16.8513360762434,18.8434663354484,17.7903382503019,17.2122597353768,19.4187470834501,18.2239682658765,1.95974873550004,1.01839076054114,-0.941357974958896,0.000205458098646139,0.0714004335857747,0.0563121614819346
"525","sp|P31040|SDHA_HUMAN",NA,3,NA,NA,1,NA,4,3,4,4,3,3,2,4,3,1,3,2,17.0698672972312,20.546133425313,18.7453224626974,18.4068169346091,19.5965381847978,18.7305036049964,NA,20.3075935635065,18.4018492796216,16.4966484657777,20.4867632306181,16.5367066372571,17.5850636138041,20.1508638090042,18.8953474766702,NA,20.2774493046094,18.3623492092375,2.83795784178597,0.889080700557841,-1.94887714122813,5.81658212659119e-06,0.102933894016332,0.000392436422094445
"526","sp|Q969V3|NCLN_HUMAN",5,7,2,5,4,4,NA,NA,NA,NA,NA,1,4,3,4,1,4,3,20.8842212975975,19.0193334962599,20.7149713704461,21.4569812564132,17.8760362879033,20.1111952216527,20.2612863474662,18.6925964667661,20.1630662539449,21.003952932297,18.2802652961814,21.0823537306106,20.8124566257416,19.1755044754578,20.5587954197086,20.7185718560014,19.6641145660306,20.7354336236558,-2.07160328781963,-0.295275782583033,1.7763275052366,1.44909524234687e-06,0.429023765554863,4.63912475002621e-05
"527","sp|P55145|MANF_HUMAN",5,6,5,5,7,6,5,4,6,5,5,5,6,5,6,8,5,9,22.3092619247369,21.835219854573,22.6694219772602,23.5194288165444,21.121010783121,22.3695048288656,22.0610314585173,21.4744784708954,22.3557351269413,23.1524641912301,21.3317250086486,23.4964456801826,23.1263433859264,21.652958838542,22.565747787609,22.5479060326869,21.7293643341375,22.6221775271862,-1.26194641995408,-0.106233813599517,1.15571260635457,0.000139586547825629,0.724097877576854,0.000930404069770238
"528","sp|O95793|STAU1_HUMAN",1,NA,1,NA,NA,NA,6,7,6,4,5,5,NA,1,NA,4,NA,1,19.7383367145588,21.7714969249489,19.8211142409103,NA,21.4358678469034,20.2298284818434,19.0419924593959,21.0613985525304,19.4196423731388,18.4160003770424,21.4355039320805,21.1428955974262,16.2019600110827,21.1939388820554,19.6114726513315,17.3411746132465,21.4846848752436,19.778675138516,3.24925566722844,1.85271191212911,-1.39654375509933,3.26125334327233e-06,0.00416796127157791,0.0125549839201023
"529","sp|P46459|NSF_HUMAN",4,NA,3,NA,NA,NA,2,5,3,1,3,3,3,3,7,4,3,2,20.4065845541553,20.3422616203717,19.5461974977661,NA,20.2022800362139,20.0162965253022,19.9550402280357,20.1801706568006,19.8488040055333,16.0242880326877,19.6039991253559,20.8345233227213,NA,20.4891212921285,19.7673655514999,18.7427995417336,20.7206908890501,20.0614931543492,1.47424251416704,1.23026858704226,-0.243973927124784,0.0159892535772958,0.10051804144646,0.290842256015439
"530","sp|P12277|KCRB_HUMAN",5,1,5,4,5,5,5,6,6,7,4,4,5,7,7,6,4,6,21.9465975578359,21.3281526645938,22.0761155521184,22.3361262314349,21.0622836775261,21.928198829462,21.6897285573049,21.3001275518327,21.741923031592,22.0741249625341,21.4977087250637,23.0530095854487,22.2185638274121,21.0959880139594,21.7990359159519,21.7163153191855,21.4626384364519,21.6092445806708,-0.705759564379967,0.0376785065893994,0.743438070969367,0.00271495557396077,0.930325920736435,0.00521007283224702
"531","sp|P13798|ACPH_HUMAN",NA,NA,NA,NA,NA,NA,7,5,5,4,4,5,2,3,3,4,3,2,18.2550944237435,21.3623140127124,20.0852001231298,18.8301428303602,20.9985846592401,19.8818501563678,18.6571073199451,20.8247125146918,19.4876044291291,15.7611229207216,20.8081128224714,20.8035567796706,19.0383227429996,20.3143662590422,19.950945433397,18.0857133170288,21.0644025079388,19.3353151105882,2.79083153688298,1.81949474624728,-0.9713367906357,3.95788327963357e-06,0.00175326146369102,0.0485197452325681
"532","sp|Q9H488|OFUT1_HUMAN",1,5,4,8,6,4,2,4,1,3,2,1,3,3,2,3,3,4,20.5484675283245,20.7690610711281,21.2097307423303,22.0743219726181,20.0461666468737,20.7186555731752,20.8801998775441,19.1339436598457,20.5421071766302,22.056861266841,20.4584839644855,21.9353182160026,21.6664119137321,20.1032972606976,20.9734670297107,21.0240025103551,20.158273144369,21.0355790760933,-1.26350655366922,-0.305901209245434,0.957605344423784,0.000784199624137716,0.44933732550358,0.00912614695983769
"533","sp|O75439|MPPB_HUMAN",NA,NA,1,1,NA,NA,6,6,5,5,6,2,1,NA,1,1,1,2,18.8583152318507,21.2100016722618,19.3973610312651,17.8259032364876,20.9381614725764,18.7412500088602,18.6573127965953,20.5416426853795,19.3097228038509,19.2016517831461,20.8818563086686,19.5606759261277,18.3252627597367,20.9565874386068,19.8686899480337,18.8701623441939,20.9174028574625,19.186800062903,2.28450738049088,0.720981938171716,-1.56352544231917,5.4943138602549e-08,0.0234111754197302,3.04709913016772e-05
"534","sp|Q9BQG0|MBB1A_HUMAN",4,NA,6,NA,NA,3,4,4,5,3,4,7,8,7,4,5,4,8,20.52980846247,20.5966797781414,20.6046825110464,17.04407655232,20.6639370975108,20.538398780499,20.6684144552312,20.6146684037036,20.363276970422,15.8064300469329,20.3220332068543,21.0831549883433,NA,20.8593574292526,20.5759947995465,19.1147973225349,21.4198105406624,20.5909823872039,2.11337570812305,1.99337637161238,-0.119999336510667,0.00308449949282657,0.0182544570742215,0.120573456394352
"535","sp|P15531|NDKA_HUMAN",6,3,5,5,6,6,9,9,8,10,8,7,6,4,8,3,5,6,21.6364055723421,24.3857177408124,22.9117342009435,20.9712790977411,24.1397355694284,22.8748523069082,21.1987137531499,24.1659040286702,22.8177314098094,21.365895350617,24.2309125885134,23.664406159021,21.0167924784766,23.8063726159173,23.0440703804194,21.5806110899845,24.0744490510845,22.9741774517162,2.83889904201917,1.75287909441775,-1.08601994760142,5.63390985635531e-10,2.37325134132416e-06,6.83048565893686e-05
"536","sp|Q08426|ECHP_HUMAN",NA,2,1,1,2,1,3,3,2,3,4,6,2,2,2,2,3,3,21.3408117659253,21.228125089744,22.1773415181333,22.3327860176255,20.6257822992254,22.06187430057,22.090607382233,20.8599061056005,22.1083384443039,22.3847114337568,20.7162414109776,23.5309218347911,22.4967287276084,20.7941462179698,22.1535521863264,21.7170591731712,21.0201359223379,21.7367645324375,-1.18639457574417,0.234348052707001,1.42074262845117,0.000369650726682667,0.53081368398791,0.000307777102334377
"537","sp|P38117|ETFB_HUMAN",1,1,1,1,1,1,6,8,8,8,6,8,2,2,NA,2,2,2,20.1818025501509,22.3213746173551,20.2074314414759,19.2416318986307,22.0354792357047,19.8731049947481,19.9584550107664,21.9085685370253,19.9878540810258,20.0358228522554,22.2631903856658,20.902495644669,19.6924047924928,21.9458333339182,20.069563994445,19.6200387898352,22.0615200174978,20.0181444745971,2.30096837217258,0.388073122804918,-1.91289524936767,1.13894045509703e-08,0.158248733106548,8.10403615315885e-07
"538","sp|P32119|PRDX2_HUMAN",5,5,5,5,3,5,8,8,7,7,7,9,7,6,7,6,5,6,23.5716608827563,25.0923311557561,24.1862392497167,22.135908394336,24.9086942307073,23.9949290470897,23.4925980703826,24.8231580696824,23.9452883473104,22.5832137535888,24.9394723247138,24.8723232744376,22.2604558600912,24.5719256192048,23.981675713655,23.0204532070543,24.9083489132533,23.900775986769,2.02994002418475,1.3028235751282,-0.727116449056551,6.3620192386386e-07,2.97755584229013e-05,0.00025245001185536
"539","sp|Q9BSE5|SPEB_HUMAN",6,8,7,8,6,8,8,7,7,8,7,5,8,7,7,6,5,6,22.3235080939129,22.5577051171938,22.5537184594167,22.9850869317091,22.2208420740722,21.9138092371348,21.8793437422486,21.9154385801441,21.9871575612204,23.0410946195945,22.3396865209278,23.1692993075521,22.843003510788,21.9793025497075,22.3882447650338,22.1585092263853,22.1849334399602,22.284591008853,-0.338772973772133,-0.155620964237933,0.1831520095342,0.0299089556731478,0.554707694187239,0.166063128421847
"540","sp|P56537|IF6_HUMAN",6,2,5,2,1,1,8,7,6,5,5,5,5,5,3,3,4,3,21.641323153226,22.8647491340386,21.4338248191504,18.1318836311742,22.4947788164491,21.354038949176,21.5899942978068,22.3948467888318,20.9913133704708,19.0850663743378,22.6048213848666,21.631840592165,18.6151833950956,22.3108839936604,21.4756394364872,20.1222344744363,22.6035927297233,21.1596103806198,2.68133125358218,1.47676370366542,-1.20456754991677,2.19150706591163e-05,0.017424442565124,0.00185148930014999
"541","sp|Q14764|MVP_HUMAN",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,5,3,4,4,5,17.3600343107781,18.6875596721904,20.104886003786,16.8122733382262,19.142439614837,19.5845581610079,16.8277597412218,18.441037534374,19.2989190792178,16.6829811461083,20.2235731149142,20.6779279914518,17.7812439244041,18.5713837321815,20.3397192731612,16.6870744981602,18.7946170622296,20.1789380315271,1.951540628638,3.00559693020885,1.05405630157085,7.59381129174293e-06,8.53618306367053e-07,0.00735154239291361
"542","sp|Q99805|TM9S2_HUMAN",3,4,3,6,7,4,1,1,NA,1,1,2,2,3,3,2,2,2,20.2571412097319,19.187120205294,19.5708472685798,21.4577786379656,19.0374370274967,20.1965862187364,20.2005840561262,18.0192997472631,19.682213659841,21.2995536282648,19.1207177034674,20.4407394230143,21.2129954633929,19.5260335165741,20.3421270388132,20.7262286552145,20.3695933528438,20.1326622596294,-1.64901334962613,-0.798184297013633,0.8508290526125,7.79826944593722e-05,0.0581077805229516,0.0214685172372657
"543","sp|P28288|ABCD3_HUMAN",5,NA,4,NA,1,4,4,4,3,3,5,6,5,3,2,3,3,3,21.0874761142033,21.0837683788597,21.0770795751853,18.8864231494663,20.3818325666816,20.9283866254137,21.0588158682449,20.7424396921485,20.6431394632539,16.740189737192,20.6716052035323,21.4686654288509,19.1346027455655,21.121689225796,20.6884170171896,19.7476307272832,21.3602291598421,20.8980850494053,1.4510709808175,1.50810580289058,0.0570348220730838,0.00796460537493972,0.0248982732887893,0.052671045336082
"544","sp|Q99733|NP1L4_HUMAN",4,2,1,1,NA,2,7,8,8,6,8,7,5,3,5,5,5,5,19.8770626951263,21.6501470903437,20.3457252147645,18.0477953849991,21.3967625924044,20.3938385903476,19.3389694439433,21.3081252653674,20.5036684236824,17.7083806478769,21.3472939799368,21.1636140543255,17.7432173486619,21.242116934916,20.4675488355029,19.2829663653814,21.6332811815759,20.4324891428121,2.76322252642588,1.88474872924102,-0.878473797184868,2.35543914590043e-07,0.000135098589312774,0.0126866047214845
"545","sp|Q9UIJ7|KAD3_HUMAN",5,6,6,6,5,6,8,7,6,7,8,7,5,4,5,6,5,5,22.0370937885312,22.3798274311584,21.6340464848923,22.7972573061368,21.9474480640818,21.3057564550443,21.924767297647,21.756857307289,20.8757343552604,22.663152515937,21.7872168814099,22.4025689485585,22.5886175429716,21.8128462321757,21.3979679461221,22.2133892022432,22.0293022257524,21.3521884029119,-0.418463251933267,-0.876002510112884,-0.457539258179618,0.0150200676516466,0.00762308716536816,0.0505987592048771
"546","sp|Q16706|MA2A1_HUMAN",4,6,1,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3776887294483,19.0763912524821,18.4517069127949,20.7741876375933,18.4436603899948,17.8084666925982,19.532970812556,NA,17.9123870204024,20.3539852543043,18.6939580052455,18.6089832132187,20.0790164433987,18.6479472713105,17.67695867918,20.1004658520438,19.1177852760538,17.5011026692864,-1.40710401587339,-2.20978492364397,-0.802680907770574,4.69897523844286e-05,2.43482005683457e-06,0.0134836741866334
"547","sp|Q12904|AIMP1_HUMAN",2,NA,2,NA,NA,NA,9,7,7,9,8,8,2,3,1,2,3,2,20.1240575572532,21.8086104385937,19.0169515894227,NA,21.3952292115801,19.3145533736778,19.7822214036667,20.8390322819106,18.3542834358004,NA,21.4287073671406,20.0149841560503,NA,21.0726493088684,19.6728638243454,18.1018325450395,21.4202857522212,19.1894611470369,1.9913818913993,-0.0755209142642161,-2.06690280566352,0.000196962945624729,0.681936258583823,0.000102515189340554
"548","sp|Q03252|LMNB2_HUMAN",4,1,3,NA,NA,1,NA,1,1,NA,6,5,2,4,3,4,4,3,20.0053761232925,17.9897711134856,20.7209271412852,19.5200492418062,19.4437508264325,20.7837572222439,19.8582014956172,19.7579590170511,19.9464972553289,19.3776653050935,18.9859289404776,21.4109711776965,17.5809797053106,21.7718656193248,20.9094507266388,19.2442026583937,21.5979780774655,20.5809505297051,0.660129844120566,1.46101325389745,0.800883409776883,0.150241148534579,0.0382958600519081,0.185926343758843
"549","sp|Q96KP4|CNDP2_HUMAN",NA,NA,NA,NA,NA,1,6,5,4,5,3,6,3,2,3,3,4,3,18.2939397033762,21.5739276192515,19.4448842202322,NA,20.9285605760383,19.1696863523371,17.5687679865666,21.2112530590387,19.461274835151,NA,21.2129574783783,20.6473911253033,NA,20.6693348216897,19.7540290192223,18.1932650247313,21.3599119907551,19.8424959512207,3.14066668596723,1.70130267901973,-1.4393640069475,1.2010220237178e-07,0.000469923388044379,0.000258409113019162
"550","sp|P00491|PNPH_HUMAN",NA,NA,NA,1,NA,2,8,7,7,7,3,7,2,2,4,3,3,2,16.4095931379541,21.4540536221487,20.1466373469989,15.7495580980023,20.9889003848836,19.5383545017017,NA,21.2153229555978,20.131152196876,17.4860641425337,21.2968119088926,20.6372979301776,NA,20.3163403720835,20.2864371950851,18.7952471844131,21.0610359097001,20.274064433893,3.94529521815858,3.05887496006292,-0.886420258095666,1.84774049502291e-07,2.54159239674339e-05,0.0531132332052701
"551","sp|P62191|PRS4_HUMAN",2,1,3,1,1,1,7,4,2,5,2,2,1,3,2,2,3,2,19.9772692729845,22.113350633225,19.8445767605312,18.4262339146035,21.4430048547908,20.5023411365103,20.4104642912134,20.7972865008288,20.696824084744,19.2300305477116,22.0414095012997,20.7544309456796,19.1222194569556,20.3484920607654,20.7158178113812,19.39249037782,21.361855314439,20.4332671800758,1.92444850067668,1.06475834293892,-0.859690157737766,2.07861799119701e-05,0.0164754465968661,0.0321714723122991
"552","sp|Q96AB3|ISOC2_HUMAN",1,4,2,4,4,1,5,4,6,4,3,3,3,4,2,3,2,1,19.2656581020046,20.8586049280603,19.2944976235146,20.4970739946547,20.1660579338006,18.9923788780955,19.029210215025,19.9958707227463,18.7472664253393,20.0607292405421,20.0932176634083,20.2197533242876,20.0425090424987,19.7433331399339,18.6051368604498,18.9815733856513,20.0120764983928,18.7192594921567,0.498734484327634,-0.549743562755483,-1.04847804708312,0.0861932830013131,0.169973415809737,0.00807164000778706
