"protein_group","number_of_peptides_12500.amol_1","number_of_peptides_12500.amol_2","number_of_peptides_12500.amol_3","number_of_peptides_125.amol_1","number_of_peptides_125.amol_2","number_of_peptides_125.amol_3","number_of_peptides_25000.amol_1","number_of_peptides_25000.amol_2","number_of_peptides_25000.amol_3","number_of_peptides_2500.amol_1","number_of_peptides_2500.amol_2","number_of_peptides_2500.amol_3","number_of_peptides_250.amol_1","number_of_peptides_250.amol_2","number_of_peptides_250.amol_3","number_of_peptides_50000.amol_1","number_of_peptides_50000.amol_2","number_of_peptides_50000.amol_3","number_of_peptides_5000.amol_1","number_of_peptides_5000.amol_2","number_of_peptides_5000.amol_3","number_of_peptides_500.amol_1","number_of_peptides_500.amol_2","number_of_peptides_500.amol_3","number_of_peptides_50.amol_1","number_of_peptides_50.amol_2","number_of_peptides_50.amol_3","differential_abundance_pvalue_X125.amol.12500.amol","differential_abundance_pvalue_X250.amol.12500.amol","differential_abundance_pvalue_X2500.amol.12500.amol","differential_abundance_pvalue_X25000.amol.12500.amol","differential_abundance_pvalue_X50.amol.12500.amol","differential_abundance_pvalue_X500.amol.12500.amol","differential_abundance_pvalue_X5000.amol.12500.amol","differential_abundance_pvalue_X50000.amol.12500.amol","differential_abundance_qvalue_X125.amol.12500.amol","differential_abundance_qvalue_X250.amol.12500.amol","differential_abundance_qvalue_X2500.amol.12500.amol","differential_abundance_qvalue_X25000.amol.12500.amol","differential_abundance_qvalue_X50.amol.12500.amol","differential_abundance_qvalue_X500.amol.12500.amol","differential_abundance_qvalue_X5000.amol.12500.amol","differential_abundance_qvalue_X50000.amol.12500.amol","abundance_12500.amol_1","abundance_12500.amol_2","abundance_12500.amol_3","abundance_125.amol_1","abundance_125.amol_2","abundance_125.amol_3","abundance_25000.amol_1","abundance_25000.amol_2","abundance_25000.amol_3","abundance_2500.amol_1","abundance_2500.amol_2","abundance_2500.amol_3","abundance_250.amol_1","abundance_250.amol_2","abundance_250.amol_3","abundance_50000.amol_1","abundance_50000.amol_2","abundance_50000.amol_3","abundance_5000.amol_1","abundance_5000.amol_2","abundance_5000.amol_3","abundance_500.amol_1","abundance_500.amol_2","abundance_500.amol_3","abundance_50.amol_1","abundance_50.amol_2","abundance_50.amol_3"
"P00167ups|CYB5_HUMAN_UPS",3,2,2,0,0,0,2,3,3,0,0,0,0,0,0,5,5,5,1,0,1,0,0,0,0,0,0,NA,NA,NA,1.67857316731914e-05,NA,NA,2.96863149786537e-06,2.72813892148793e-08,NA,NA,NA,0.00339071779798466,NA,NA,0.000199715174635,4.37593483006664e-06,25.1041293773595,24.9470478512945,24.8365247165576,NA,NA,NA,25.8637773441165,26.2170147452485,26.1578963203177,NA,NA,NA,NA,NA,NA,27.393221726852,27.3410941917222,27.418978120483,23.3706407559531,NA,23.456301295699,NA,NA,NA,NA,NA,NA
"P00441ups|SODC_HUMAN_UPS",1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,3,2,2,1,1,0,0,0,0,0,0,NA,0.000147184025492968,NA,0.0015503578413902,NA,NA,0.000305448094834249,6.49324864737305e-08,NA,0.0200170274670436,NA,0.0351413226321443,NA,NA,0.00862627550583622,6.83665293675784e-06,24.3122357277085,24.2135604949149,24.2124069022327,NA,NA,NA,24.8816357801512,24.8841438190223,24.7807448747645,NA,NA,NA,NA,NA,23.0691076760784,26.178565725299,26.3535097204987,26.2306568395439,23.7673330271775,23.454573315036,23.2455129435536,NA,NA,NA,NA,NA,NA
"P00709ups|LALBA_HUMAN_UPS",5,4,5,0,0,0,5,4,5,0,0,1,0,0,0,5,5,5,1,2,0,0,0,0,0,0,0,NA,NA,2.00249020490727e-06,0.00308043021049428,NA,NA,1.65900553378694e-05,1.58976099923931e-05,NA,NA,0.00013362388419324,0.0522397989654496,NA,NA,0.000754847517873059,0.000354163422608314,25.2282998679792,24.6535912226423,24.8256553313089,NA,NA,NA,25.9953933097922,25.6861548861937,25.9650842457523,NA,NA,21.1316241072783,NA,NA,NA,27.0155749108746,26.9083436757947,26.9725220598128,22.150894972037,23.0660413323898,NA,NA,NA,NA,NA,NA,NA
"P00915ups|CAH1_HUMAN_UPS",6,3,3,0,0,0,6,3,3,0,0,1,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,NA,NA,1.64874305257903e-06,0.00106852924719043,NA,NA,NA,9.09104161623752e-07,NA,NA,0.000121407442962638,0.0308347011332096,NA,NA,NA,4.05056409790138e-05,25.497213785773,24.9614376234047,25.0574587125715,NA,NA,NA,26.2929871194609,25.9103202272956,26.0013558509918,NA,NA,21.9511863522333,NA,NA,NA,27.6309796479493,27.5837585309313,27.7005646058008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00918ups|CAH2_HUMAN_UPS",6,5,5,0,0,0,6,6,5,0,0,0,0,0,0,7,6,7,2,2,2,0,0,0,0,0,0,NA,NA,NA,3.82514383095274e-05,NA,NA,4.83708957635926e-09,2.5221383416789e-08,NA,NA,NA,0.00585101928746445,NA,NA,1.98078818151912e-06,4.37593483006664e-06,25.8610070596089,25.6948744139089,25.6825651435947,NA,NA,NA,26.7208040892532,26.6780682966154,26.4765232719434,NA,NA,NA,NA,NA,NA,27.8168840591279,27.5431338874565,27.8343165678645,23.3813466616261,23.4267848178329,23.3412556661515,NA,NA,NA,NA,NA,NA
"P01008ups|ANT3_HUMAN_UPS;sp|P41361|CON__ANT3_BOVIN;CON__P41361",13,6,6,0,0,0,11,10,12,0,0,1,0,0,0,17,17,17,2,2,1,0,0,0,0,0,0,NA,NA,1.47878818953344e-05,0.0100360596961354,NA,NA,2.09428178565615e-06,6.11173513833805e-05,NA,NA,0.000666728498766941,0.104924674043384,NA,NA,0.00019057964249471,0.00100032889407084,25.8716962577689,25.2150474573573,25.8311002602664,NA,NA,NA,26.9151208001261,26.6491863553171,27.0890588869242,NA,NA,21.257070926372,NA,NA,NA,28.1719648044863,28.1489619626142,28.4424958855944,22.5638693866501,20.7564857826521,21.979180279617,NA,NA,NA,NA,NA,NA
"P01031ups|CO5_HUMAN_UPS",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9959340040098,23.1882383125067,NA,NA,NA,NA,NA,NA,NA,26.0031242433648,26.1066020564872,26.0921424106189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01112ups|RASH_HUMAN_UPS",4,2,1,0,0,0,2,3,3,0,0,0,0,0,0,6,5,7,1,1,1,0,0,0,0,0,0,NA,NA,NA,0.0111777529439317,NA,NA,0.00018532641661287,2.25418577232017e-05,NA,NA,NA,0.106254404455256,NA,NA,0.00618439539392905,0.000463553074205326,24.8464498542012,24.0412209405393,23.0208160071701,NA,NA,NA,24.7912835208227,25.2604370669838,25.4253785100244,NA,NA,NA,NA,NA,NA,26.8903226578915,26.5940397799324,27.0491087696986,21.7614487909393,21.6591063291937,21.833645975,NA,NA,NA,NA,NA,NA
"P01127ups|PDGFB_HUMAN_UPS",2,1,1,0,0,0,3,2,2,0,0,0,0,0,0,3,4,4,0,1,0,0,0,0,0,0,0,NA,NA,NA,5.53127732821987e-05,NA,NA,0.00316589092907326,5.56113528975819e-07,NA,NA,NA,0.00585101928746445,NA,NA,0.0664837095105385,3.43079269414313e-05,23.4451077401668,22.7052691894197,22.7725723197357,NA,NA,NA,25.050915828728,24.7196842095591,24.5660960994603,NA,NA,NA,NA,NA,NA,26.2210389054021,26.4020050287383,26.4607715421967,NA,21.6188201492284,NA,NA,NA,NA,NA,NA,NA
"P01344ups|IGF2_HUMAN_UPS",2,3,3,0,0,0,2,3,3,0,1,2,0,0,0,3,3,3,2,2,1,0,0,0,0,0,0,NA,NA,1.48161888614876e-05,0.0844681342399879,NA,NA,0.000584138193431093,0.000357042713925197,NA,NA,0.000666728498766941,0.307248351942011,NA,NA,0.015422560221407,0.00454521042171442,24.941755914529,25.5622590472041,25.7994541068715,NA,NA,NA,25.680676392424,26.3191158934201,26.4066032017583,NA,21.7055081881913,23.0347197865803,NA,NA,NA,27.2493077325549,27.2138946541345,27.5064960418964,23.8478429742878,24.0102186062906,23.1287884586895,NA,NA,NA,NA,NA,NA
"P01375ups|TNFA_HUMAN_UPS",5,3,3,0,0,0,3,3,3,0,0,1,0,0,0,6,7,6,2,1,1,0,0,0,0,0,0,NA,NA,2.30954861568563e-06,0.113759754021652,NA,NA,1.36361091715049e-05,5.95599164156605e-05,NA,NA,0.00013362388419324,0.354895294399595,NA,NA,0.000656939612438969,0.00100032889407084,26.0094725991895,25.8099239596379,25.5583027500131,NA,NA,NA,26.6189495290166,26.2687384441838,26.3617138790665,NA,NA,20.8162199485874,NA,NA,NA,28.1408822703037,28.1862157708861,28.2803638893741,23.9481263289253,22.3446539829058,22.4643562978089,NA,NA,NA,NA,NA,NA
"P01579ups|IFNG_HUMAN_UPS",3,3,3,0,0,0,3,3,3,1,2,0,0,0,0,3,3,4,2,2,2,0,0,0,0,0,0,NA,NA,1.02397081517898e-09,0.00576552873748476,NA,NA,9.01827308453041e-05,2.11050697201761e-06,NA,NA,3.81167092652142e-07,0.0831883432122801,NA,NA,0.0036929828281152,7.29058431299489e-05,25.0548403609275,25.1755079354968,25.1765803751055,NA,NA,NA,25.7623168403348,26.0853667240986,25.7465353226466,20.0466382924119,21.0142678862497,NA,NA,NA,NA,27.251333786712,26.9174791352199,27.0633853319115,23.7999632809696,23.9082309657806,23.8398050879245,NA,NA,NA,NA,NA,NA
"P02144ups|MYG_HUMAN_UPS",4,2,2,0,0,0,3,4,4,0,1,1,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,NA,NA,0.000609205362782025,0.00566218416487043,NA,NA,NA,0.00014543298991955,NA,NA,0.0170157359949462,0.0831826328220965,NA,NA,NA,0.00212067741664507,24.7888610252102,22.8491764289799,24.3754327207637,NA,NA,NA,25.8367927436329,25.9319329799257,25.9573262971322,NA,20.127388522627,21.787880303913,NA,NA,NA,27.3579958894064,27.263443441136,27.3981613988551,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02741ups|CRP_HUMAN_UPS",2,0,2,0,0,0,1,2,2,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.545297257543799,NA,NA,NA,0.0132423969248397,NA,NA,NA,0.750596565750237,NA,NA,NA,0.0553145954881324,23.6349198212603,NA,23.7545891879788,NA,NA,NA,22.8302827324022,24.6874205738045,24.5837102383321,NA,NA,NA,NA,NA,NA,25.4530682472151,25.4902010253001,25.461914641403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02753ups|RETBP_HUMAN_UPS",2,1,1,0,0,0,1,2,2,0,0,0,0,0,0,4,4,4,1,0,1,0,0,0,0,0,0,NA,NA,NA,0.00561807439918333,NA,NA,0.00121909782958595,3.71771748553435e-06,NA,NA,NA,0.0831826328220965,NA,NA,0.0285268892123112,0.000106486050835662,23.9268305507862,23.2457989658659,23.2449196710499,NA,NA,NA,23.9688937852658,24.5901027255035,24.5727593450606,NA,NA,NA,NA,NA,NA,26.0098759910228,25.8665027659139,26.1416670755024,22.3909831214593,NA,21.9491516440152,NA,NA,NA,NA,NA,NA
"P02787ups|TRFE_HUMAN_UPS",12,9,9,0,0,0,14,12,12,0,0,2,0,0,0,19,23,25,1,1,3,0,0,0,0,0,0,NA,NA,0.00671040500759699,0.156405731254018,NA,NA,0.000246062478770318,0.00598246307983494,NA,NA,0.123532455821672,0.411647657502433,NA,NA,0.00746389518936632,0.0330892095863974,26.4619416506805,26.4669123473514,26.0697347710813,NA,NA,NA,27.3426843760028,27.361046573886,27.3341713847607,NA,NA,23.1360485074306,NA,NA,NA,28.686423376145,28.4766141148943,28.7545925099395,23.0794186130821,20.7045749643897,24.1141128452616,NA,NA,NA,NA,NA,NA
"P02788ups|TRFL_HUMAN_UPS",22,13,12,0,0,0,22,22,21,3,1,6,0,0,0,32,31,33,6,4,7,0,0,0,0,0,0,NA,NA,1.37861578039348e-06,0.042399805862953,NA,NA,0.000238393270441819,0.000235105197207285,NA,NA,0.000111667878211872,0.23248190981158,NA,NA,0.00746389518936632,0.00330797137123233,27.6260798731664,27.3825916886086,27.1004525475175,NA,NA,NA,28.4466574147843,28.4023339099699,28.3609032421427,23.3391734657394,22.1282060646493,24.4645342368987,NA,NA,NA,29.8588717401006,29.6640012035093,29.6773230096331,25.0306316601844,24.4398591846887,25.5592161628049,NA,NA,NA,NA,NA,NA
"P04040ups|CATA_HUMAN_UPS",16,8,9,0,0,0,14,14,14,0,0,3,0,0,0,24,21,23,3,1,1,0,0,0,0,0,0,NA,NA,0.00121083693361377,0.0445602790249483,NA,NA,3.17008213706349e-06,3.94066362564909e-05,NA,NA,0.0306493098820986,0.23353124136892,NA,NA,0.000199715174635,0.000734979587853621,27.3288685485629,26.1697373544703,26.4309139734817,NA,NA,NA,27.5446313361215,27.4296590038857,27.5763666726932,NA,NA,24.228671846548,NA,NA,NA,29.3141037727069,29.1710916643107,29.470759215568,23.9427284134234,22.5167230424011,22.7134180759242,NA,NA,NA,NA,NA,NA
"P05413ups|FABPH_HUMAN_UPS",5,3,3,0,0,0,5,3,6,1,1,1,0,0,0,6,6,7,1,1,2,0,0,0,0,0,0,NA,NA,4.86242010902614e-09,0.000946021974822001,NA,NA,1.84321584370323e-06,3.15452310065713e-07,NA,NA,7.87712057662234e-07,0.0293994521406222,NA,NA,0.00019057964249471,2.29993411520638e-05,24.8777827723598,24.5668617536401,24.6334897531768,NA,NA,NA,25.7693387980236,25.3696481084085,25.9437094044488,21.4659661375256,21.2718055215201,21.0137431587488,NA,NA,NA,27.0576967112236,26.9811144640033,27.099806369543,22.4498609556289,22.3975531137195,23.2641408739809,NA,NA,NA,NA,NA,NA
"P06396ups|GELS_HUMAN_UPS;sp|Q3SX14|CON__GELS_BOVIN;CON__Q3SX14",13,6,7,0,0,0,13,14,14,0,0,3,0,0,0,20,21,20,1,4,3,0,0,0,0,0,1,NA,NA,0.000545887919838776,0.00162244665128818,9.67343156667087e-06,NA,0.000131646166965033,2.06776283095821e-05,NA,NA,0.0157917576810503,0.0354307268713743,0.000607937968459239,NA,0.00490082776110738,0.000436406786954864,26.8773488718613,26.006692003133,25.6544315086921,NA,NA,NA,27.8168755176167,27.9349742230911,28.0410103455575,NA,NA,23.2839171804454,NA,NA,NA,29.2925867473131,29.2596147860125,29.2722418322756,22.8730346812099,24.5934978223328,23.6634926736476,NA,NA,NA,NA,NA,21.3961057181239
"P06732ups|KCRM_HUMAN_UPS",11,5,7,0,0,0,13,10,9,1,1,3,0,0,0,13,14,14,2,2,4,0,0,0,0,0,0,NA,NA,1.18857632492568e-07,0.000411754624925384,NA,NA,1.25213696461691e-05,8.98598571787965e-07,NA,NA,1.06971869243311e-05,0.0195704551141006,NA,NA,0.000640937608763283,4.05056409790138e-05,26.2251206237251,25.4725347964317,25.6175815019886,NA,NA,NA,27.346456129892,27.3056592294,27.1774256320113,21.7833162105969,22.0403722766896,23.0417342291753,NA,NA,NA,28.563015651654,28.6600553773929,28.7349277628536,23.4654653643933,23.1888992935085,23.999785075165,NA,NA,NA,NA,NA,NA
"P08263ups|GSTA1_HUMAN_UPS",2,1,1,0,0,0,2,3,2,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.00234632285658678,NA,NA,NA,0.000178936221436503,NA,NA,NA,0.0442608565019105,NA,NA,NA,0.0025626223141442,24.1092707743737,22.0587310770676,22.3605791242683,NA,NA,NA,24.9146718445693,25.0647023944295,25.0940276551451,NA,NA,NA,NA,NA,NA,25.9918641105254,25.8770773047073,26.5133410613517,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P08758ups|ANXA5_HUMAN_UPS",12,5,5,0,0,0,5,7,9,0,0,2,0,0,0,11,13,13,1,1,0,0,0,0,0,0,0,NA,NA,0.000155256173542598,0.0128724911113915,NA,NA,7.23905739064566e-06,1.83077632354967e-05,NA,NA,0.00503030002278017,0.119551411701199,NA,NA,0.000423484857352771,0.000396833138239686,26.4696540006263,25.4924237669492,25.4011098792771,NA,NA,NA,26.7256616529025,26.6608764314103,27.0840178584956,NA,NA,22.8151212135891,NA,NA,NA,28.5368546604558,28.5993986957711,28.5755088595871,22.8078184097706,21.7757594113554,NA,NA,NA,NA,NA,NA,NA
"P09211ups|GSTP1_HUMAN_UPS",2,1,1,0,0,0,2,2,3,0,0,0,0,0,0,4,4,4,0,1,0,0,0,0,0,0,0,NA,NA,NA,0.000206019729541843,NA,NA,0.000602590875561691,5.13979547989103e-07,NA,NA,NA,0.0130561848645372,NA,NA,0.015422560221407,3.43079269414313e-05,23.881008825193,23.8822534121318,23.4958903422135,NA,NA,NA,24.6208049364466,24.7794197857281,25.0182522809489,NA,NA,NA,NA,NA,NA,26.1140862116102,26.1673041440905,26.2384094420011,NA,22.489585260494,NA,NA,NA,NA,NA,NA,NA
"P10145ups|IL8_HUMAN_UPS",1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,NA,NA,3.02223985626745e-05,0.00248784782359872,NA,NA,NA,1.21901176671509e-06,NA,NA,0.00116572108741745,0.0446706898103948,NA,NA,NA,4.88823718452752e-05,23.3328475252409,23.5006525591766,23.4542911910608,NA,NA,NA,24.3644072378091,23.8385799988986,24.4802395797504,NA,NA,21.2089855942674,NA,NA,NA,25.8235913786758,25.789309385984,25.9820966403315,NA,NA,NA,NA,NA,NA,NA,NA,NA
