"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"Cont_P02070,CON__P02070",0,3,2,2,2,3,0.463589542980117,0.609471832793485,NA,24.7764941801393,23.9713667758814,24.8091054533259,24.3043329542377,24.7688910669618
"Cont_P02769,CON__P02769,P02768,CON__P02768-1",26,28,30,27,29,31,0.212641585575583,0.37646248355784,30.9031856163089,31.0593309887379,31.0880418907552,31.0416680396311,31.24934075592,31.3010278350517
"P05787,CON__P05787,Cont_P05787,CON__H-INV:HIT000292931,CON__Q9H552,CON__Q8BGZ7,Cont_Q8BGZ7,Cont_P48668,Cont_O95678,Cont_Q922U2,O95678,CON__P50446,Cont_P50446,P04259,P02538,P48668,CON__REFSEQ:XP_092267,Cont_P04259,CON__P48668,CON__P02538,CON__Q922U2,Q9NSB2,Cont_Q9NSB2,CON__Q9NSB2,CON__Q6ISB0,CON__Q5XQN5,CON__P04259,CON__O95678,P08729,Cont_Q9DCV7,CON__Q9DCV7,Cont_P02538,Cont_P08729,CON__P08729,CON__Q3KNV1,CON__P19013,Cont_Q7Z794,CON__Q7Z794,Q7Z794,CON__Q14CN4-1,Cont_Q6IME9,Q01546,P13647,Cont_Q8VED5,Cont_Q6IFZ6,Cont_P13647,Cont_Q01546,CON__Q01546,P35908,CON__P35908v2,Cont_P35908,CON__P35908,Cont_Q3TTY5,CON__Q6IFZ6,Cont_Q14CN4,Q5XKE5,Cont_Q7RTS7,Q3SY84,CON__Q5XKE5,Cont_Q6NXH9,CON__Q6NXH9,CON__Q32MB2,Q86Y46,Cont_Q86Y46,CON__Q3SY84,CON__Q8VED5,CON__Q7RTS7,Q14CN4,Q7RTS7,CON__Q9R0H5,Cont_Q9R0H5,Cont_Q5XKE5,Cont_Q3SY84,Cont_P19013,CON__Q6IME9,CON__P13647,P19013,CON__Q3TTY5",22,20,21,20,21,21,0.491425584392944,0.634182582209698,31.2400560742714,31.3356760379345,31.3216050434138,31.1372201332865,31.5796353405917,31.5223740590871
"Cont_P07744,CON__P07744",1,1,1,1,1,0,0.0207014793941366,0.0801864819170121,22.9910387188285,23.4005000469152,23.3024117398523,22.0496849329422,22.6631588664589,NA
"P08727,Cont_P08727,CON__P08727,Cont_P19001,CON__P19001,P02533,CON__P08779,Cont_P08779,P08779,CON__Q9QWL7,CON__ENSEMBL:ENSP00000377550,Cont_Q04695,Q04695,CON__P02533,CON__P13646-1,Cont_P13646,P13646,Cont_Q6IFX2,CON__Q6IFX2,Cont_Q9QWL7,CON__Q04695,Cont_P02533,Cont_Q9Z2K1,Q8N1A0,CON__Q61782,CON__Q8N1A0,Cont_Q8N1A0,CON__Q9Z2K1,P35900,Cont_P35900,CON__P35900,CON__Q9D312,Cont_Q9D312,CON__Q3ZAW8",11,13,12,15,12,13,0.214741158464832,0.378456940476577,28.4575704768511,28.8666811283467,28.4154126155968,29.0747568086371,28.5552037667645,28.9704734281389
"Cont_P08730,CON__P08730-1",1,0,1,0,0,1,0.545761558685966,0.677640519400889,26.4813100192051,NA,24.4217219823706,NA,NA,26.2204189074675
"CON__P12763,Cont_P12763,P02765",9,9,9,9,9,9,0.364606767557126,0.527439751773652,31.1145138240146,31.2107313687467,31.1787062371005,31.0951951503351,31.3903620051128,31.4115148726861
"P13645,Cont_P13645,CON__P13645",5,3,5,5,5,5,0.1292352164493,0.277419072794482,24.9143465357698,23.8868125311409,25.6416984375256,25.4585635088211,25.7368556453043,25.6138050372681
"CON__P15497,Cont_P15497,P02647",10,10,10,10,10,10,0.054236044894662,0.158809427688659,29.4778824891017,29.1850236676666,29.5452281057815,29.8409757262885,29.694395134195,29.7002884547467
"Cont_P17690,CON__P17690",1,2,2,1,2,2,0.884392373608268,0.924258943913168,23.3711122164694,23.6950410753875,23.7246482867697,22.7121545178472,24.0620726551504,24.2097778226957
"CON__P28800,Cont_P28800,P08697",2,1,1,1,1,1,0.361637282989718,0.525531672589504,24.833379281899,23.5655684354211,23.4003466991943,23.3249007801378,23.6801340504671,23.5938043604037
"Cont_P34955,CON__P34955",12,11,12,11,13,11,0.203686943408126,0.367506264500118,29.7608632274741,29.6025444234701,29.6407003779626,29.8885054838459,30.15983564619,29.6555837611357
"CON__P41361,Cont_P41361,P01008",3,4,4,4,4,3,0.105435284443399,0.245785206140533,27.1409669366436,27.1981577720472,26.8735672987499,27.3869373335313,27.4459416109102,27.2064931715362
"CON__Q03247,Cont_Q03247,P02649",4,3,4,4,4,4,0.0458554945713395,0.14114326817784,25.7263008499504,25.2596975010548,25.5497388808191,25.8040212638665,25.9408792711647,26.0099246780887
"Cont_Q05B55,CON__Q05B55",4,5,3,4,5,4,0.440203940355182,0.589677378204485,26.1526632589911,26.5659706364388,25.7642389482474,26.4804029000464,26.4410567927509,26.1474938010836
"CON__Q29443,Cont_Q29443,CON__Q0IIK2,P02788,Cont_Q2HJF0,CON__Q2HJF0",21,25,25,26,25,27,0.181777933725558,0.34203383378818,29.7759494198903,30.0678424885934,29.9908348371815,30.2008322915488,30.1044351779355,30.1044940987462
"CON__Q1RMK2,Cont_G5E513,Cont_A0A3Q1M032",11,12,13,12,13,13,0.104415436705005,0.244847897305934,27.6793973909339,27.641199122368,28.0742360912301,27.9755980236211,28.1922191527276,28.174168092381
"Cont_Q1RMN8,CON__Q1RMN8",3,3,3,3,3,3,0.0989546341652695,0.236769235987104,27.7378808255774,28.0844531376859,27.9053000596436,27.7438507058694,29.5457108171746,29.4462224828928
"Cont_Q28065,CON__Q28065",5,4,3,5,5,4,0.0316069100212581,0.108899387801756,25.7261294406384,25.566774702248,25.5449017808559,25.7894497848375,26.2004048517627,26.2270040814502
"Cont_Q28085,CON__Q28085",3,2,4,3,3,4,0.116397102678874,0.26149723953164,23.9080639959207,23.4752051725156,24.661909576227,24.8078938075165,24.2480099267428,24.9953793491295
"CON__Q28107,Cont_Q28107,P12259",12,12,7,12,13,11,0.0477131978377531,0.144806761462192,26.8633290523661,27.1323827407881,26.5211847409796,27.2868495642871,27.4963389463348,27.1959599411915
"CON__Q28194,Cont_Q28178,P07996",5,5,6,5,7,7,0.774703739102126,0.850658388305399,25.0254075669888,24.7196517088925,25.5264833408633,24.9389601455515,25.4807381689503,25.0855980193025
"Cont_Q2KJF1,CON__Q2KJF1",3,5,3,3,4,3,0.635231618165917,0.749837556287928,25.9429481382762,25.972721560728,24.4774492288428,25.740724637606,25.645311291948,25.6493948481327
"Cont_Q2UVX4,CON__Q2UVX4,P01024",23,22,20,24,22,22,0.0694324883814102,0.187241590397492,28.5905067335683,28.3946743918314,28.2890669980969,28.6419398168405,28.7499529359267,28.731879169105
"Cont_Q32PJ2,CON__Q32PJ2",2,2,1,1,1,2,0.817520747522374,0.881010730901539,23.7985349393191,23.8249779774362,23.1411921471285,23.6449075524961,23.103786949265,24.27321296073
"CON__Q3KUS7,Cont_P81187",1,2,1,2,2,1,0.169416793976476,0.328609783660427,21.9149582487852,23.3446334596021,22.3141722949901,24.025644545561,23.9543920997372,22.3677913008202
"CON__Q3MHN2,Cont_Q3MHN2,P02748",3,3,3,3,3,5,0.250066349427524,0.415215361919271,25.8642639617912,25.4137720426152,25.1862785038311,25.3764473570408,25.9395793904695,26.2833813239008
"Cont_P02081,CON__Q3SX09,P68871",8,9,9,9,9,9,0.329296067105396,0.494139760828685,30.2015312298594,30.2788271280456,30.2977338785466,30.2275092995667,30.5486500950149,30.4129367608798
"Cont_Q3SX14,CON__Q3SX14",9,8,9,8,10,8,0.0318689697265781,0.109449666580005,25.744017134874,25.323053370619,25.2327439354234,25.9910594974948,26.0416200458473,25.7814626759729
"CON__Q3T052,Cont_Q3T052,Q14624",15,16,16,17,17,15,0.0864521369039178,0.216439410946391,28.6317338168463,29.0790915866453,28.916816068481,29.6209026045358,29.1588100740629,29.104001226734
"Cont_Q3ZBD7,CON__Q3ZBD7",1,1,1,1,1,1,0.350134192124662,0.514203767067481,27.0921460109861,26.4219047877941,26.8204259766308,27.3444919748199,26.7484917564638,26.9760761343683
"Cont_Q3ZBS7,CON__Q3ZBS7,P04004",8,7,6,6,6,6,0.319835294048777,0.484694890561168,27.0205702060311,26.7619107939428,26.8219806609016,27.1056076191003,26.9061798187022,27.0116474905949
"Cont_Q58D62,CON__Q58D62",1,1,1,1,2,2,0.00268275040459489,0.0167084738515521,22.3583985777479,22.3574689093987,22.8396603274922,23.6922049285029,23.8646551962132,23.3079306610957
"CON__Q95121,Cont_Q95121,P36955",6,6,5,7,7,5,0.0406976305096077,0.129611432348063,25.8580197578935,25.9122826652911,25.7296707481424,26.354247990338,26.0811811573122,26.1042688067192
"Cont_Q9N2I2,CON__Q9N2I2",2,3,2,3,3,3,0.584579593409248,0.709786424593776,25.2055481739107,25.1425644035985,24.7629661120277,25.3061436534218,24.9701200115148,25.1354355153638
"CON__Q9TRI1",1,3,2,1,2,2,0.771417742918534,0.847603006195674,22.4700436198373,24.5566409322454,24.0043858903019,22.2832751582863,24.2570684610843,23.8198144543886
"Cont_Q9TTE1,CON__Q9TTE1",2,3,2,2,2,2,0.819346764555032,0.881849671375978,24.0404206185393,25.9050285438808,23.7602008376676,24.4587105725359,24.2633587982371,24.5677877546777
"Cont_P15497,REV__CON__P15497",0,1,0,2,0,0,0.930870273568929,0.951786589432522,NA,25.5095620305248,NA,25.4778837311451,NA,NA
"O60437",0,0,1,0,0,1,0.282975327764639,0.44904441738586,NA,NA,26.5825161649526,NA,NA,26.0895298731119
"P0C5L4",1,0,0,1,0,2,0.00898443817976137,0.0427310708530835,21.1796359752116,NA,NA,NA,NA,25.953137481505
"P12883,Q9Y623,P13533",1,1,1,2,1,1,0.0668875415471168,0.182621066137561,24.3879105717563,24.1684536718288,24.0151539500777,23.3357028391313,23.4884507995004,24.1127679365818
"P16050",1,1,1,1,1,1,0.00144534312212709,0.0106885855399028,24.2937413185544,24.091550647478,23.913042714864,25.0538087738961,25.6817533617146,25.1924670301531
"P25382",2,2,1,1,1,1,0.279064817155632,0.444795327059986,24.9223983428414,24.5791807554695,22.2254067944721,24.0196759993351,22.4043818904469,22.1846390784643
"Q14409,P32189",0,2,1,0,1,0,0.492064791505349,0.634683161872706,NA,23.7442938493166,23.4048906243393,NA,23.3512795921486,NA
"P32599",1,1,1,1,1,1,0.012857279976259,0.0556965018525592,24.5753543308133,25.7705083818217,24.4217219823706,23.3003947801306,23.8310565924487,23.3692170742985
"P33892",0,1,0,1,1,0,0.324800400983675,0.490326824649159,NA,27.0038553496141,NA,29.5975102823143,27.34154656201,NA
"P37652",1,2,1,1,1,1,0.386117831333051,0.54492348870166,29.9897107376498,29.9284185311915,29.779991380194,30.007739699543,29.6559831542082,29.5971271012654
"P38758",0,2,2,1,2,1,0.573340382007081,0.699906612114094,NA,24.5017786050074,25.1030644314396,22.5095531569645,25.4835078177525,24.6954140547638
"P38959",0,1,1,1,0,1,0.204339193643329,0.367956244952747,NA,24.2307230282887,25.7078167094449,25.4729777746922,NA,26.7135956761668
"P39970",1,2,1,1,1,1,6.94135284424323e-05,0.00265611918305095,24.7007371910389,25.2296445200397,24.7409132417427,23.0894338708352,22.7659259949483,22.7954986901858
"P40885,P54862,P40441",2,1,2,1,1,1,0.140409166913254,0.293424369912638,26.5719088882245,25.5096927058725,27.0495875326207,25.3909309689234,25.9034338728605,25.7055487310256
"P53038",2,1,2,2,2,2,0.489566402008229,0.632591429149032,28.6619922853818,24.3960959022406,27.690230422157,27.7103522752132,28.229709565993,27.27723228608
"P77439",2,1,1,2,1,2,0.597722642876023,0.720032689999235,26.8977264001744,24.1674601029728,25.664130175093,27.8653090649384,23.1448815076535,28.304085986183
"P77658",2,2,2,1,2,2,0.732341129973395,0.823476190448712,26.5248755093185,26.0729585516216,26.0811598329673,25.5032717915571,27.2564293935031,25.3366954462226
"Q13402",2,2,1,2,2,2,0.600316121950587,0.721607980002955,26.3609142206232,26.6545566806706,24.3318681175836,25.0754043109312,25.6405845067738,25.5672157484424
"Q13523",1,1,1,1,2,1,0.000990160471556271,0.00829403074930469,24.3790707673439,24.494349213641,25.1954873975223,23.2931227182952,23.1665952693109,22.99652896505
"Q13813",1,0,1,0,1,0,NA,NA,20.1966929939351,NA,24.9840506266486,NA,NA,NA
"Q14527",1,2,1,1,1,1,0.633549554879999,0.748726907276293,23.7674442484607,24.8141838561666,25.0697762276284,24.797175585314,24.5766945866209,24.8139483419471
"Q14643,Q3BBV2,P0DPF3,Q14571",1,2,1,0,0,1,0.519156528278034,0.656878663409907,NA,24.3072929185651,23.9295202281576,NA,NA,23.9002221160891
"Q5C9Z4",1,2,1,1,1,1,0.0389862315746527,0.126308745075737,26.7483280219323,26.9717732926244,26.8623291111271,27.4612083647572,27.1516105828992,27.1277713871974
"Q5SYB0",0,0,2,2,1,2,0.181776892369288,0.34203383378818,NA,NA,23.5495387011267,24.6430969085496,23.8507225189973,25.2671880550464
"Q86UQ4",1,1,1,2,2,2,0.0878187106695993,0.218508525907461,21.9905440653038,25.8406452944453,25.5715661449198,25.9269453361568,27.1776098829711,27.1120771471452
"Q86WG5",1,0,1,1,0,0,0.539926382416657,0.673598260441514,25.1487039606358,NA,22.554494978704,24.8285253744536,NA,NA
"Q86YS3",1,1,1,1,1,0,0.0416778122889055,0.13214979904034,22.709965796195,23.5536527790502,23.4208467597513,22.539173016841,22.1143589570931,NA
"Q8IVF5",2,1,1,1,1,1,0.753209753122936,0.836517557867097,26.9142462301978,27.2290414729008,28.1878388438222,27.7775471768669,27.4192583226486,27.4803317216596
"Q8N3R9",1,0,2,1,2,1,0.735845585149105,0.825762286289298,24.9732582790857,NA,27.3917741140181,23.9073602134188,27.6466450274104,25.5540791003476
"Q8NDH2",2,3,3,2,3,3,0.169548560015607,0.328622324113136,29.0149684062441,29.1784628762629,29.7242714506157,28.7968339013646,28.8153773155872,29.2022671750727
"Q8NDM7",2,3,2,2,2,2,0.637062465289965,0.750724838018095,25.3483290329542,25.1745656056426,25.6604041028139,25.0879134438302,25.4378286139174,26.0949258214576
"Q8NF91",2,2,2,2,3,2,0.0997996058011648,0.238045613127344,26.7760529167905,26.7287286214636,27.4739725997068,25.9313765227387,26.8812484636097,26.2467852845535
"Q8NFD5",0,1,2,0,1,1,0.0763067330329503,0.200742348202829,NA,25.7612084748656,27.2549055378336,NA,25.2171200010162,24.9538878647026
"Q8TC59",0,1,1,2,1,1,0.231974525643497,0.395108391207633,NA,23.5779848214074,24.9734574222024,25.0867244943135,25.5659376151025,24.4419201344747
"Q8WXH0",2,2,3,4,4,4,0.109523345900099,0.250999283185753,28.4052241432212,27.9758464306018,28.5754056549461,28.7374251101665,31.0488840699735,28.8869354066795
"Q8WXX0",0,0,1,1,0,0,NA,NA,NA,NA,NA,27.4119317129982,NA,NA
"Q8WZ42",2,3,3,3,3,2,0.240747251786424,0.405068077539383,26.0026381061832,24.5325605945928,25.9902403589164,25.6364167019947,26.0287288855674,26.9775118560231
"Q92547",1,0,0,0,0,2,0.193205820809537,0.355592999588944,24.601504719426,NA,NA,NA,NA,25.2722439801786
"Q96CN9",2,1,1,1,0,0,0.329873629957128,0.494565658923554,26.0598202556789,NA,23.7709727349233,23.447950145073,NA,NA
"Q96JB1",2,2,1,2,1,0,0.0973909004671296,0.234025422578245,27.8740698911774,27.3181373726413,27.5172235723543,27.0268352974335,22.7534431722136,NA
"Q96QV1",1,0,1,1,1,0,0.59278177621282,0.716301615227501,24.0359100353785,NA,24.6452389103075,22.8850126037981,28.0533672584772,NA
"Q99996",1,2,1,2,2,1,0.623820322571958,0.741043379424026,23.3074322589582,26.9586231411006,23.3191833324007,25.6771480680192,26.3754130795403,23.4916298546772
"Q9BV73",1,1,1,0,0,0,NA,NA,NA,NA,23.8799102284463,NA,NA,NA
"Q9BX26",2,2,2,2,2,2,0.305477451596243,0.471566811739799,28.382745500807,28.5576524625522,29.3707368734033,29.2369988915022,28.6628518486761,29.6385874643059
"Q9BY66,P41229",2,1,2,1,1,1,0.0191735092117625,0.0758976450067497,26.3832438175956,23.8559798472779,25.7146621972847,23.4347782903447,23.0774954336538,23.1173598043051
"Q9H5I5",0,0,1,1,0,1,0.967044728296931,0.977886470996556,NA,NA,22.2644961602658,25.4305707606086,NA,19.389805473313
"Q9H6L5",1,2,0,2,1,1,0.650054748950938,0.76075684359388,22.7707498506126,23.7220898383561,NA,23.5695594147432,22.759950603368,22.812091887017
"Q9NQW1",0,1,0,0,1,2,0.356546159521665,0.520646039821894,NA,23.7239833166978,NA,NA,23.8836507239149,25.2655099951637
"Q9NRC6",2,2,2,1,1,1,0.343244493104825,0.506789808439775,26.4071588697477,26.8401673503426,26.5751598387859,26.9148564248704,26.1156985178127,25.837248429671
"Q9P281",3,3,3,3,3,2,0.922842432282783,0.945876040069062,25.5208955676691,25.7473558137646,25.6842367888134,25.9411459078941,26.038302707309,25.0597279939533
"Q9UI33,Q9Y5Y9,Q14524",1,2,1,2,1,2,0.54099653481753,0.674210090639858,23.3538793061759,23.40095099481,23.7455081642374,23.867595373499,22.6837385054317,25.1499516220462
"Q9UPN3",1,2,2,1,1,2,0.531900360485675,0.667566013984804,21.6667976130184,25.3875030890376,25.6601955287745,23.3712615177403,25.9140082791621,26.0461673953714
"Q9Y2K3",2,2,2,1,2,2,0.0312536105517017,0.108198757297221,25.7624938876078,26.0624499112146,26.7446340684574,24.4761049787778,25.0151423394052,25.693168847524
"Q9NZJ9,A0A024RBG1,Q96G61,Q8NFP7",4,3,3,4,3,3,0.505637091343221,0.645055732941817,26.3241085418975,25.0400425686414,24.4114044297352,26.2883811097998,25.4131548971906,25.2544194173044
"P0DPI2,A0A0B4J2D5",9,9,8,9,9,9,0.270196646271666,0.436724243301819,28.3766612362509,28.4387136116487,28.0968447302808,28.6200399083284,28.5119513219125,28.331090874389
"A0A1B0GTU1",0,1,0,1,0,0,0.284759772811015,0.450884518015184,NA,24.2408343845214,NA,23.7505481520388,NA,NA
"A0A2R8Y4L2",1,1,1,1,1,1,0.995090804824179,0.996471779374887,25.8996022690257,26.1897820424535,24.4767651005208,26.552177233348,25.4906986096838,24.5102845473924
"A0AVT1",25,23,22,27,22,26,0.342912271087482,0.506789808439775,29.0439375905169,28.7788978269037,28.7866946732903,29.3408313531732,28.8861798159711,28.9217644896689
"A0FGR8",2,4,3,3,3,3,0.0564883614311117,0.163790306308005,22.6667976130184,23.1430699206298,23.8747262665593,24.2187982940252,24.0175078675711,23.7984353425758
"A0MZ66",4,5,5,5,8,8,0.00438821538145889,0.024223908078414,24.8099020471841,25.3706804683004,25.104359673495,25.7731635850575,25.9588771248834,26.0760946433114
"A2RRP1",6,6,6,6,6,6,0.685470841566138,0.788681827050242,25.399028069261,25.0939232721489,25.4223780510681,25.4043546957231,25.1857779660553,25.1331184642093
"A3KN83,Q9Y2G9",4,7,5,4,6,7,0.326521985734688,0.492170262592035,25.3352772673367,26.3074733268571,25.4339467849083,24.8967073820541,25.484526875846,25.6178089406983
"A4D1E9",5,4,3,5,5,6,0.0377004930406312,0.123368604346446,25.426399927045,24.6048032307861,23.7100349824864,25.543276960796,25.8182381725983,25.9393529321728
"A4UGR9",1,2,2,1,1,2,0.0603324064195551,0.170722120350237,24.4350251983206,25.8983167938353,25.7644761325436,24.2182772146645,24.5342318118969,24.4479102439672
"A5YKK6",18,22,22,21,22,23,0.0376179466468059,0.123368604346446,27.7825926406875,27.9744742152707,27.7693405810217,28.2193951328404,28.095008724296,28.1630348146723
"A6NDG6",8,9,9,8,8,9,0.357512633117821,0.52175565151058,27.0701435777159,27.4727942063305,27.5545473483436,27.353121093293,27.6130092648941,27.6718279877449
"A6NDU8",5,3,4,4,5,4,0.829038457697645,0.887486673853698,25.4558486780539,24.8250619893763,25.4290584059423,24.9794981726583,25.8578180317642,25.0807969062362
"A6NHL2",1,1,1,1,1,1,0.0363446102188932,0.120220449388101,25.7988337942574,25.572615834575,25.866131794649,26.6057179825276,26.3158701418515,27.9705764262856
"A6NHQ2",2,2,2,2,2,2,0.0400112441989784,0.128152691470539,27.0623571019472,27.0597215018892,27.2669790095925,27.7509234922186,27.450977526315,27.3768068195801
"A6NHR9",26,29,34,27,27,29,0.771012838127429,0.847526843391,28.9649414802706,28.9570907024878,29.1423333310723,29.1105298977759,28.9983403727592,29.0602459017376
"A6NKT7,Q7Z3J3",1,1,0,1,1,1,0.211664911493893,0.375465892101376,24.7347034568377,24.8666301145725,NA,24.8896888076823,25.0135799719133,25.1459076504205
"A8MTA8",1,1,1,1,2,1,0.572611534285615,0.699458490852876,23.6655348393125,23.8596753823477,24.0497467714606,20.2740787709338,24.7651354967865,24.3572293276534
"P62308,A8MWD9",4,4,4,4,4,4,0.268714434999994,0.435024554866978,29.122363782686,29.1033662837929,29.7176051543916,29.6659822803427,29.8177617568857,29.3154028958315
"Q8TB69,B4DXR9,Q8IYB9,Q15928,Q3SXZ3",2,0,0,1,1,1,NA,NA,NA,NA,NA,24.0480047223936,23.4720302370649,23.4607552346367
"C9JLW8",2,2,2,2,2,2,0.662123088716695,0.770160505125189,24.2271484270287,24.5379010628463,24.3372125144246,24.6052696801848,24.523931338977,24.1982134924312
"Cont_P00330,P00330,P00331",15,15,14,14,15,14,0.00167949072908407,0.0118898962821515,35.1088498740827,34.6879192347281,34.9789071890454,34.0680774964721,34.1483812998487,34.1203489315279
"P00722,Cont_P00722",3,3,2,7,8,7,4.33149275694315e-05,0.00215241390661804,24.0221999754752,24.3883845756923,23.6263342786805,26.6718297207227,27.30596031351,27.2815559676129
"Cont_P01017,CON__Q3SZH5",4,3,2,2,3,4,0.561920594387442,0.690910643196439,24.5115440147169,23.9950149937115,23.9352010439384,22.7596488481455,24.5056907793957,24.2633592264771
"P05783,Cont_P05783,CON__H-INV:HIT000015463,CON__Q92764,Q92764,Cont_Q92764,Cont_Q497I4,CON__Q497I4",14,13,14,16,14,15,0.281894332954234,0.447751030110641,29.8110203789318,29.1725944456941,30.0098299860133,30.0957419420108,29.8403083830649,29.9226697852967
"Cont_P32503",11,12,12,10,11,11,0.000223077429140461,0.00381965874674084,30.0660298808879,30.0029505404022,30.0236325375748,29.0208716856036,28.7388244034211,29.0604152704796
"Cont_P33433",2,3,3,4,3,4,0.0888067615412006,0.220419478968707,25.4427997297583,25.9645650801947,25.6296522370002,25.8768971501528,26.0729294422722,26.1910003108323
"P60709,Cont_P60712,Q6S8J3,A5A3E0,P0CG38,Q9BYX7",19,19,19,19,19,19,0.33893948449009,0.503509575076218,30.4122995730041,30.7205241521768,30.4836474912724,30.9861578880784,30.5008875523637,30.6732525591885
"P63104,Cont_P63103",13,12,13,12,12,13,0.236590726376153,0.399805874515206,31.481525820804,31.4641216733866,31.3928554507935,31.5326720916426,31.6801995725967,31.5560109077819
"Cont_P68103,P68104,Q5VTE0",18,19,18,18,18,18,0.270109616208852,0.436723326335119,33.9842563639005,33.8121939804892,33.7707802207233,33.9818672678562,33.9966074294614,34.0034627346812
"P68133,P68032,Cont_P68138,P62736,P63267",2,3,3,1,2,2,0.0376197410265248,0.123368604346446,30.1387954745114,30.2712357488733,30.452787854946,30.7520676770226,30.5415638845498,30.6637287373372
"Cont_P81948,P68366,Q9H853",3,4,4,4,4,4,0.393668563886239,0.551419832553909,26.797692378538,28.0280503241879,27.5607062076161,27.9829021754162,27.6168316362051,27.7020419443611
"Cont_Q2HJ86,P0DPH8,P0DPH7,Q6PEY2",1,1,1,1,1,1,0.88530747447775,0.924666677747542,31.3068263432615,31.5700883113135,30.8431766366427,31.4297059303427,31.1179400856076,31.0706012406397
"Cont_Q2KJD0,P07437,A6NNZ2",4,4,4,4,4,4,0.111671996299964,0.25403607931638,32.8708834854136,32.5061537608091,32.7778735093303,32.9956317622287,32.9462710365411,32.978280405295
"Cont_Q3SYV4,P40123",1,1,1,1,1,1,0.112654139683483,0.255490075297582,28.458000605664,28.2923917531237,28.2811391533247,28.9375560883374,28.50976322099,28.5031891194604
"E9PAV3,Q13765,Q9BZK3",4,4,4,4,4,4,0.0401350229899714,0.128358129536321,30.5599569450951,30.633859353193,30.584486799259,30.9399118858867,30.8274396018328,30.8434763662496
"E9PRG8",2,2,1,2,2,2,0.162717929796423,0.321398545251977,25.9122135404433,25.763621265699,24.9277114954582,25.9616044510318,25.9579864753401,26.0138480935938
