"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"A8MPS7",NA,NA,NA,NA,NA,-22.3241177879,1,NA,NA,1,1,2,NA,NA,NA
"A8MWD9",-19.0435036229,-18.6189432095,-18.5606122604,-18.4013302009,-18.7706503944,-18.3758827811,12,10,14,8,10,13,0.463764519838988,0.773313492063492,-0.225065238799999
"A8MXV4",NA,NA,-23.8829877579,NA,NA,-22.7444211766,1,1,4,2,3,4,NA,NA,NA
"B4DXR9",-24.0781050132,NA,-24.0931301432,-24.3157345473,NA,-24.3285135454,2,NA,1,2,1,2,0.306081799884991,0.665565102445473,0.236506468149997
"Biognosys|iRT-Kit_WR_fusion",-15.9808627003,-15.9177716429,-16.0053770536,-15.824568024,-15.890138491,-16.0066841573,55,59,61,64,58,67,0.785315986198965,0.915087956698241,-0.0608735748333338
"C9JLW8",NA,NA,-21.9026540845,-21.1103311682,-20.9161247836,-21.8464304635,2,3,5,3,3,3,NA,NA,NA
"Cont_A0A3Q1M032",-22.8813752772,-23.4588123795,NA,-22.193684489,-22.8224365612,-22.1274133971,2,2,18,2,2,2,0.0697415181138585,0.327841845140033,-0.78891567925
"Cont_A0A3Q1M3L6",-18.7548406608,-18.5361665492,-18.6769012696,-18.5133424736,-18.5396662615,-18.7732405386,20,27,25,24,25,26,0.83861170212766,0.93747985820174,-0.0472197353000006
"Cont_A2I7N1",-22.1756891157,-23.8792188833,NA,-23.0178940032,-23.1385558231,-22.5169847987,6,8,5,6,9,10,0.774293703277746,0.911050290797126,-0.136309124499999
"Cont_A2I7N3",-23.3074877559,-23.4548729972,-22.7963044856,-23.473610653,NA,NA,2,3,3,3,1,1,NA,NA,NA
"Cont_G5E513",-21.9415538204,NA,-23.0502546606,-21.9356215168,-21.4902697423,-22.3168643542,15,17,20,14,17,16,0.216663743530765,0.549593495934959,-0.5816523694
"Cont_P00330",-18.2996188133,-18.1383524711,-18.1893106944,-18.8108773905,-18.7118074716,-18.6114223616,83,90,94,59,63,57,0.0809859114433582,0.356707317073171,0.502275081633332
"Cont_P00722",NA,NA,-24.9816584072,-23.0812429169,-22.8004854911,-22.606650027,2,3,1,7,8,11,NA,NA,NA
"Cont_P00735",-22.3521749363,-21.8152415726,-21.5734309614,-22.3600285116,-21.0790051954,-21.1933375391,16,17,16,11,20,15,0.391970241518114,0.736664795058956,-0.369492074733333
"Cont_P00761",-16.5980232598,-16.8235530511,-16.8212672622,-16.6814237489,-16.9042420538,-16.9134911539,51,49,53,50,50,54,0.730649511213341,0.89651493598862,0.0854377944999989
"Cont_P01017",-23.7070704744,NA,-24.0323266167,NA,-23.822023927,NA,3,1,3,4,1,3,NA,NA,NA
"Cont_P01030",-24.1085164196,NA,NA,-23.3638877549,-23.3540213182,-23.863034487,4,3,6,5,3,5,NA,NA,NA
"Cont_P01044",-23.7878107021,-23.6721625833,-23.9665868666,-24.1044637652,-23.536859415,-23.8198103633,3,3,3,4,3,4,0.948462190914319,0.966764705882353,0.0115244638333323
"Cont_P01966",-16.7882760505,-16.4450274387,-16.2288427508,-16.1622257495,-16.0883578044,-16.1303571942,57,53,67,43,67,71,0.236995687176538,0.576153846153846,-0.360401830633332
"Cont_P02070",NA,-21.2388697901,-21.0269115544,-22.2908120158,-22.1659986435,-21.2011495641,1,16,21,18,16,4,0.10728004600345,0.411543287327478,0.753096068883334
"Cont_P02081",-18.8136548141,-18.0599593618,-18.1718876934,-18.2941787681,-17.8749282456,-18.2677481036,20,28,36,30,30,27,0.544210322024152,0.823111111111111,-0.202882250666669
"Cont_P02769",-19.6967434295,-19.601249624,-19.1657644324,-19.0823788894,-19.0918491096,-19.0266233089,41,39,50,46,48,53,0.177903105232892,0.50787766450417,-0.420968725999998
"Cont_P05783",-19.9774555244,-19.8159427102,-20.0343630903,-19.3905899113,-19.5420475008,-19.7985994916,24,25,27,29,29,31,0.215476998274871,0.549423393739704,-0.365508140399999
"Cont_P05787",-19.9617056182,-20.4334283746,-20.5610513432,-20.1675444596,-20.0342296215,-19.8613990317,35,34,43,37,42,43,0.346355232892467,0.700183936235438,-0.297670741066664
"Cont_P08727",-20.4637450234,-19.9642375535,-20.5915126015,-19.8200537108,-20.5103503603,-20.3085796888,17,15,18,21,16,18,0.694358108108108,0.878039793662491,-0.126837139500001
"Cont_P08730",-23.253068051,-22.4181021425,-23.6494252932,NA,-23.4200517773,-23.5757286364,7,7,8,4,4,5,0.368227573317999,0.712784588441331,0.391025044616669
"Cont_P12763",-18.9794576319,-18.864156681,-18.7275539459,-18.9145438004,-18.4973275676,-18.8535327706,31,25,22,31,31,29,0.70228910293272,0.878457059679767,-0.1019213734
"Cont_P13645",-22.9501405006,-23.8323025196,-24.0723073187,NA,-22.2481931824,-24.1552608494,6,4,5,9,5,7,0.47616618746406,0.784218217243059,-0.416523097066666
"Cont_P15497",-20.2187021537,-19.881953447,-19.7113410582,-19.3993400554,-19.2303148062,-19.7525415834,14,17,17,17,17,17,0.159491374353076,0.486567164179104,-0.476600071300002
"Cont_P17690",-22.4101874728,-21.9216488901,-21.8023766895,-22.2536599027,-23.0194322845,-22.3897224483,2,2,4,4,2,3,0.175854945370903,0.506046511627907,0.509533861033333
"Cont_P32503",-20.0798985169,-19.8857008586,-20.109577489,-20.9070131581,-21.4068871206,-20.8228464554,18,22,22,10,14,19,0.0153674525589419,0.142222222222222,1.02052328986667
"Cont_P33433",-21.5001788222,-22.1882185285,-22.3226622789,-21.6263251193,-21.5181773681,-22.0659666458,4,4,5,3,4,4,0.451246262219666,0.768922305764411,-0.266863498799999
"Cont_P34955",-20.9029470698,-20.9888054395,-20.8625599028,-21.1217018165,-20.5812320107,-22.7210674805,11,15,16,13,15,15,0.284362995974698,0.646527777777778,0.556562965200001
"Cont_P41361",-23.4290171284,-22.5112356323,-22.370228404,-22.8792602048,-21.1671068923,-21.7521208917,6,6,10,5,11,12,0.120070874065555,0.43211334120425,-0.837331058633332
"Cont_P50448",NA,NA,-24.1360882001,-23.84816495,NA,-24.1071429599,1,1,1,2,1,3,NA,NA,NA
"Cont_P60712",-16.153173126,-16.2466077066,-16.1879693557,-15.8380683883,-15.952300771,-16.0780310123,366,374,408,406,404,438,0.35263829787234,0.704918032786885,-0.239783338899999
"Cont_P63103",-18.1994366363,-18.2167540501,-18.7799591492,-17.8914709872,-18.2818734216,-18.442416083,90,91,96,93,102,100,0.552220816561242,0.826730518067044,-0.1934631146
"Cont_P67983",-21.3358745791,NA,NA,-20.3906509233,-21.1693920705,NA,1,NA,1,2,2,1,NA,NA,NA
"Cont_P68138",NA,NA,NA,NA,-23.5990281286,NA,231,229,258,249,251,268,NA,NA,NA
"Cont_P81187",-23.1016159763,NA,NA,NA,NA,NA,6,2,NA,3,1,NA,NA,NA,NA
"Cont_P81948",-21.349336141,-21.5490598549,-21.5533914797,-21.5616554076,-21.9540741097,-22.4101225705,116,110,130,127,127,143,0.167527889591719,0.496644295302013,0.491354870733336
"Cont_Q03247",-22.1194567565,-22.2863677478,-22.3081415041,-22.6889561604,NA,-21.9840052958,6,6,6,8,7,6,0.754478579643473,0.90426638917794,0.0984920586333331
"Cont_Q05B55",-21.583048524,-22.4150405391,NA,-20.3363294635,-21.2470564904,-20.6878537631,5,4,NA,4,5,7,0.024426394479586,0.172523961661342,-1.24196462588333
"Cont_Q1RMN8",-18.6568902589,-18.8339678294,-18.4897662518,-18.7096251017,-18.869533536,-19.0193201313,15,19,20,19,18,17,0.459499856239218,0.772681954137587,0.205951476300001
"Cont_Q1WEI2",-17.3032336781,-17.2382900458,-17.2875433423,-17.2043868548,-17.2216224687,-17.3183401082,60,66,75,68,63,67,0.883694795859689,0.942989214175655,-0.0282392114999972
"Cont_Q28065",NA,-22.88614936,-22.5082994389,-22.5247707912,-22.9962329265,-22.8641705438,5,6,6,8,2,6,0.742699252443933,0.904191616766467,0.0978336877166655
"Cont_Q28085",-25.4877018796,-24.2571302805,-25.3439365049,-25.5975131207,-24.8476844346,-25.4487949299,2,2,2,7,3,4,0.515739936745256,0.810027598896044,0.268407940066666
"Cont_Q28107",-23.5324127376,-24.7799392075,-23.7503954117,-23.584050559,-24.9499156803,-23.6092860106,14,8,14,14,8,14,0.935136572742956,0.962863933452169,0.0268349643666674
"Cont_Q28178",-25.3593025062,NA,-25.4978949705,NA,NA,NA,4,4,5,4,7,4,NA,NA,NA
"Cont_Q29443",-20.0057077231,-19.8671685401,-19.7171273024,-19.555170352,-19.4626364137,-19.3299381488,29,38,35,35,33,39,0.151194220816561,0.473684210526316,-0.414086217033333
"Cont_Q2KJD0",-17.7835025794,-17.9504927117,-17.8085184924,-17.6964907706,-17.6736286142,-17.7520282726,281,275,304,316,296,331,0.560566992524439,0.827720207253886,-0.140122042033337
"Cont_Q2KJF1",NA,-22.5774302456,-22.9497712156,-23.0748984484,-22.3974033541,-22.9198954309,2,4,4,4,2,5,0.902333668775158,0.952787084983247,0.0337983472000012
"Cont_Q2UVX4",-23.0589085121,-21.9583367892,-22.1893646381,-23.0922433348,-21.9548313385,-22.4736881281,25,29,23,27,25,32,0.786834818861415,0.915459750757831,0.104717620666666
"Cont_Q2YDI2",NA,NA,NA,NA,NA,-23.8380334988,1,NA,1,1,1,1,NA,NA,NA
"Cont_Q32PI4",-24.0293762569,-23.8609235643,NA,-23.8817968264,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
"Cont_Q32PJ2",NA,NA,-22.3027691454,-22.8611314556,-23.0103204975,NA,3,3,4,2,3,1,NA,NA,NA
"Cont_Q3MHN2",NA,-23.4722301473,NA,-23.9096309651,NA,-23.6844555066,5,6,5,6,4,5,NA,NA,NA
"Cont_Q3SX14",-22.0481304419,-23.6610399354,-22.6680422932,-22.2032436157,-22.1186156878,-22.2983863623,12,13,14,11,14,13,0.196515669925244,0.529155787641427,-0.585655668233333
"Cont_Q3SYV4",-21.7179863004,-23.0696180189,-23.1427741522,-21.805544815,-21.7432545108,-22.1861855498,16,15,21,20,17,19,0.126628378378378,0.442020665901263,-0.731797865299999
"Cont_Q3SZV7",-22.5630179073,-23.4363574606,-23.0334976335,NA,-22.1619920342,-23.1828483952,2,1,2,NA,3,3,0.442522570442783,0.762538382804504,-0.338537452433332
"Cont_Q3T052",-20.8419968637,-21.5372809756,-21.0661543666,-21.138025325,-21.0687770611,-21.1319929621,15,18,20,19,21,24,0.887909143185739,0.944359053181678,-0.0355456192333321
"Cont_Q3ZBD7",NA,-23.8899116823,-23.0181467804,-21.9538727021,-23.4116927248,-22.8101948502,3,15,4,3,3,3,0.172684013801035,0.504734848484849,-0.728775805649999
"Cont_Q3ZBS7",-22.4074659349,-21.5955824096,-22.6151604779,-21.7995089328,-22.137227771,-21.7813294975,7,7,9,7,8,14,0.415909574468085,0.752150537634409,-0.300047540366666
"Cont_Q7SIH1",-21.6059133622,-21.6623504304,-21.931508053,-21.4874826765,-21.2455174126,-20.749076419,26,27,29,29,27,33,0.113718228867165,0.418491484184915,-0.572565112499998
"Cont_Q95121",-22.4422914181,-22.5234235489,-22.4293032161,-22.1200282103,-22.22883795,-22.3770570413,5,8,9,8,10,8,0.388230736055204,0.732466063348416,-0.223031660499998
"Cont_Q9N2I2",NA,NA,-22.3511087839,-21.6075975706,-23.47405588,-22.6017274703,0,1,5,3,3,5,NA,NA,NA
"Cont_Q9TTE1",NA,-23.2147193243,-23.0425719405,-22.2861813815,-23.1567938873,-22.3284198622,4,10,4,6,8,6,0.187903536515239,0.517953321364452,-0.538180588733333
"Cont_Q9XSJ4",NA,NA,NA,NA,NA,-23.4717098261,111,99,110,127,116,120,NA,NA,NA
"E9PAV3",-22.3191754917,-22.6611366219,-23.7788855757,-22.8256685374,-22.5308898336,-22.7284985117,18,16,16,18,18,19,0.582092438182864,0.841905564924115,-0.224713602199998
"E9PRG8",-20.5728759603,-20.6021550549,-20.1696130155,-22.3086710387,-20.5314009073,-22.4851626635,2,2,4,3,2,3,0.0337035652673951,0.205194805194805,1.32686352626666
"G2XKQ0",-21.0259938246,-21.2109709489,-21.4857091839,-21.7352762814,NA,NA,2,2,1,2,2,1,NA,NA,NA
"O00115",NA,NA,NA,NA,NA,-23.5205741443,1,1,1,1,2,2,NA,NA,NA
"O00116",-20.9990997855,-20.8342141003,-21.3819414646,-20.6170552784,-21.0469073475,-20.8314865163,17,12,16,14,13,14,0.439539534215066,0.761708697889861,-0.239935402733334
"O00139",-22.8881529097,-24.4674924315,-22.7024343313,-23.0780856819,-23.4959085756,-23.37826004,9,10,9,10,11,9,0.920336400230017,0.960878724044538,-0.0352751250000019
"O00148",-20.0385706744,-20.3909039295,-19.5304941838,-19.4471840213,-19.7218292922,-19.8307136465,14,42,49,48,47,50,0.357123490511788,0.709483793517407,-0.320080609233333
"O00151",-19.4383902323,-19.2038675632,-19.3416801111,-19.1498583622,-18.9392181218,-18.8416990595,13,18,25,18,23,22,0.217125215641173,0.549593495934959,-0.351054121033332
"O00154",-21.8844402843,-20.2944070994,-20.9265750419,-20.7838371941,-20.8396427755,-21.4276098079,13,14,11,12,15,15,0.946874640598045,0.966166519564578,-0.0181108827000003
"O00161",-20.752362157,-22.2933505637,-19.8693284847,-20.1615371829,-20.3547806299,-20.0853578529,5,4,7,6,4,7,0.176336831512363,0.506046511627907,-0.771121846566668
"O00165",NA,NA,NA,NA,NA,-23.2392391841,2,2,3,2,3,3,NA,NA,NA
"O00170",-20.6484106681,-21.3915554894,-21.279785785,-20.4356053042,-20.5998492669,-20.7049962804,8,8,6,10,10,9,0.141178407130535,0.46096256684492,-0.526433697000002
"O00178",-22.3705459297,-22.9855303891,-22.5191442437,-21.9687550226,-22.7222313378,-23.0075277352,6,3,6,6,5,5,0.856244537090282,0.940506329113924,-0.0589021556333336
"O00186",-24.6631789071,-21.7887230151,NA,-24.5613452158,-22.4961928467,-24.7633230632,2,5,3,5,4,6,0.403014807360552,0.747797356828194,0.714336080799999
"O00193",-20.3333632833,-19.9335704751,-20.3188556503,-19.7363227017,-20.0339372345,-19.7353489783,5,5,3,4,5,5,0.237406986774008,0.576153846153846,-0.360060164733333
"O00203",-23.5680335635,-24.9050093159,-23.4944460048,-25.2750244504,-25.0268982467,-23.5990609808,8,7,7,7,6,12,0.239539677975848,0.579754601226994,0.644498264566668
"O00214",-23.5080571338,NA,NA,-23.8040242512,NA,NA,2,NA,1,2,2,1,NA,NA,NA
"O00217",-21.2512185199,-20.1369984692,-20.962851043,-20.163879439,-20.8480401807,-20.6759468874,4,7,6,6,5,5,0.566002156411731,0.829969944182052,-0.221067175000002
"O00231",-19.1707696589,-18.9222265599,-18.9850510995,-19.3638260909,-19.0551256976,-18.870348719,31,35,33,35,35,40,0.789887866589994,0.915459750757831,0.0704177297333359
"O00232",-19.8479951944,-20.461890748,-20.2783044691,-20.408171566,-20.5624130645,-20.4365036135,18,13,19,15,15,20,0.374178407130535,0.719491035280509,0.272965944166668
"O00233",-20.2134475948,-20.9872966931,-21.0524376034,-20.9868274501,-20.6180775159,-20.4480896598,7,4,5,5,9,6,0.832294853364002,0.933980582524272,-0.0667290884999971
"O00244",-19.2762675956,-20.2201663936,-19.4040313305,-19.1485787237,-19.3132237845,-20.7644401066,5,2,5,6,4,3,0.801908999424957,0.920465890183028,0.1085924317
"O00264",NA,NA,NA,NA,-22.8721633085,NA,2,1,0,3,1,1,NA,NA,NA
"O00267",-21.1370166195,-21.2308120811,-20.720509165,-20.4819592342,-21.3296831425,-20.4191894025,22,25,26,27,25,27,0.436668200115009,0.761609907120743,-0.285835362133334
"O00273",-21.9833260434,-21.381649158,-20.0477651548,-20.8275550211,-21.0483128553,-20.7235151149,7,6,12,8,6,7,0.56112219666475,0.827720207253886,-0.271119121633333
"O00291",-25.7192603404,NA,NA,NA,NA,NA,1,0,1,1,1,4,NA,NA,NA
"O00299",-16.6183766604,-16.8130574173,-16.8805095469,-16.5728140136,-16.672555237,-16.8987894347,63,56,63,60,60,69,0.819266532489937,0.928010471204188,-0.0559283131000008
"O00303",-19.1413901921,-19.7938161735,-19.9113000774,-19.3032745222,-19.5532914303,-19.6133727051,18,16,19,20,16,23,0.689559948246118,0.878039793662491,-0.125522595133333
"O00330",-23.7604840847,-23.4058007109,-22.2759155402,-22.3697216753,-23.5382312876,-22.5281734199,3,3,7,7,3,10,0.476943070730305,0.784218217243059,-0.335357984333335
"O00399",NA,NA,-21.4912901214,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA
"O00410",-20.443126002,-20.4783920743,-20.3861232235,-20.3237832057,-20.483027687,-20.1840112662,30,32,36,34,37,42,0.668531914893617,0.86885865457294,-0.105606380300003
"O00411",NA,NA,NA,NA,NA,-24.6415259659,2,1,1,2,1,4,NA,NA,NA
"O00418",NA,-24.2599805175,-24.5353945562,NA,NA,NA,2,2,3,2,NA,5,NA,NA,NA
"O00422",-21.0385535982,-20.4053665641,-20.8262797637,-21.2271225382,-21.8188696655,-20.3910230975,13,13,13,7,16,14,0.362232317423807,0.712166172106825,0.388938458399998
"O00425",-21.6088489725,-20.9826960494,-20.9137767568,-20.623723466,-20.4884884838,-20.6915239428,17,21,27,26,21,26,0.112260063254744,0.416256157635468,-0.567195295366666
"O00429",-20.9253546065,-20.8969132975,-20.800251077,-20.9006471344,-20.7591746597,-20.8034935597,17,14,18,17,23,22,0.808526451983899,0.923153362040411,-0.0530678757333298
"O00442",-23.7934568678,-21.3982604762,-21.2307225993,-21.5836074337,-21.5110497014,-23.8898395923,5,8,5,8,5,6,0.776245543415756,0.912226775956284,0.187352261366666
"O00459",NA,NA,NA,-24.6515026335,NA,NA,NA,2,1,3,NA,1,NA,NA,NA
"O00471",-23.8008368073,-24.2269485488,-24.7580522616,NA,-24.3116523937,-24.5905412789,1,2,2,NA,2,3,0.611662162162162,0.856156034132466,0.189150963733336
"O00483",-20.2596185353,-21.4985707429,-20.4904490581,-19.7581960856,-19.5911341896,-20.8242411191,5,2,5,5,5,2,0.161310235767683,0.489173228346457,-0.691688980666665
"O00487",-22.0578421524,-21.3256954501,-21.4292351717,-22.091743508,-20.7852081479,-20.361283393,9,11,8,9,12,13,0.280595888441633,0.639747191011236,-0.524845908433331
"O00505",-22.1231177587,NA,-21.9263687866,-21.7381650772,-22.4658442622,-22.3964899125,3,2,5,5,5,6,0.611375646923519,0.856156034132466,0.175423144650001
"O00506",NA,NA,NA,-23.9714882706,NA,NA,1,1,2,1,3,3,NA,NA,NA
"O00507",-26.5636386704,NA,-26.5838760634,NA,NA,NA,1,14,1,10,13,17,NA,NA,NA
"O00541",-21.6516114136,-22.0640271835,-21.3866118395,-21.2697364106,-22.3507720524,-21.2491436234,18,14,15,11,14,15,0.827761213341001,0.931707317073171,-0.0775327834000024
"O00560",NA,-22.658685613,NA,-22.0761795077,NA,-23.1850388407,NA,2,NA,3,NA,1,NA,NA,NA
"O00566",-21.1519061172,-21.6699379808,-21.5086834046,-21.5519519542,-21.6318127268,-21.7663660292,14,13,9,11,15,15,0.477608395629672,0.784503631961259,0.206534402533336
"O00567",-24.1315114363,-22.1324837638,-22.0699356088,-23.6374374225,-22.6014251624,-22.1409504055,6,7,9,10,12,12,0.957795284646348,0.966783216783217,0.0152940605000005
"O00571",-21.259754447,-22.523523506,-21.3070523342,-21.7222860042,-21.5325216387,-21.510752176,54,39,42,53,52,57,0.77061802760207,0.909715070374185,-0.108256822766666
"O00584",NA,NA,NA,-23.5472314667,NA,-23.0949268388,3,4,3,3,2,2,NA,NA,NA
"O00625",NA,-23.1159480355,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
"O00629",-21.13703762,-21.0616323797,-20.3087605636,-20.5401525359,-19.9037225865,-20.3802517758,9,11,17,15,20,17,0.153446377228292,0.473684210526316,-0.561101221700003
"O00743",-23.0849810092,-22.8870220075,-22.9494294108,-23.1733382055,-23.1659267558,NA,2,5,3,4,4,4,0.440167193789534,0.761708697889861,0.195821671483333
"O00764",-20.006367311,-20.2505815481,-21.3330298865,-20.6230657322,-20.2016438125,-20.7263541012,9,9,9,8,11,7,0.953606239217941,0.966783216783217,-0.0129716999000031
"O13516",-21.5223265212,-22.2575423448,NA,-22.4524700749,-22.1612220723,NA,14,1,1,14,11,1,0.304522282921219,0.665565102445473,0.416911640599999
"O13563",-20.9877780411,NA,-21.8269987013,-22.6357723175,-21.0328450773,-21.2930749606,3,2,3,3,2,3,0.631498993674526,0.863582908663269,0.246509080599999
"O14455",-19.8747630033,-19.7736427348,-20.4369283622,-20.729295468,-20.5980276361,-22.0463871808,24,26,23,15,15,19,0.0424286946520989,0.248306997742664,1.09612539486667
"O14467",-20.2179680649,-21.4879665623,-19.8350108814,-20.665124064,-20.3984839559,-20.9291922873,9,8,8,5,6,6,0.719058079355952,0.888968481375358,0.150618266200002
"O14497",-23.3448506638,-23.2310674265,-22.6535698076,-22.7533384154,-23.4219526012,-22.9113315674,17,17,23,17,18,22,0.870602213916044,0.940738442444927,-0.0476217713000011
"O14530",-20.6836646459,-20.8206493199,-21.9940606599,-21.0720447639,-22.5422782295,-20.3801230398,8,8,5,10,5,5,0.748207878090857,0.90426638917794,0.165357135833332
"O14545",-21.5296964292,-22.6093542407,-21.5011327398,-22.85722838,-21.651060795,-21.9916444009,9,5,9,10,10,9,0.514511069580219,0.809940174873447,0.286583388733334
"O14561",-19.7521923798,-19.980525095,-20.5500788637,-19.6671446642,-20.1523664904,-19.3026002333,11,9,7,11,9,12,0.309921506612996,0.671494404213298,-0.386894983533335
"O14562",-22.1931414565,NA,-23.0846149707,-22.8162177829,NA,-23.0251080248,5,3,4,6,NA,4,0.498687751581369,0.798208392267798,0.281784690249999
"O14579",-20.2840766986,-19.4439333631,-19.4475819272,-19.5498706358,-20.8291116742,-19.3661242397,9,10,14,11,10,16,0.662834100057504,0.868089973313,0.189838186933333
"O14607",NA,NA,NA,NA,NA,-26.3362726166,0,1,1,1,1,2,NA,NA,NA
"O14617",-23.7117706746,-24.4383962624,-23.7540308779,-22.6538380006,-23.5151738148,-23.4200150316,7,4,9,11,12,10,0.0752935595169638,0.338072669826224,-0.771723655966667
"O14618",NA,-22.7292306253,-22.9102064323,-23.0417254568,NA,-22.9463181335,NA,4,2,2,2,2,0.505796290971823,0.801583605030275,0.174303266349995
"O14646",-23.6289851011,-24.1708808402,-23.1393559183,-23.1292579472,-24.4746288812,-23.636671676,11,8,10,10,10,13,0.799239361702128,0.919532554257095,0.100445548266666
"O14737",-18.78683774,-19.0223239827,-20.5698202846,-19.1878039405,-19.5999717317,-19.8883658728,7,8,7,8,6,5,0.817876653248994,0.928010471204188,0.0990531792333336
"O14744",-20.7998307118,-20.363562754,-19.9024014636,-20.8625987262,-20.345050603,-20.3790496632,21,21,22,20,18,19,0.614877372052904,0.857603872529246,0.173634687666667
"O14745",-21.977007038,-20.8143621273,-21.2730573296,-21.0521332646,-21.1389356145,-20.5362885493,4,8,8,5,8,11,0.269792265669925,0.625722543352601,-0.445689688833337
"O14757",-22.7695636081,-23.7950061667,NA,-23.5981964534,-23.6914171857,NA,3,4,3,5,2,4,0.420360839562967,0.75462718138551,0.362521932149999
"O14773",-21.6074370051,-21.4682097324,-24.0274500305,-22.0534188124,-22.5775659229,-22.4784981199,5,5,5,6,7,5,0.975709603220241,0.973517559009787,0.00212869573333307
"O14776",-21.5326410452,-21.3099784477,-21.7147099876,-20.9832586173,-21.7381224681,-21.6916226278,24,23,21,21,21,24,0.866898504887867,0.940738442444927,-0.0481085890999999
"O14777",-23.1091213071,-24.569135482,-23.3886096426,NA,-23.8707386074,-24.3272814888,10,8,9,9,6,9,0.402647067280046,0.747797356828194,0.410054570866667
"O14787",-22.9696957557,-22.930434795,-23.6230220973,-22.0591230411,-22.8546880825,-22.718430542,4,6,6,9,6,9,0.121439045428407,0.432941176470588,-0.630303660799999
"O14802",-25.2289828651,-24.5005219074,-25.8182884954,NA,-24.4874042366,-23.9441944634,5,8,6,9,7,9,0.0659246693502013,0.319112627986348,-0.966798405966671
"O14818",-19.6586059701,-19.9625026971,-20.2439959761,-19.9485764818,-19.4392217944,-20.0311585269,19,20,18,22,20,15,0.639475704427832,0.863582908663269,-0.148715946733333
