"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"Q86Y56",11,7,14,13,10,14,19.9817026803242,20.0947383375459,0.192076060235802,0.0187508222173387,0.0579635471466291
"Q9P000",NA,NA,NA,NA,NA,1,20.4217544219413,20.5325191242259,0.103109934222075,0.699129717110216,1
"P27708",43,46,53,58,50,58,20.845985449992,20.7958740782244,0.104384485845173,0.00749312307918603,0.0262085511013545
"Q9NXG2",9,10,10,9,10,7,21.5236997314636,21.673260691978,0.237950004254801,0.0190102669889133,0.05860758713054
"Q9H0S4",8,7,5,11,7,6,20.0911940356416,20.0177658676301,2.34762711716288e-19,0.999999998974368,1
"Q96G03",13,16,14,14,11,16,21.2827069333899,21.1363567642519,8.3336838073574e-21,0.999999999872873,1
"Q5RI15",NA,1,2,5,NA,NA,21.3647306853269,21.3207223647439,-9.02287008670497e-21,0.999999999947442,1
"Q3MHD2",5,6,6,5,4,6,21.7400428790728,21.7730294271102,1.11628328069303e-19,0.999999999259151,1
"Q92979",5,6,5,8,9,9,21.0674641169847,21.1173618577911,0.168620335518494,0.161981892059474,0.345849687010479
"Q13144",4,10,7,6,7,7,21.0495951687245,21.126071290434,0.191878714878235,0.00894077176166399,0.0304055369575145
"P62826",3,5,4,6,4,5,24.9786578489954,24.8114612218491,0.0635238937557752,0.34506028602181,0.636793073294795
"Q13263",38,39,39,38,45,37,21.9124094781914,21.8974236576648,0.0931541563067031,0.00160664884067895,0.00679478572203805
"P14550",11,7,9,8,9,9,21.5334531556028,21.4611827022908,4.5153930967167e-20,0.999999999494168,1
"Q8ND24",4,2,1,4,2,3,20.0613722179505,20.0323442879361,5.93193233340627e-20,0.999999999671855,1
"O75937",NA,NA,NA,6,6,6,20.4414537041844,20.4650067733358,3.78142181954736e-20,0.999999999760652,1
"O15160",5,8,8,7,8,6,21.4227378338785,21.2542107462346,2.18778886884659e-20,0.999999999686036,1
"P41236,Q6NXS1",NA,2,NA,NA,2,2,20.8099497358043,20.5593034543942,-3.5281887233388e-20,0.999999999716666,1
"O95684",8,8,6,5,7,6,20.7902483959694,20.7427498248799,0.0355480343105205,0.524617508804278,0.89812883926986
"Q02978",8,7,8,12,7,7,21.0165099331688,20.8869357085161,0.0826061679535518,0.401528113073506,0.721790520293391
"P12270",47,48,54,52,50,56,21.5915083263844,21.560603980593,0.124886286619455,0.00113290224859172,0.00498288172338927
"Q9Y5X3",NA,8,7,NA,8,8,20.8050491865406,21.0031094276581,0.177069784776983,0.12373232294297,0.277072210646159
"P09382",10,8,9,9,9,9,24.2459127691584,24.2577590551815,0.175160690239408,0.0501888285888712,0.130495077080434
"Q7Z7C8",5,3,NA,3,3,NA,19.7175733192724,19.7646905673745,6.01004922274527e-20,0.999999999757394,1
"O60832",12,11,14,13,12,13,22.1237248122688,22.1775568634,0.0201198836538455,0.530781160603,0.906622318984672
"Q14498",9,14,15,13,12,15,22.3453554425137,22.4436663777346,0.168109992579134,0.0130505149754331,0.0423620037148438
"P62310",2,4,2,4,5,4,21.7871800120193,21.9349236284548,3.81922213358777e-20,0.999999999858861,1
"O14737",6,6,NA,6,5,5,23.4026697708743,23.4074044395791,7.45722126528829e-20,0.999999999452948,1
"P62140",3,NA,NA,3,5,3,21.3789695994617,21.3265039513222,0.0974187367556784,0.173696373179833,0.366565166588573
"Q9Y285",9,10,14,14,13,12,21.3332851238648,21.266562440883,0.103067803409173,0.0741582225149637,0.181627423867275
"Q99733",9,8,8,8,7,10,21.5100590261655,21.4653697239404,0.155074250057324,0.0292942545533545,0.0837114648254494
"Q9UIA9",16,18,18,23,13,16,20.9995497991178,21.017046022448,0.12005732240351,0.0910336542578753,0.214211157901501
"P63313",3,2,2,2,2,1,23.6612797619135,23.8473830654811,2.08214390913431e-09,0.999907053705503,1
"Q9H6Z4",13,9,8,11,8,7,20.7105089747581,20.5809575769786,0.067512426184387,0.390257212052713,0.706613229919114
"P47755",7,8,9,9,7,8,21.4852183865434,21.3978412143871,0.126949227362044,0.0416554403411221,0.112516588597975
"P05771",9,7,9,9,9,7,20.6802317798546,20.4218429943039,2.24563442384547e-20,0.99999999976278,1
"P29083",NA,6,3,NA,3,4,19.7507382383715,19.6248170557976,-2.46439569298729e-20,0.999999999874791,1
"P0DP23,P0DP24,P0DP25",4,4,5,4,5,6,22.4379568579872,22.4664763500762,2.79694720874936e-10,0.999979383354239,1
"Q99287",3,NA,NA,NA,NA,NA,20.8086308748932,20.2148506587491,-0.359030991710702,0.0170097433120477,0.0532803710391618
"P07741",7,6,5,7,7,6,23.577973165973,23.5234057286284,1.56868889297724e-10,0.999978143566186,1
"Q96C90",4,5,4,5,5,5,21.5808970159281,21.4689028045781,5.19127265544037e-11,0.999988871575269,1
"Q9NY33",9,9,18,17,8,15,20.6691843422356,20.7697198750091,0.275676577164299,0.00666461064176345,0.0236874174863485
"Q9UBF6",NA,NA,2,1,NA,1,20.1603608957688,20.1696927353852,1.1286473248113e-19,0.999999999682264,1
"Q9Y5S9",7,8,9,8,8,8,21.3308050632287,21.2048954345356,0.176989187958201,0.0249920917106551,0.0736917653904119
"O60927",2,1,1,1,1,1,20.3143616930868,20.1636530170182,6.85622469269192e-20,0.999999999722543,1
"Q9NYB0",8,10,10,8,9,9,20.283680667366,20.1522048705065,1.09969063597034e-11,0.999992677267085,1
"P25398",11,12,11,13,14,14,22.9158641951378,22.7469390452726,3.93418411170639e-22,0.999999999994426,1
"O00299",20,21,18,19,17,19,26.0174030713377,25.9710567040637,0.0779118332606182,0.123930734820519,0.277281228648876
"Q12434",4,5,6,3,4,NA,21.6019740787943,20.5551624506979,-0.716907775903361,2.46905200824582e-06,2.07510453814036e-05
"Q9Y4E8",26,24,26,29,31,30,21.4083307330915,21.3520893505686,0.0804094468227768,0.079025523392952,0.1910658325552
"Q9H2C0",1,NA,NA,2,3,1,19.838344166914,19.7796351828008,9.68283207301585e-20,0.999999999538584,1
"Q9Y5J9",4,3,NA,3,3,NA,22.4129184077789,22.3419867740024,7.38912681752408e-20,0.999999999515419,1
"Q9UN36",3,4,3,4,3,5,20.449074205167,20.2564740666401,3.25768653176895e-22,0.999999999997193,1
"Q96I24",14,14,8,12,16,16,21.6262999598769,21.523730633874,3.39962968047235e-20,0.999999999578405,1
"Q9NXV2",3,2,1,3,NA,2,20.1515396736686,19.7963352402421,-0.103045929604748,0.712601887684402,1
"Q8TAG9",NA,NA,4,5,NA,NA,19.6271661180689,19.5275207169472,6.44220555435864e-20,0.99999999960289,1
"Q9NQT5",6,6,5,5,9,6,21.133782278658,21.2469911053988,0.243133711374668,0.00736683649033476,0.0258353242498252
"Q9Y5Z4",5,3,4,NA,NA,NA,21.0063374005587,21.1581066924414,1.71205971296532e-19,0.999999999438177,1
"Q04760",9,11,9,11,10,14,22.2388457342235,22.2160745246245,2.07460861720746e-10,0.999961258846088,1
"O00148",9,9,10,8,10,10,22.2699897840242,22.1692225112859,6.93395045538758e-10,0.999931630880579,1
"Q9NRF9",2,2,3,2,2,NA,21.7218039769337,21.6389298250069,8.84778955131954e-20,0.999999999450732,1
"O60869",6,6,4,6,6,6,22.0579576051089,21.9768741803054,2.17192330636465e-19,0.999999999759885,1
"P49736",20,24,25,21,22,24,22.1329001985087,22.0706448806444,0.0876879359943519,0.121506063827836,0.27336274717959
"Q08945",12,12,12,12,12,13,22.6281464838393,22.560823556019,0.0436680216930973,0.343414546849665,0.63442141346606
"Q14151",7,10,10,12,11,10,21.1680019079957,21.0631377970047,5.76969631478207e-20,0.999999999534532,1
"Q15424",9,10,12,10,11,10,22.899267846102,22.8388644021097,2.94652945774629e-18,0.999999996486372,1
"P40429",NA,NA,3,3,3,3,24.0792397748119,23.9209862242915,-1.5534230647676e-21,0.999999999987784,1
"P30520",8,7,9,7,9,10,21.7278820369041,21.6311966409174,5.43593481217445e-10,0.999939984204503,1
"Q9H267",5,8,6,4,4,5,19.6687818146836,19.6401385862535,3.4245415355734e-17,0.999999994608333,1
"Q9H9Y4",NA,NA,NA,NA,NA,1,18.2381189504813,18.6705897427581,0.382338554023565,0.0833855622795994,0.199327941457104
"Q9BXR0",3,3,3,3,3,4,20.4251580023709,20.4379873534033,2.99472776595687e-10,0.99996545441871,1
"P63151",8,6,5,8,6,5,20.0121127526701,20.0561279756903,5.48088201031441e-20,0.999999999591312,1
"Q9BTD8",5,5,7,4,6,NA,19.3733998382748,19.2198260333875,2.31814721124102e-20,0.999999999792381,1
"O95295",1,1,2,NA,2,2,20.36740446428,20.5626334175337,0.296617649285503,0.246470346407837,0.483774819018433
"Q9NPD3",5,5,7,4,5,7,21.6411780935885,21.5725334543917,5.0851519913872e-20,0.999999999705174,1
"P57081",3,5,6,5,8,7,20.3515706084567,20.481851013644,0.0518981204868732,0.599291579172052,1
"P25205",26,29,28,26,30,33,22.5525117590701,22.5601907053422,0.175984720658745,0.00330075456362638,0.0128381596070892
"Q16643",11,11,9,10,12,13,21.851436815291,21.7802130434529,0.0365160245533553,0.428496179526284,0.75969191654005
"P42229",NA,8,6,7,7,8,21.9557952221736,21.8270029871831,2.93780840919361e-20,0.999999999865935,1
"Q8TED0",13,11,8,14,10,12,21.0486308602838,21.0865607783277,0.195565787048424,0.0368125455719761,0.101407419378335
"Q99829",2,4,5,6,5,6,20.7534222659104,20.7266202240466,1.36878011401801e-08,0.999727421883956,1
"Q6IBS0",8,7,8,9,8,8,21.1790895583713,21.0865719756542,0.146378700549602,0.0564821389889328,0.144294641618387
"Q9P289",6,7,5,7,6,6,21.4414369119,21.3984126350872,1.06771886867662e-19,0.999999999318479,1
"P28074",13,13,13,16,14,17,21.8286738344765,21.6563614786981,1.92653896406043e-19,0.999999999631362,1
"P62195",20,17,19,21,18,20,21.7856282126059,21.971466866705,0.396380782662072,2.25558410532773e-05,0.00015562056088784
"Q7Z7K0",4,2,2,4,3,3,20.7872863410021,20.6480803313755,1.07959722508242e-09,0.999938215048264,1
"P15891",17,21,21,16,15,15,22.3244022741991,21.3417428952723,-0.817817678994838,3.93195077879449e-19,2.03459178534091e-17
"O60232",4,3,5,4,6,6,20.6672581949322,20.6724213583816,0.2039563502808,0.0166924823075308,0.0523487353649124
NA,NA,NA,NA,NA,NA,NA,18.6811186486126,18.7462996751308,2.84718381456611e-21,0.999999999983933,1
"P49321",26,31,35,31,36,37,22.0421622846863,21.9858742422173,0.103495992330477,0.0161539411431259,0.0509918026621344
"Q9HAV4",20,15,20,22,23,24,21.2282002481363,21.1944613942144,0.0908295612079007,0.164042897723895,0.349684335293505
"Q96DG6",8,6,9,9,8,8,22.8069071118716,22.7181503956401,2.37474940651527e-20,0.999999999762178,1
"P62913",7,5,5,5,6,5,23.3512728336599,23.1299179226631,-2.30620539189402e-20,0.999999999888194,1
"Q12074",7,5,8,4,6,6,22.3300628223495,21.1589561059037,-1.02184755891791,3.09876044404625e-10,5.17571443787219e-09
"Q9NXV6",5,4,9,9,6,7,19.7210526886,19.7115232518934,0.0701095201206758,0.323530164524176,0.605461413798895
"P78347",21,23,16,26,23,20,21.0920513827974,21.0869862643539,0.237303872077466,0.000482374898279527,0.00236887250861675
"P40763",11,12,11,11,11,15,20.8332836442702,20.7084622522874,0.175187216438481,0.00424311346963126,0.0160308896869819
"Q86VP6",26,24,26,24,21,24,22.045769487481,22.1696157141853,0.233417047837342,0.003867218418711,0.0147373132230734
"Q6P2E9",25,18,25,17,26,22,20.9078720337566,20.9544082239055,0.258786543564275,5.36254628663134e-07,5.22205153152033e-06
"P53602",6,7,7,6,8,8,20.2192924285195,20.1852736372162,0.0172379120163583,0.687967201735727,1
"O43264",5,7,7,8,7,12,20.3783220812998,20.2441042124295,1.35034506474476e-16,0.999999981083498,1
"O76094",16,9,17,11,13,13,21.4777642445986,21.4569447373348,0.125906723730812,0.113485334079186,0.257734764746102
"Q96B36",3,3,4,3,3,3,20.5703954483313,20.3488614352298,-2.14121618543679e-20,0.999999999819024,1
"P23528",11,11,12,11,11,12,26.0617712413127,25.9769442295642,1.25016517167998e-08,0.999681718231739,1
"P60981",NA,6,6,4,5,7,21.8339239967899,22.1022942702826,1.03941401937975e-17,0.999999994622586,1
NA,NA,NA,NA,NA,NA,NA,18.9099605472787,19.3867163036723,0.402024543568155,0.137644546097066,0.302577223781888
"P78371",36,35,37,44,39,41,22.5794387283168,22.5930289720195,0.196274378527358,9.91161482806648e-05,0.000589780192362287
"P48643",27,25,28,34,32,30,21.9992997520592,21.967381346257,0.166634497158759,0.00248905477436209,0.00998425137570678
NA,NA,NA,NA,NA,NA,NA,20.0447972414123,20.0560135009924,1.57480725288025e-19,0.999999999342066,1
"Q7KZF4",37,37,36,39,43,42,22.8660406567829,22.8030882674558,0.0930368552393977,0.00302770924111645,0.0118859221954617
"Q96BD8",1,3,2,5,5,4,20.5383629000834,20.6178040813412,3.99764961781199e-05,0.995729891319221,1
"O75381",5,5,4,3,6,6,20.6724962546328,20.4423495951492,-2.59845080692654e-20,0.999999999759365,1
"Q01658",3,3,3,3,3,3,21.150593878387,21.1923088211157,0.0876216686470725,0.266280194749151,0.514243274016107
"O15294",19,14,18,15,15,17,20.4833408237247,20.4029670954142,0.00606166971967471,0.729587788505582,1
"P40016",7,8,11,3,6,NA,21.4584871681947,20.2548034417731,-0.947037428025983,1.51890305214583e-08,1.86003951490156e-07
"P56134",4,3,3,4,4,4,21.8833079817186,21.8259448002399,2.42667846896872e-20,0.999999999793455,1
"Q7Z4H3",6,7,7,5,6,6,21.9023354011415,21.7643351743919,5.3555864217119e-20,0.999999999503389,1
"Q15020",15,15,13,13,17,13,20.8608573288999,20.7492547701599,5.84243768554363e-20,0.999999999474234,1
"P29144",18,25,23,26,26,24,21.3682656623604,21.3926571961335,0.175938477329711,0.000488376493821441,0.00238892598182536
"P22234",16,20,18,21,17,17,23.6611141152479,23.6745546575054,0.12887055569191,0.0242085042723372,0.0717017315092008
"P20700",33,31,28,33,33,30,22.8291326004788,22.7373903699814,0.0658861998022922,0.189970770707246,0.393665381936727
"Q9NUU7",4,4,4,4,3,4,21.15384981235,21.0663441179876,5.15884729922903e-20,0.999999999606839,1
"Q5SSJ5",5,5,7,7,5,6,21.1830959578184,21.1516446033491,9.46847622065205e-20,0.999999999418277,1
"Q9NX55",3,5,3,4,4,5,20.2478970798926,20.4138281690096,0.167173450439917,0.100805457503597,0.233765907163439
"Q13435",25,23,24,26,28,27,22.0346289064478,21.9361261280399,0.0287055506487152,0.35058199538778,0.645403478080469
"Q8NC96",NA,1,NA,NA,NA,NA,18.6448931653107,18.3325196299644,-6.42528518304536e-20,0.999999999745676,1
"P82979",5,6,5,6,6,6,23.635281256934,23.5554902838196,2.09065679351466e-12,0.999998909386629,1
"Q8WUM4",30,30,30,34,29,35,22.1451852050139,22.0817440952955,0.118528179023796,0.00256400777107392,0.0102147666525815
"Q15637",9,12,9,11,9,10,22.7294753548603,22.6134087082214,1.01446964917622e-10,0.99997467939528,1
"P11745",6,8,6,8,5,4,21.5888942961847,20.748412529064,-0.696553155750847,4.6049512427795e-05,0.000296401617797442
"P29692",18,15,15,18,15,16,23.6828072274802,23.6308301630574,0.129525826880212,0.00615942915131127,0.0221002495313534
"Q9Y2P8",6,6,NA,NA,6,4,20.6115788074822,20.4398470926859,-1.26381112116743e-20,0.999999999900719,1
"Q6PKG0",22,15,20,18,16,20,21.2196149373851,21.1430345212742,1.12981926197178e-07,0.998936732259231,1
"Q9NW64",4,6,6,5,3,6,20.7931646308572,20.80627324606,2.58975032857858e-10,0.999967595660482,1
"P38919",14,16,19,19,19,19,21.6559414799976,21.5017399481056,0.141724530362819,0.0328441463588921,0.0921244036810883
"P06730",6,5,5,6,5,4,22.9740948727571,22.8985478916017,1.92440202134133e-11,0.999988600774725,1
"P46821",22,23,24,26,24,25,20.3754292570739,20.4782176697018,0.165574652375955,0.00452769667728324,0.0169483567820574
"Q15437",7,11,9,11,7,10,20.4755152458159,20.4349490299376,6.66886098870883e-20,0.999999999371017,1
"Q15691",12,8,10,10,9,9,22.930839533898,22.7365145555819,3.76666397557511e-20,0.999999999701715,1
"Q9UPY8",1,NA,NA,3,2,NA,19.4032218975221,19.6173334019236,0.209112211873623,0.30467593592419,0.575547455192511
"P09012",7,7,9,8,8,8,22.4041644235214,22.27589946669,2.7607521696591e-20,0.999999999823942,1
"P21796",13,13,15,13,12,13,23.518256128333,23.5711188912623,0.155032378978564,0.0104157889718306,0.034596937818327
"O15143",4,6,8,9,9,7,21.5357296391921,21.3463589636873,-3.51941988484686e-20,0.999999999673764,1
"P60660",5,4,5,5,4,5,22.5526145924132,22.6419214874737,0.167249140780122,0.0394359226878156,0.107069341536158
"Q9BV44",8,8,9,10,10,10,21.0482401978537,20.9953703341164,0.204716324739534,0.0593182870564679,0.150375561519711
"Q2VPK5",4,NA,NA,6,5,5,19.9991239514485,20.0608738022711,0.151446053509421,0.0882804969381917,0.208850050578116
"Cont_P60712,P60709",3,2,2,4,4,3,24.9159233872963,25.1378943588231,0.338037434899632,0.0803096904349782,0.193726940637941
"P63261",2,2,3,2,3,2,23.3442396691603,23.6851737994443,0.319650173276149,0.0893758531411402,0.211062976679614
"P35658",31,31,32,41,36,34,21.7451573232273,21.7104882894075,0.120457449808325,0.000567886814589032,0.00271495163713851
"P12235",NA,2,NA,2,NA,NA,21.0195470945819,21.0113941942564,1.18242663479507e-19,0.999999999432772,1
"Q92620",11,8,12,10,11,9,19.5815274477168,19.4951574095356,0.109829968618152,0.124865081753826,0.279253348091819
"Q9BTY7",11,9,10,13,9,9,20.2120132552622,20.1787963254224,0.0439252938869518,0.427085150050852,0.757444698242069
"Q9NQS7",5,3,NA,5,9,7,20.1285596804592,20.0710267598986,1.02187105271933e-19,0.999999999382888,1
"Q15365",19,17,20,21,23,23,22.2359576434214,22.1732248195591,0.0893585780142779,0.0703238075519141,0.173605732581386
"O43592",13,15,16,17,13,11,20.1569312214103,20.1647586139538,0.151653186980456,0.00781796910493899,0.0271826356626271
"P26599",20,20,20,25,21,22,21.997847443014,22.0557727163606,0.200768738873466,0.000191107828350541,0.00108226085625982
"P00498",7,7,8,5,3,6,21.3661902782544,20.4494311674996,-0.679284734755018,7.11933974574153e-06,5.46269243845971e-05
"P32381",10,9,9,4,8,10,21.0760831786901,20.1210169350293,-0.832422126257183,1.06651629656001e-07,1.14645071552825e-06
"O95373",21,23,21,19,22,19,22.0286646539933,22.0250667141248,0.129444440898498,0.0635415272996237,0.159094962565187
"P60010",16,23,24,16,16,21,21.2752139590891,20.439781248508,-0.725486604758663,4.81397302576719e-16,1.69387664199995e-14
"P49588",30,30,32,31,29,35,21.7948724486483,21.8062982227124,0.123440118765378,0.00186429427789723,0.00773564874114903
"P49723",14,9,11,8,7,6,23.2160693797682,22.3279776868739,-0.801815889567002,4.62802190701e-10,7.40203018945417e-09
"P06132",12,10,13,12,12,12,20.884467064491,20.7790037873964,5.54363477553332e-19,0.999999998495392,1
"P06748",17,21,21,17,16,24,21.8596945112646,21.6509197114497,8.18176124492817e-21,0.999999999887731,1
"Q9NVZ3",7,8,6,6,7,4,20.826760323949,20.828697023399,0.116184182752996,0.328073508858455,0.61013811830688
"Q8WW33",7,6,7,8,8,6,21.5776753666163,21.6167283203669,1.66360996938265e-19,0.999999999234047,1
"P49327",95,99,97,95,98,108,22.5271261376053,22.5201447607732,0.150716711111795,6.23864915754362e-08,7.03580988322976e-07
"P17987",33,32,36,36,37,38,23.7047554427183,23.65595405205,0.143351512564214,0.000186000587244231,0.00105446949460263
"P19623",14,15,16,15,16,14,22.2376745041959,22.2466527057877,0.205308606124406,0.0803779155035969,0.193802941081765
"P61978",25,28,26,24,26,28,25.0509570400603,25.0416718934127,0.128804936355747,0.0196930247990859,0.0603599215386617
"P51991",16,16,19,17,18,19,21.7811633244631,21.7856133437167,0.157026336129622,0.004855506733443,0.0180220566379129
"P52597",15,18,18,19,18,19,22.0783411471235,21.9730404897343,0.186769605210229,0.00543771914438286,0.0198893150686436
"P31943",17,17,20,18,21,20,22.1504324861074,22.0538848172597,0.0570932613365275,0.17933220795071,0.375750453975326
"P41252",41,40,44,46,50,44,22.1132457810197,21.9998829622112,0.114286820025872,0.0222341517113373,0.0666393257992268
"P04080",6,6,5,6,7,7,22.2061000399589,22.1126006966849,0.0141814230307797,0.755232366909143,1
"P49368",35,38,39,40,40,39,22.9691935569463,22.9983556224968,0.178457577162427,0.00673186417825295,0.023910349349138
"Q99832",31,29,29,33,30,31,22.346371080377,22.4859185765414,0.309422967335848,7.52484775208691e-07,7.11758896693812e-06
"P11940",5,6,6,6,5,6,20.7683576469717,20.6022152575337,7.56797375920715e-11,0.999985425934097,1
"P55884",24,26,29,27,29,30,22.3564184591263,22.2804372380711,0.0661591847029276,0.201992024340337,0.413222443592364
"P63220",7,7,6,5,6,6,22.2401433238319,22.3923584319196,0.246081368755538,0.035953041127663,0.0994029078427477
"Q99385",2,2,NA,1,1,NA,20.689779302351,19.7689300731287,-0.646036287869136,0.012211510465322,0.0398592159777177
"P62258",23,22,23,21,22,23,23.1659361548583,23.1144457947934,0.152548914995262,0.00366340906636634,0.0140621622198411
"Q9UGV2",NA,NA,4,5,6,7,19.6611184318711,19.9209130340963,1.87752220247062e-19,0.99999999929807,1
"Q5BKZ1",16,12,11,13,14,12,21.1001246325791,20.9913500844633,1.00568998318769e-11,0.99999448031719,1
"P15303",12,14,15,12,12,9,20.918012000538,19.8786682945149,-0.790468923525016,6.28079488988603e-13,1.5418621129683e-11
"Q15428",NA,5,8,6,5,7,21.7193859133747,21.6260672788965,-3.46489103083027e-21,0.999999999966538,1
"P33448",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q14566",30,27,32,27,31,30,22.4690661473553,22.4093960300477,0.0984666395568599,0.010354442430402,0.0344365136406187
"Q12154",8,12,9,8,5,7,21.5360023550331,20.6073133958954,-3.98165876000227e-07,0.998743410089239,1
"O00161",5,5,6,5,4,8,21.1219603155129,21.0406623997374,2.91176032657906e-20,0.999999999796697,1
"O43399",8,8,10,8,10,9,21.8642790048646,21.7147728745512,5.15425057329319e-20,0.999999999528835,1
"Q9H6V9",5,1,2,5,5,4,19.4761275632554,19.8817133164804,0.231771267773112,0.158584973074179,0.339834140432609
"P32598",6,5,6,4,4,3,22.098181648694,20.9561807564369,-0.95657826986624,1.11404371266215e-09,1.67519165681789e-08
"O60220",2,NA,6,NA,NA,5,20.4989838737853,20.4138738105979,-2.70763648148999e-20,0.999999999924862,1
"Q12016",1,1,NA,NA,NA,NA,20.4634894543181,19.3925859996632,-0.965301863289531,0.000482508438780741,0.00236887250861675
"O43504",4,6,4,4,5,5,21.9844343970705,22.1364147005723,0.0155774185636459,0.724011322880077,1
"Q9NQC3",7,8,8,10,7,11,20.8410857932092,20.6809025846309,2.8079170962838e-20,0.999999999738121,1
"O76021",8,6,10,8,9,8,22.4888687939612,22.5182816559128,0.207424849145599,0.0434491488820847,0.11652673160551
"P53384",4,NA,4,6,6,5,20.2840583581549,20.1901597646431,5.89806379995753e-10,0.999949813996087,1
"O75832",6,5,5,6,6,6,20.8552784138229,20.74130623414,1.90097245620137e-20,0.999999999782796,1
"Q9Y5L4",7,5,4,6,6,8,22.0239429366591,21.8306895263674,2.82004175876174e-20,0.999999999754593,1
"Q5JS54",NA,2,3,3,3,2,20.5362550956019,20.6203726256446,0.138906597453343,0.348839647415774,0.642868596040662
"Q15050",6,5,7,8,8,6,21.555479917025,21.5463213489352,0.142580829432179,0.173344170890099,0.366110657846316
"A0AVT1",20,23,23,22,22,26,20.6838069587815,20.6968988475921,0.108709805240359,0.0554683031512622,0.142117332054545
