"protein_name","n_indistinguishable_proteins","Normalized.spectral.abundance.factor_A_1","Normalized.spectral.abundance.factor_A_2","Normalized.spectral.abundance.factor_A_3","Normalized.spectral.abundance.factor_B_1","Normalized.spectral.abundance.factor_B_2","Normalized.spectral.abundance.factor_B_3","Normalized.spectral.index_A_1","Normalized.spectral.index_A_2","Normalized.spectral.index_A_3","Normalized.spectral.index_B_1","Normalized.spectral.index_B_2","Normalized.spectral.index_B_3","number.of.quantified.peptides_A_1","number.of.quantified.peptides_A_2","number.of.quantified.peptides_A_3","number.of.quantified.peptides_B_1","number.of.quantified.peptides_B_2","number.of.quantified.peptides_B_3","probability_A_1","probability_A_2","probability_A_3","probability_B_1","probability_B_2","probability_B_3","Spectral.index_A_1","Spectral.index_A_2","Spectral.index_A_3","Spectral.index_B_1","Spectral.index_B_2","Spectral.index_B_3","total_number_distinct_peptides_A_1","total_number_distinct_peptides_A_2","total_number_distinct_peptides_A_3","total_number_distinct_peptides_B_1","total_number_distinct_peptides_B_2","total_number_distinct_peptides_B_3","total_number_peptides_A_1","total_number_peptides_A_2","total_number_peptides_A_3","total_number_peptides_B_1","total_number_peptides_B_2","total_number_peptides_B_3"
"A0A0U1RR11",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9819,0.7754,1,NA,0.9976,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0
"A0A1B0GTU1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.9997,0.9946,0.7194,1,NA,NA,NA,NA,NA,NA,2,1,1,0,0,1,2,1,1,0,0,1
"A0A1B0GU71",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"A0A1B0GUS4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,6,4,7,5,6,6,6,4,7,5,6,6
"A0A1B0GX56",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"A0A2R8Y4L2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,67,64,68,61,73,75,67,64,68,61,73,75
"A0A2R8Y619",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,29,0,36,25,32,0,29,0,36,25,32
"A0A3B3IRV3",2,-12.6436731232,NA,NA,-11.7306851669,-11.617125528,-12.7935809126,-20.8392081065,NA,NA,-20.1830420865,-20.1184470826,-21.190110683,1,NA,NA,2,2,1,1,1,1,1,0.9999,1,245.9731886547,NA,NA,414.5500050675,417.945351007,229.9384617604,4,4,5,5,3,4,4,4,5,5,3,4
"A0A494C1R9",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,1,NA
"A0AVI2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA
"A0AVT1",1,-12.1827462255,-12.1881613278,-11.3182061758,-12.0998332677,-11.8342705353,-11.3326540148,-20.9068554823,-20.8119901068,-20.1116191875,-20.6160836168,-20.5783609154,-20.0256844157,8,8,16,9,10,16,1,1,1,1,1,1,1364.1466060217,1571.2573947728,2876.730218158,1784.6604518173,1766.073624517,2995.5461916055,20,22,31,30,28,33,20,22,31,30,28,33
"A0FGR8",1,NA,NA,-15.1263445326,-15.0778966259,-13.964336987,-14.1407923716,NA,NA,-24.3310497877,-24.3675980551,-23.1676265923,-23.2349098881,NA,NA,1,1,2,2,NA,0.8932,0.9491,1,0.9985,1,NA,NA,135.1972476915,116.006177064,256.9248191543,283.5611840709,NA,1,2,5,3,2,NA,1,2,5,3,2
"A0MZ66",1,NA,NA,-12.9958208808,-13.5323354748,NA,-14.5952312205,NA,NA,-22.0302597792,-22.3741944064,NA,-22.7134099986,NA,NA,3,2,NA,1,0.974,0.9999,1,1,1,1,NA,NA,456.398686429,316.4645994811,NA,278.8711706082,4,7,10,6,6,7,4,7,10,6,6,7
"A1A5D9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2449,0.492,0.3308,0.5466,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,1,1,2,2,NA
"A1L020",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3348,NA,0.5142,0.2579,0.3359,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,1,1,NA
"A1L157",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA
"A2A368",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9998,1,1,0.9948,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,1,1,1,1,1
"A2A3K4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"A2A3N6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,4,2,4,3,3,2,4,2,4,3,3
"A2PYH4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"A2RRP1",1,-16.3551071836,-16.360522286,NA,-15.4421192273,-16.3285595884,-16.505014973,-25.6690627262,-25.7479914606,NA,-24.2267520841,-25.4119904797,-25.4450359235,1,1,NA,2,1,1,1,1,0.9982,1,1,1,113.2947107606,115.6854346501,NA,329.2698007436,139.5909079183,157.7627522325,5,4,4,4,5,6,5,4,4,4,5,6
"A2RTX5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,5,3,NA,4,3,4,5,3,NA,4,3,4
"A2RUB6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"A2RUS2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA
"A3KN83",1,-15.5878067788,-15.5932218811,-14.7232667291,-15.6748188224,-13.9762966828,-14.7377145681,-24.6458892069,-24.6003175922,-23.7151075629,-24.8619401385,-22.9104243822,-23.5531213835,1,1,2,1,3,2,1,1,1,1,1,1,135.2804743836,150.585274408,313.3837130857,124.5548967412,464.4330590566,343.9909859536,5,6,7,6,8,9,5,6,7,6,8,9
"A4D1E9",1,-13.7400169923,NA,-13.8754769427,-13.827029036,-13.7134693971,NA,-22.2337915971,NA,-22.6676772768,-22.573064784,-22.7444502521,NA,1,NA,1,1,1,NA,0.9993,0.9693,1,1,0.9949,0.9996,200.0362475807,NA,179.9468319163,169.098903966,144.7591972756,NA,4,2,4,6,3,4,4,2,4,6,3,4
"A4D1F6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
"A4D1P6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"A4QPH2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"A5A3E0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,73,75,97,86,86,103,73,75,97,86,86,103
"A5D8V6",1,NA,NA,NA,-13.7025144942,NA,NA,NA,NA,NA,-23.3571330157,NA,NA,NA,NA,NA,1,NA,NA,0.7976,NA,NA,0.9853,NA,NA,NA,NA,NA,90.0803623167,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA
"A5D8V7",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"A5YKK6",1,-14.0362182621,-14.0416333644,-13.3236813059,-13.8601958999,-14.0096706668,-13.1861260514,-23.1392962169,-23.1365723756,-22.3511812706,-22.9875227224,-22.9635701224,-22.1384446068,5,5,9,6,5,10,1,1,1,1,1,1,655.6319641457,708.4497327553,1375.7973471061,778.9543242106,763.5192373785,1564.236898502,18,22,34,25,28,35,18,22,34,25,28,35
"A5Z2X5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"A6NC42",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"A6NC78",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"A6NCE7",2,-12.1096115208,-12.1150266232,-12.2450714712,-12.1966235645,-12.0830639256,NA,-20.3897463369,-20.7586755779,-20.7685788337,-20.3523184615,-20.3957055435,NA,1,1,1,1,1,NA,0.9905,0.9652,0.9979,0.9629,0.9932,0.3602,231.9640505675,193.7273243063,216.7848104743,254.5957188425,238.1704205893,NA,2,2,3,2,3,1,2,2,3,2,3,1
"A6NDG6",1,-11.4702567233,-11.8907093249,-12.0207541729,-11.2353406721,-11.4437091281,-12.0352020119,-20.171596017,-20.687100288,-20.8101270571,-19.6964524232,-20.1987862426,-20.7742515839,4,3,3,5,4,3,1,1,1,1,1,1,692.9238234118,522.7959431178,540.8995336236,1030.1049320913,701.0701227079,544.0316196387,10,10,6,9,11,9,10,10,6,9,11,9
"A6NDU8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2823,0.2286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA
"A6NDY0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999,0.9999,NA,0.9999,0.9998,1,NA,NA,NA,NA,NA,NA,0,1,NA,1,1,1,0,1,NA,1,1,1
"A6NEC2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,10,10,5,12,9,8,10,10,5,12,9,8
"A6NED2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"A6NF36",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"A6NGH7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA
"A6NGR9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
"A6NH57",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9998,0.9998,NA,0.9996,0.9997,0.9998,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,0,0
"A6NHC0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"A6NHG4",1,NA,-12.215331529,NA,NA,NA,NA,NA,-20.6846356572,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0.9945,0.999,1,0.9999,0.9927,NA,218.6119522254,NA,NA,NA,NA,3,4,5,2,3,3,3,4,5,2,3,3
"A6NHL2",1,-12.9447271361,-12.9501422384,-13.0801870865,-14.0317391797,-12.9181795409,-13.0946349254,-21.5444516939,-21.5383657729,-21.7708286483,-22.4470783254,-21.5942382711,-21.5302995041,2,2,2,1,2,2,1,1,1,1,1,1,371.7445249087,402.6294982473,386.1414627842,212.6622426503,370.2698648058,447.569894385,24,22,22,23,22,22,24,22,22,23,22,22
"A6NHQ2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,6,5,6,5,5,7,6,5,6,5,5,7
"A6NHR9",1,-13.1132137575,-13.3112739378,-12.7892420892,-12.8782977063,-12.5017036616,-12.3562309512,-22.0018068057,-22.0071240413,-21.5584634321,-21.7459613024,-21.2646500931,-21.092155563,8,7,11,10,12,15,1,1,1,1,1,1,1217.1566937317,1307.9008096068,2011.1953480931,1554.2724966854,2091.7694387539,2726.0565023901,27,31,34,32,32,41,27,31,34,32,32,41
"A6NI47",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,0
"A6NIZ1",1,NA,NA,NA,-12.7544012359,-12.640841597,NA,NA,NA,NA,-21.7572684485,-21.2878164062,NA,NA,NA,NA,1,1,NA,0.9999,1,0.9513,0.9339,0.9999,1,NA,NA,NA,141.5229321723,188.9050223428,NA,4,3,1,1,3,4,4,3,1,1,3,4
"A6NJ46",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"A6NJ78",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7517,NA,NA,0.3203,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA
"A6NKB5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9203,NA,0.3771,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,2,NA
"A6NKT7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,18,21,19,15,19,22,18,21,19,15,19,22
"A6NMK7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
"A6NMY6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,22,29,26,35,30,37,22,29,26,35,30,37
"A6NMZ7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4618,NA,0.3669,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,2,NA,NA
"A6NN14",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"A6NNZ2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,110,93,114,108,114,120,110,93,114,108,114,120
"A6QL64",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA
"A8K0R7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5774,0.2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1
"A8K8P3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"A8MPS7",1,NA,NA,NA,NA,NA,-13.6291253802,NA,NA,NA,NA,NA,-22.2898665998,NA,NA,NA,NA,NA,1,NA,NA,NA,0.4638,0.2665,0.9932,NA,NA,NA,NA,NA,191.459116406,NA,NA,NA,1,1,3,NA,NA,NA,1,1,3
"A8MTJ3",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"A8MVJ9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,NA,0,NA,1,0,NA
"A8MWD9",2,-10.3917547496,-11.3971698519,-9.9422521993,-11.4787667933,-11.3652071544,-10.5416625389,-19.2120444629,-20.3581042088,-18.8239947329,-20.0377233862,-19.912617503,-19.3762659354,2,1,3,1,1,2,1,1,1,1,1,1,319.0419955822,155.4814051883,507.3533961416,192.5117446816,202.4022768497,339.4441399961,8,8,11,7,8,12,8,8,11,7,8,12
"A8MWX3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"A8MXV4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.7557,0.9587,0.5518,0.6689,0.9955,NA,NA,NA,NA,NA,NA,0,2,3,1,1,4,0,2,3,1,1,4
"A8TX70",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0,0,NA
"A9QM74",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,1,NA,1,0,1,NA,1,NA
"A9Z1Z3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,0,0,0
"B0I1T2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9773,NA,NA,0.9979,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"B1AJZ9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"B2RC85",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"B2RPK0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,13,10,12,15,18,15,13,10,12,15,18,15
