"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"P05787,CON__P05787,Cont_P05787,CON__H-INV:HIT000292931,CON__Q9H552,Cont_Q8BGZ7,CON__Q8BGZ7,CON__Q6ISB0,CON__Q5XQN5,Cont_Q9NSB2,CON__Q9NSB2,CON__REFSEQ:XP_092267,Q9NSB2,CON__Q922U2,O95678,CON__O95678,Cont_Q922U2,Cont_O95678,Cont_Q9DCV7,CON__Q9DCV7,Cont_P08729,CON__Q3KNV1,P08729,CON__P08729,Cont_P35908,Cont_Q01546,Cont_Q7Z794,CON__P13647,CON__Q7Z794,Q7Z794,Q01546,Cont_P13647,P13647,CON__Q32MB2,CON__P19013,CON__Q3TTY5,CON__Q01546,CON__P35908,P35908,P12035,CON__Q6IFZ6,CON__P12035,CON__P35908v2,Cont_P12035,Q86Y46,Cont_Q6IFZ6,CON__Q9R0H5,CON__Q6IME9,CON__Q14CN4-1,Cont_Q14CN4,Q14CN4,P19013,Cont_Q6IME9,Cont_P19013,Cont_Q6NXH9,Q3SY84,CON__Q3SY84,Cont_Q3SY84,Cont_Q9R0H5,Cont_Q86Y46,Cont_P07744,CON__P07744,Cont_Q7RTS7,CON__Q7RTS7,Q7RTS7,Cont_Q8VED5,CON__Q8VED5,CON__Q5XKE5,Q5XKE5,Cont_Q5XKE5,CON__Q6NXH9,Cont_Q3TTY5",18,19,18,18,18,19,0.345144166805789,0.503050379861984,31.1307282859509,31.2114759630008,31.1602538624848,31.0735351024112,31.4744636311545,31.3981826328853
"CON__P08727,Cont_P08727,P08727,Cont_P19001,CON__P19001,CON__A2A4G1,CON__ENSEMBL:ENSP00000377550,CON__P13646-1,P13646,Cont_P13646,Q8N1A0,P19012,CON__P19012,CON__Q9Z2K1,CON__Q61782,Cont_Q9Z2K1,CON__P02533,Cont_P19012,Cont_P02533,CON__P08779,Cont_P08779,P02533,CON__Q9QWL7,CON__Q6IFX2,P08779,Cont_Q6IFX2,Cont_Q9QWL7,CON__Q04695,Q04695,Cont_Q9D312,CON__Q9D312,P35900,CON__P35900,Cont_P35900,CON__Q8N1A0,Cont_Q8N1A0,Cont_Q04695,CON__Q3ZAW8",10,12,10,12,10,10,0.777606181860542,0.853776029277447,28.3872137803473,28.6994147896881,28.2897246419326,28.5077148637716,28.435707587672,28.298108740697
"Cont_P08730,CON__P08730-1",1,1,1,0,0,1,0.280929410404821,0.441474326650635,26.7253015186064,24.7157938028708,24.3964600281136,NA,NA,26.6373574186635
"CON__P12763,Cont_P12763,P02765",9,8,9,10,9,9,0.089065965720774,0.216934829481138,31.1411131216943,31.0657025310165,31.1372757603808,31.2301352892317,31.3795058612075,31.4212263848362
"P13645,Cont_P13645,CON__P13645",4,3,5,4,4,5,0.337176145597227,0.496144946382588,24.9476458793276,23.8765970444477,25.9032002481153,25.157496409883,25.3026305258975,25.9611121108657
"CON__P15497,Cont_P15497,P02647",10,10,10,10,10,10,0.0518303364392374,0.151086258681023,29.5111818326595,29.1748081809735,29.5199661515245,29.8356670413345,29.6974410660521,29.7132756377893
"Cont_P17690,CON__P17690",1,2,2,1,2,2,0.876006519452909,0.918277054628716,23.4044115600272,23.6848255886943,23.6993863325127,22.7068458328932,24.0651185870076,24.2227650057384
"Cont_P34955,CON__P34955",12,10,11,11,13,10,0.221994621658821,0.382307725987957,29.7941625710319,29.5350762696336,29.6154384237055,29.8831967988919,30.1628815780471,29.6208813351761
"CON__P41361,Cont_P41361,P01008",2,3,2,2,3,2,0.13784487467946,0.287069650584747,27.0836121387759,27.0953571170669,26.7472982108746,27.1856539912816,27.3579879015962,27.1458295597875
"CON__Q03247,Cont_Q03247,P02649",4,3,4,4,4,4,0.0510253838636803,0.149408088052702,25.7596001935082,25.2494820143616,25.5244769265621,25.7987125789125,25.9439252030219,26.0229118611313
"Cont_Q05B55,CON__Q05B55",4,5,3,3,5,4,0.371485951788874,0.524843267903637,26.1859626025489,26.4223426717972,25.7389769939903,26.4750942150924,26.317913825701,26.1604809841263
"CON__Q29443,Cont_Q29443,CON__Q0IIK2,P02788,Cont_Q2HJF0,CON__Q2HJF0",22,24,23,23,24,23,0.169017832859948,0.324087864369796,29.8783281319069,29.9066712370245,29.9237357681255,30.0420391733389,30.1282529866733,30.0246847246372
"CON__Q1RMK2,Cont_G5E513,Cont_A0A3Q1M032",9,11,12,10,11,12,0.162276046527484,0.316463264233145,27.4481712776717,27.6309836356748,27.9623671745024,27.7609202776649,28.0376509780739,28.1318644549962
"Cont_Q1RMN8,CON__Q1RMN8",3,3,3,3,3,3,0.096188525422012,0.229504211807123,27.7711801691352,28.0742376509928,27.8800381053865,27.7385420209154,29.5487567490318,29.4592096659354
"Cont_Q28065,CON__Q28065",4,2,3,4,4,4,0.0968868673179522,0.229837076425045,25.4556141088452,25.2748049937461,25.4362100705029,25.3679435918268,26.0065306280336,26.1958671046259
"Cont_Q28085,CON__Q28085",2,2,3,2,2,2,0.176071823157112,0.333018100017722,23.9413633394785,23.4649896858224,24.3639975362198,24.1511184973255,24.4446650399788,24.3246953873724
"CON__Q28107,Cont_Q28107,P12259",9,8,3,8,8,6,0.258856717902082,0.418611962803721,26.7755659088469,26.3277952778914,25.432561350726,26.8560427473882,26.8117257695162,26.2835422455589
"CON__Q28194,Cont_Q28178,P07996",2,2,1,2,3,2,0.0103702515111867,0.0463814582294448,23.9304422062012,23.4276812026554,23.53951083999,24.2526353973162,24.7514316384373,24.2670343137823
"Cont_Q2KJF1,CON__Q2KJF1",3,3,2,2,3,3,0.542931839922678,0.675076329715797,25.976247481834,25.7395321221731,23.5751202552017,25.4800291680767,25.4055343295307,25.6623820311753
"Cont_Q2UVX4,CON__Q2UVX4,P01024",18,18,18,18,19,17,0.0698856697912327,0.184181643898096,28.205062894554,28.083114994997,28.1511571335101,28.2902633980564,28.5254453289755,28.4087489135824
"CON__Q3MHN2,Cont_Q3MHN2,P02748",1,1,1,1,1,2,0.652690193118831,0.758617238473403,24.6497396333422,24.3250698336955,23.7310412268604,22.898836932342,24.3363537371522,24.7245630020721
"Cont_P02081,CON__Q3SX09,P68871,P02042",8,9,9,9,9,9,0.29779000637199,0.458030346955165,30.451689750959,30.5281596137708,30.5152051663627,30.4259788589667,30.79003306511,30.7605487955008
"Cont_Q3SX14,CON__Q3SX14,P06396",8,7,7,7,7,7,0.352264169182926,0.507500453186009,27.1009648373649,26.779296099387,26.9919382822068,27.0015512841478,27.128880001311,27.1421433360231
"CON__Q3T052,Cont_Q3T052,Q14624",11,11,12,14,12,11,0.362416974073099,0.51616140539492,29.095911016286,28.6844922952743,28.4912256879452,29.027156950867,28.915222800616,28.8716246301895
"Cont_Q3ZBD7,CON__Q3ZBD7",1,1,1,1,1,1,0.348735743261363,0.505670959576221,27.1254453545439,26.4116893011009,26.7951640223737,27.3391832898659,26.7515376883209,26.9890633174109
"Cont_Q3ZBS7,CON__Q3ZBS7,P04004",4,3,4,3,3,4,0.447337141002182,0.596188149942143,26.4317538478801,25.9272897280373,26.5895425183358,26.3736857660625,26.3868126174781,26.713601668814
"CON__Q95121,Cont_Q95121,P36955",6,6,4,7,5,5,0.0569694992957265,0.161188185592297,25.9408847459329,25.9020671785979,25.7044087938854,26.5185788216304,26.0842270891693,26.1172559897618
"CON__Q9TRI1",1,2,2,1,2,1,0.610470959994325,0.725839423255597,22.5033429633951,24.205654966163,23.9791239360448,22.2779664733323,24.2601143929414,23.0800626962788
"Cont_Q9TTE1,CON__Q9TTE1",2,3,2,2,2,2,0.822917348333842,0.882913674294212,24.0737199620971,25.8948130571877,23.7349388834106,24.4534018875819,24.2664047300942,24.5807749377204
"C9JL84",1,0,1,0,0,0,NA,NA,23.7566548372587,NA,24.848225381349,NA,NA,NA
"O15355",1,1,0,1,0,0,0.119749774728532,0.263149553136591,26.1985977597696,24.4045896151286,NA,27.4505682744132,NA,NA
"O60343",2,2,1,1,2,1,0.162582118046109,0.316559804748761,25.4791208617298,25.1183262740647,23.8021159853116,23.5649314711036,24.8457298702845,22.8348491546863
"O75592",2,2,2,2,2,2,0.0337075154008831,0.11062855054592,26.5253684942892,26.628655696793,26.6070155369457,26.4282767220929,26.02329195784,26.0929823480973
"O94868",1,1,1,1,0,0,0.471590036910746,0.618579070994806,26.137784363317,29.24884865092,28.1865725363793,26.781990934266,NA,NA
"P0A9M0,Q86WA8",2,1,1,2,1,1,0.623011746230356,0.736506759860815,25.2719091219412,24.6195226368477,24.7559766805361,25.5289953111724,24.8361612301202,24.7261397181207
"P13533,P12883",1,1,1,1,2,1,0.0456064493006199,0.137560076491408,23.7544777028336,23.5829437324199,22.8137924637442,24.1911760643209,23.9304987396817,25.205489537438
"P13535,Q9Y623,Q9UKX2",2,2,2,2,0,2,0.531196521041904,0.665016061743459,26.8468092745153,26.2456542855439,25.9450209736352,26.8005923498109,NA,25.1012455996444
"P33892",0,1,0,1,1,0,0.00585038509317834,0.0296879385929695,NA,26.9936398629209,NA,29.5922015973603,29.1790797139635,NA
"P36022",1,1,1,1,2,1,0.00422967029319585,0.023080167948872,30.6206444026729,30.7505291604207,29.4524141493598,28.2721401511774,28.723992274051,28.6541166707261
"P38959",0,0,1,1,0,1,0.948102888656141,0.965887757492031,NA,NA,25.6825547551879,24.4676690897382,NA,26.7265828592094
"P40885,P54862,P40441",2,1,1,2,1,1,0.405975433688648,0.556007183574786,26.6052082317823,25.4994772191794,26.5740327510363,26.1509371517102,25.9064798047176,25.7185359140682
"P46674",2,1,1,1,1,1,0.366006597825379,0.519294856710133,25.1028800940357,21.966856316872,25.7559979917567,25.5936700912942,25.4089193138489,24.7736582846753
"P51160",1,1,1,2,1,0,0.398790523038309,0.550896335777381,22.9522424147956,23.716918115215,23.5049290064668,24.0546686791056,23.3510498115743,NA
"P75905",1,0,2,0,0,0,NA,NA,22.5704335858154,NA,24.0061815913041,NA,NA,NA
"Q02785",1,2,0,2,0,0,0.152728232179161,0.304655091911382,23.6976418728513,24.3030789174635,NA,24.7512332232792,NA,NA
"Q13315",1,1,1,1,0,1,0.0340635125819131,0.111636310631241,23.9455882199011,23.4563989940249,23.1253314787581,22.6740811375876,NA,22.7307221099624
"Q14126",2,2,1,1,1,0,0.876867783779424,0.918968718033938,27.041469759129,27.693430031909,23.3764161562823,26.2187765933002,26.3081824954106,NA
"Q14683",1,1,1,1,2,1,0.0619825908908595,0.1704427845956,25.5116780362775,25.6100893605824,26.33789554971,24.9963120757831,25.3159687060308,25.3619682728212
"Q5T4T6",1,0,1,0,0,0,NA,NA,21.8813190787398,NA,NA,NA,NA,NA
"Q5VZ89",1,0,0,0,0,0,NA,NA,22.5537139436952,NA,NA,NA,NA,NA
"Q8IVF5",2,1,2,2,2,2,0.711855238371942,0.804485893561527,27.1573445575776,27.2188259862076,28.2200583020973,27.8440341827477,27.5299126338136,27.5884207293877
"Q8N8E3",0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,25.2253107029214
"Q8NDA2",1,2,1,1,1,1,0.524861822699074,0.660894185799939,24.2209911831653,24.668089121402,24.333132340025,24.6743335114255,22.8080011816219,24.6498461054666
"Q8NDM7",0,1,1,0,0,0,NA,NA,NA,29.7656160371627,24.370637812108,NA,NA,NA
"Q8NF91",2,2,2,1,1,2,0.23354965920467,0.394483922458364,24.7613416997997,24.6246116828679,24.5869571284623,22.8262634210025,24.1447010667126,24.9201999088261
"Q8TDJ6",1,1,2,1,1,2,0.737114887522626,0.822783977704482,23.2898463599108,23.9652525320925,26.3215727044235,22.8897586474528,23.6418007680739,25.9025287309232
"Q8WXH0",0,2,2,2,2,3,0.853202359659967,0.901623619358065,NA,25.0085360705185,24.4994403756247,24.4128376307066,24.6069237095407,25.4678938644271
"Q8WZ42",2,2,2,2,2,2,0.248234093538381,0.408824525170431,24.2960992535215,24.3274861620725,24.9804743470245,23.8861243514926,24.5887907776428,24.0723665736257
"Q969H0",0,1,0,0,1,1,0.244218843519642,0.404653336211976,NA,23.663991082378,NA,NA,24.5629879583761,23.9298959954983
"Q9BXF3",1,2,2,2,2,0,0.997351829653669,0.998884532794739,24.9578903839474,27.4715991427214,27.7781084097551,28.0075103799432,25.4558655649562,NA
"Q9BXX3",2,2,2,1,1,1,0.838970454542623,0.892996550075466,24.5992346605424,24.653365946372,24.9972306596007,24.3701653118366,25.3903585212664,24.2787657989847
"Q9H4L7",1,2,0,1,2,0,0.285046690233877,0.445652118204179,22.9247874429996,24.0627784376722,NA,24.6224361069705,23.7323987681985,NA
"Q9NYH9",2,1,2,0,1,1,0.241613569480121,0.402277775170917,23.8376914093496,21.1615715732863,23.8755137354468,NA,25.0108658276615,23.62507662699
"Q9NZJ4",2,0,0,0,0,0,NA,NA,23.3406399436649,NA,NA,NA,NA,NA
"Q9UPN3,O94854",2,2,2,0,2,2,0.250336146271655,0.410951241198738,24.1698018549459,23.7886511849324,24.3143838268161,NA,24.4324699975442,24.2892031874751
"Q9Y483",0,1,1,0,0,2,0.117306741687991,0.259154167351388,NA,25.3776857597861,26.1475145051787,NA,NA,24.7330176616021
"Q9Y4C0,Q9HDB5",2,2,1,1,1,0,0.504908614750669,0.646384239615391,22.872174330837,26.5309110787681,22.3143027840127,27.7023390916534,22.9381224040333,NA
"Q9NZJ9,A0A024RBG1,Q96G61,Q8NFP7",3,3,3,3,3,2,0.242628837021291,0.403232333147952,25.5347298802393,25.0298270819482,24.3861424754782,25.5565701744429,25.4162008290477,25.1819494912971
"P0DPI2,A0A0B4J2D5",8,8,7,8,8,8,0.164126462200377,0.317938395141452,28.2062162118719,28.2041885234405,27.8310610711306,28.4932591035335,28.3254341239807,28.1923779893928
"A0A2R8Y4L2",1,1,1,1,1,1,0.771818870698045,0.848910734439676,26.3327546180822,26.4222048193256,24.4515031462638,26.546868548394,26.04659345929,25.1939633785057
"A0AVT1",24,22,21,25,20,22,0.476643573024582,0.623229572983131,29.0508379416631,28.7409310336107,28.6939848556298,29.2996493988638,28.7890186088756,28.8362163559054
"A0FGR8",2,1,1,2,2,3,0.00518326309838156,0.0272106401091101,22.7000969565762,21.5576841553524,21.7135195301273,23.4008544015244,23.2639768503489,23.8114225256184
"A0MZ66",4,5,4,5,5,6,0.00417656312423829,0.0228459004469725,24.8432013907419,25.3604649816072,25.079097719238,25.7678549001035,25.8384452407942,25.9548218280718
"A0PJW8",1,0,2,1,1,2,0.547337864081933,0.678488947818582,21.3861132311764,NA,22.2893816017956,21.7086951102516,22.05246380172,22.4735781590764
"A2A3N6",2,2,0,2,2,2,0.14647062793626,0.295823361859605,23.6712801019707,24.1374968983751,NA,24.6228284457413,24.4719901890483,24.0020353521459
"A2RRP1",6,5,6,6,6,5,0.579703347495061,0.704364335296701,25.5408596610289,25.0837077854557,25.3971160968111,25.3990460107691,25.1888238979125,25.1461056472519
"A3KN83,Q9Y2G9",4,5,5,4,5,6,0.415674493408662,0.566569178049093,25.3685766108945,25.4563720677744,25.4086848306513,24.8913986971001,25.1683617133273,25.6307961237409
"A4D1E9",4,3,2,4,5,4,0.0679404641224166,0.180200231003759,25.1842610100406,24.4453711455023,22.7693154214345,25.1376369706296,25.7450239015161,25.7379104799691
"A5YKK6",12,13,16,14,14,17,0.0316490366891604,0.105620267283065,27.0628105833292,27.2141358419874,27.4102970757714,27.7542207891447,27.5138366339149,27.6230152184217
"A6NDG6",7,7,7,6,7,7,0.177874543815944,0.333779641401915,26.9302645609635,26.946491851668,26.9997885982624,26.9884174150567,27.2827246498455,27.1736315250261
"A6NDU8",3,2,3,4,4,2,0.209841573290684,0.369898476565727,24.6517112018634,24.5889494323947,25.1927575983049,25.2208082236316,25.6834658752356,24.7614561112222
"A6NDY0",1,1,0,1,1,1,0.129575424482736,0.275911410292128,22.9268851386791,21.8262434603277,NA,23.3075212966828,22.9914772411008,22.8768874912236
"A6NFI3",2,2,1,1,0,0,0.604736558580942,0.722152379104151,23.2175180313759,23.1656352826711,21.0459234074185,23.0741180125259,NA,NA
"P30046,A6NHG4",3,3,3,3,3,3,0.0185302719816743,0.0715891067007749,27.347426025243,27.4804973176419,27.4485787901244,27.8233447134728,27.7453738726289,27.7477193885232
"A6NHQ2",1,1,1,1,1,1,0.0281609747303067,0.0968856460932574,26.9049175364772,26.842471474611,27.0414750706164,27.5858431538094,27.2824101202034,27.2054188880885
"A6NHR9",21,24,29,22,22,24,0.763237674065104,0.843160772188764,28.7291651555271,28.6618734736865,28.9159123971037,28.827251090124,28.7403444003527,28.8539586987563
"A6NKT7,Q7Z3J3",1,1,1,1,1,1,0.478422058439347,0.624838657486488,24.7680028003955,24.8564146278793,25.1043261485656,24.8843801227283,25.0166259037705,25.1588948334631
"A8MTA8",0,1,1,0,2,2,0.0133124945522662,0.0560254613906257,NA,23.8494598956545,23.3430971195283,NA,24.6252946074261,24.6812761515872
"P62308,A8MWD9",3,3,3,3,3,3,0.202487694732027,0.361687103902704,29.1473356234003,29.0477422881678,29.6163484469579,29.6203500163309,29.7966739386698,29.3115248471441
"P0DMR1,O60812,B7ZW38,B2RXH8",0,1,1,1,1,1,0.515238380775152,0.653647801194729,NA,21.8473915623824,23.2016728403838,22.1009327401573,23.4402054846188,23.3100512662979
"C9JLW8",2,2,2,2,2,2,0.630062129062055,0.741115816706887,24.2604477705865,24.5276855761531,24.3119505601675,24.5999609952308,24.5269772708341,24.2112006754738
"Cont_P00330,P00330,P00331",12,13,13,13,13,13,0.00578219448949776,0.029498088045975,34.9920422782771,34.3856988266814,34.807276889913,33.8189596526157,33.9613812012864,34.0182577572336
"P00722,Cont_P00722",2,3,3,4,5,5,0.00084517856184771,0.00735325327868639,22.9977104973535,24.3840696904388,24.1475957329766,26.0750979662862,26.8489053657215,26.9884475704784
"Cont_P01017",3,3,2,2,2,2,0.0909369090096248,0.220549802712338,24.1351664605124,23.9847995070183,23.9099390896814,22.7543401631915,23.7745171754272,23.6981948632805
"P05783,Cont_P05783,Cont_P05784,CON__P05784,CON__H-INV:HIT000015463,CON__Q92764,Q92764,Cont_Q92764,Cont_Q497I4,CON__Q497I4",11,11,12,12,11,13,0.0763115055931397,0.194596472060315,30.0494073771076,29.9118351416103,30.1999114272412,30.3578885632611,30.2212055948166,30.4329181552776
"Cont_P32503",11,12,12,10,10,10,0.000292853128919442,0.00417498741915779,30.0672315555993,29.992735053709,29.8731774502794,28.9201277400919,28.5690351248956,28.9496168904671
"Cont_P33433",2,3,3,3,3,2,0.166222648472515,0.320738397113253,25.4760990733161,25.3701590843977,25.7225600058001,25.596269662622,26.014178155285,25.7502883596753
"P60709,Cont_P60712,P0CG38,Q9BYX7,P0CG39",19,19,19,19,19,19,0.302797483560852,0.46230325301359,30.4557728008035,30.6841043137174,30.4583855370154,30.9808492031244,30.4955909249869,30.6862397422311
"P63104,Cont_P63103",13,12,13,12,12,13,0.236001881565814,0.396991365672287,31.4969442444419,31.4429492242518,31.3577531739089,31.5199223053335,31.6761797975733,31.5462541806135
"Cont_P68103,P68104,Q5VTE0",17,17,17,16,16,17,0.314615520888385,0.473545030734785,33.7374744502821,33.4779588008486,33.4644097509714,33.6812889212655,33.6722838592831,33.7388229880348
"P68133,P68032,Cont_P68138,P62736,P63267",2,2,3,1,2,1,0.0247865612598342,0.0880656483390681,30.2149149616855,30.2287717601847,30.427525900689,30.7331010190787,30.5493015117316,30.7128874095259
"Cont_P81948,P68366,Q9H853",3,4,3,4,4,3,0.3955134240931,0.547822093372408,26.8309917220958,28.0000269612119,27.3846821879827,27.9775934904622,27.6198775680623,27.5034107468786
"Cont_Q2HJ86,P0DPH8,P0DPH7,Q6PEY2",1,1,1,1,1,1,0.900603431169457,0.934399102341383,31.3401256868193,31.5598728246203,30.8179146823857,31.4243972453887,31.1209860174648,31.0835884236824
"P07437,Cont_Q2KJD0,A6NNZ2,Q9H4B7",4,4,4,4,4,4,0.11638788677021,0.257748320119272,32.8999368102017,32.4944638794644,32.7497717348224,32.9863186721775,32.9493169683982,32.9851559259876
"Cont_Q3SYV4,P40123",1,1,1,1,1,1,0.110504403575181,0.249812234444983,28.4912999492218,28.2821762664305,28.2558771990676,28.9322474033834,28.5128091528471,28.516176302503
"E9PAV3,Q13765,Q9BZK3",4,4,4,4,4,4,0.0311437267099259,0.104315478157623,30.5932562886529,30.6236438664998,30.3891376352473,30.9346032009327,30.83048553369,30.8564635492922
"O00115",2,2,2,2,2,2,0.975127451366529,0.98397067753464,24.250481065777,24.2485182590324,24.5797992441724,24.016658176538,24.4684552530295,24.5744977128685
"O00116",9,8,9,8,8,9,0.216684652365774,0.377440009199184,27.5223579555704,27.3384121113222,27.7005605432422,27.9853058992044,27.4783935744504,27.8604230266394
"O00139",5,7,6,5,6,7,0.416411458641565,0.567341984458064,25.7277421453434,26.217364932587,26.4669222672619,26.1669434644872,26.4005192068155,26.4144521050455
"O00148",7,7,8,7,7,7,0.835983245882405,0.890648194235295,29.2872438666919,29.1578532584022,29.1362323232112,29.4666175908947,29.118668104636,29.0913154007086
"O00151",13,14,14,14,14,14,0.176377392111201,0.333177740978562,29.2828280067722,29.6009259309558,29.386369651492,29.8981807279476,29.6890413582079,29.4502753910419
"O00154",5,4,6,5,6,5,0.277395798425326,0.437708189486957,27.7521393561362,27.6960549820786,26.6151447453247,28.1810545639903,27.6137235678948,27.5750856555263
"O00161",5,7,7,6,4,6,0.157673872813295,0.3107162884554,27.4841431531214,27.033260995975,26.9679437495595,27.0074477806314,26.6412121665395,26.9068365204352
"O00165",2,2,2,2,2,1,0.542712252429408,0.674987267061875,24.3302755784063,24.1837035754324,24.4410960661085,24.719851305479,24.3272750554014,23.0721341245732
"O00170",7,6,6,7,5,7,0.594729570824716,0.715683540517635,27.1152118541368,26.5608984530215,26.7576592977922,27.3452389944388,26.7101835050126,26.779032696733
"O00178",3,4,4,5,4,5,0.00906230232819167,0.0418020457241764,25.506580648958,24.9246840753742,24.9142232651857,27.1340633331458,26.3804980735345,25.9153057216416
"O00186",2,2,1,2,1,2,0.989776214782299,0.993259809027023,24.2931814511925,24.142726975361,23.1173907466247,24.3734332019038,23.4641870743242,23.6998006457527
"O00193",3,3,3,2,3,3,0.450125662862053,0.598331373536331,26.6226364760158,26.5517280849092,26.6963466731016,26.5145320379218,26.7480794776244,26.982069416013
"O00203,Q13367",7,6,6,7,6,6,0.216388057403332,0.377067348309397,26.3248800144498,26.3685574562117,26.3110515311361,26.6666478911943,26.6641846762325,26.2823035645409
"O00217",2,2,3,1,1,2,0.299646283490495,0.459491208498702,24.4210654363154,24.5476897476583,25.7755352156248,25.8781765012643,24.6568266057612,25.9659370077489
"O00231",17,18,18,18,19,19,0.0802846781063161,0.201607104299127,30.3343234351206,30.260249282848,30.1305107126243,30.5781927032764,30.5013456897317,31.5186661614263
"O00232",11,11,12,11,11,13,0.507169035990631,0.648278269035937,28.5572877178721,28.4960365135386,28.8394324374879,28.5008386424754,28.7553049725291,29.0248849112738
"O00233",6,6,6,6,6,5,0.886030329964977,0.925733501175707,27.446397726473,27.4915105620751,27.5085006312666,27.4854148179343,27.6417026844932,27.2578831539132
"O00244",3,3,3,3,2,2,0.227258404839501,0.387716096812941,26.2433896382637,26.6378262826846,26.5649381945005,26.8631171759752,26.6533929271002,26.5733758553298
"O00267",15,17,15,16,13,16,0.0962597575449586,0.229536340497494,28.3621284759961,28.4184087053187,28.2741841896198,28.5849205267933,28.5194080105382,28.5852003131184
"O00273",7,9,8,7,8,10,0.623215975500686,0.736557326485525,27.0685869164818,27.1418063821546,27.1263539766865,26.7269704701997,27.3251796669469,27.6775119779186
"O00291",1,1,1,1,1,1,0.0598407222312362,0.166686633501792,20.5510492476671,21.9115847500075,21.3715060405225,21.6278670427014,22.6992039138441,22.7082416939746
"O00299",13,13,13,13,13,13,0.442653343364862,0.591737139655907,33.5562448422673,33.6651535699252,33.3902965471732,33.7143833225552,33.5702273505862,33.6343552288404
