"protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","log_fold_change_","differential_abundance_pvalue_","differential_abundance_qvalue_"
"O00468",4,NA,5,NA,8,NA,4,NA,6,NA,8,NA,NA,NA,3,NA,NA,NA,12,NA,NA,NA,5,NA,12,NA,NA,NA,NA,NA,4,NA,6,NA,9,NA,NA,NA,17.5242839296434,15.6909624142769,18.0178350737846,19.153150546498,20.4925466222678,16.0197633706052,-Inf,14.4754827107476,19.2131525933311,16.856698734539,14.513472861096,19.7584951026319,16.5811383218979,17.5802649030449,15.6293323161897,14.4487097812638,20.0434126297607,-Inf,18.0585511483823,18.9719367590766,-Inf,16.8852602923158,16.8006903603808,14.8653507788177,15.5590560428355,-Inf,18.4979831892427,14.395871823487,17.7227585071066,20.1141218786034,17.2168542828747,15.5005835100481,-Inf,16.2858553778407,14.8537019181464,-Inf,19.0188886765813,16.6381690248693,-1.42661380881961,1.5739843030147e-06,1.49819987361029e-05
"P06753",7,7,7,4,6,4,7,6,5,6,6,7,7,3,5,5,7,5,8,6,4,5,5,4,7,6,5,3,4,5,6,6,8,6,6,5,4,7,20.2591931031103,20.1214008176165,19.1649821160906,20.9499524039077,21.0414781235905,18.7790787545062,19.6291818021527,20.5344945439815,20.5725279399482,19.5580429762712,18.9201391253165,20.2200538509116,20.2924201223774,19.7962547708739,19.7796680534435,19.7265198052636,21.378530480036,19.1922459042886,20.0635004178345,20.1557072174559,20.6491580625407,19.6552977012901,19.5990813294881,19.9330738010482,19.6266704062773,20.033512813071,20.0708475779506,18.8875333519668,19.5843897588693,20.47723984735,18.4261898923115,18.978318142603,20.3180558450468,19.6147774258643,19.5294938088628,19.5514899405687,19.5477112804783,18.7598847808575,-0.326033360606403,0.00323828415199723,0.010501438827297
"P55060",5,NA,4,3,9,NA,2,NA,NA,NA,2,NA,7,NA,3,NA,5,NA,11,NA,8,NA,5,NA,2,NA,3,4,7,NA,NA,1,5,1,4,NA,6,4,18.5642958358837,18.9354756141135,21.791522248225,19.5755129339252,20.6909980834417,17.3297975041922,14.1361096787057,14.4600545929083,19.1982065422863,17.7526145576483,18.2075886521582,18.3455855216387,18.7277872722733,19.1064870067153,22.3389149807156,17.8246542704164,19.3758521614429,14.8599774899538,17.8614393170168,18.2329770700576,18.5645255612143,18.7451848240455,18.3551154252192,18.387624537066,18.5996402706278,22.2756186811663,18.1165247372472,17.6142172916094,18.4706992320915,21.9862058009759,17.2192040696644,17.138418009249,-Inf,17.615676742565,17.966558979395,17.669304703602,17.649192878184,17.194532240692,-0.687528944986959,3.23379955184713e-06,2.87822159246653e-05
"P51452",4,4,3,4,3,2,5,3,2,2,4,3,4,3,1,4,3,3,NA,3,3,2,3,4,2,2,1,2,NA,3,2,5,1,3,2,3,4,2,19.8694815962494,19.6581523814334,18.606622927871,20.0395503923233,20.7731531539539,18.2090822517894,18.940061587382,19.5480794835087,20.3590732882059,18.7492005906319,19.136817965064,19.4986522447112,19.9940510196195,19.9582174918079,19.5257915987167,18.8907426583759,21.034051445476,19.187011742167,18.7943078844659,19.5209919885882,20.1222476219907,19.6481462920231,18.8943356631516,19.1227933775841,18.4894930791264,19.7335263611769,19.3135781125538,18.8731122942019,18.6800183869854,17.7128141462816,17.5686401184234,18.2037301315012,19.3754983655342,19.3439565676035,18.8896761214203,19.1021077060208,19.4263938619004,18.6750231890325,-0.0569658463998062,0.433640591197987,0.643264830810289
"Q9Y277",7,7,6,7,6,5,7,5,2,3,7,5,7,5,7,5,7,5,6,5,7,7,5,5,5,7,5,6,6,7,7,4,5,5,4,6,6,5,21.0764711158684,20.0807746374157,20.0373792724243,21.8990108789848,20.9147345967421,19.0226619730377,20.1036317552251,20.5530182198963,20.7302356872578,20.4135726373076,19.9502115435008,19.8913594053729,21.3844733627579,20.7438212161087,20.3696238732212,20.2778456360311,21.8070244932637,19.492318480202,20.3074220672872,19.7612613315075,20.9176833898558,20.7635563291082,19.5048596802295,20.8000123198634,19.1412647892974,19.9069186992005,19.3942677881434,19.9986303950682,19.9399167960241,20.6028276870646,20.8307872220594,19.6484667402931,20.1449477207529,20.4860317520583,20.0087906436495,20.7655823889859,20.8498095181222,19.5460348424023,-0.0330858579429924,0.647986407002188,0.909392527506142
"Q15293",8,7,6,1,6,3,5,3,NA,5,4,8,5,4,5,5,5,4,7,4,6,4,7,4,5,3,4,7,7,4,4,4,3,3,NA,4,NA,4,17.5870124841825,18.2926654188583,18.9036695070561,19.8057123485204,20.5834181371254,17.5107211266132,18.8627506526846,20.1669140666586,19.9799195302283,18.2324507459526,18.2546154479978,18.8660004142396,19.2898075788921,19.5594071069046,19.5662450003921,18.4339465818546,19.3447615418021,18.4565006070928,17.9990211691445,16.5297034036405,19.2048212670894,18.1652069794351,17.258865673592,18.8919245187328,18.9289992060539,19.0032616606516,17.4906281166412,17.9971152701713,18.217826993159,18.8029319413428,18.0171133831919,17.2725001571737,19.4180202672629,18.3376871082593,18.3334968903554,18.6417277215631,18.3902412178671,17.7798485133544,-5.48572968695944e-24,0.999999999999934,1
"Q5R3I4",5,7,6,9,4,5,6,5,4,3,1,5,5,6,4,6,4,4,2,5,3,7,3,7,7,6,4,10,4,6,3,4,3,6,6,4,NA,7,15.8350523331236,18.650023988485,18.1172679812192,19.2392185556734,20.1697204866629,18.4967763309861,18.3117345671524,19.2669129937727,20.0917847749266,19.6501279290927,19.7992126353343,20.5477928492397,18.6729024744531,18.5232909532452,19.8349080465256,19.0500808617839,21.9956507006876,19.0261167581972,17.4284356808915,17.8552016275555,20.9297493706584,20.1107380935768,17.9940782275785,19.6484340934989,17.371527892109,19.6925312682643,18.6714118801299,19.5017937487846,17.8516228399192,17.8108709347087,17.1117986360713,18.4233598007626,18.626659006376,19.305266713885,19.5619087010647,19.6041888175446,17.4985180711867,18.2694830924391,0.842222180071453,2.45289609770596e-06,2.23700257582608e-05
"O60784",5,NA,NA,NA,5,NA,6,NA,1,2,NA,NA,3,NA,NA,NA,1,NA,3,2,4,2,2,2,3,2,4,NA,NA,NA,3,1,1,1,2,1,4,1,18.5033258651199,18.961446497039,17.8341945987959,18.7257073339058,20.5110015985189,-Inf,16.8531189113599,18.106005274067,18.0884187404593,17.5319703459024,17.9083792323562,18.5879654025948,18.6045871368794,19.2725487603856,18.5176000275117,16.5600486004348,19.9374150561145,17.6440309520212,17.3711109281549,18.687659003133,19.1885972137836,17.583115547157,17.4671081284427,18.4935210021838,17.4746125091544,18.6632504379297,17.6016965220569,15.4843353182232,17.9797771550557,18.5207769695532,16.7330046250205,16.3458591296564,17.842338407016,18.1614161169953,17.8218911081333,18.0199106875353,17.2190771083096,16.6806594998175,-3.84503706576547e-20,0.999999999625758,1
"P80723",2,1,NA,NA,NA,NA,NA,3,NA,3,4,5,2,2,NA,2,2,NA,3,5,NA,NA,2,NA,NA,3,NA,2,2,3,NA,NA,4,NA,NA,NA,2,NA,17.6035310830512,16.8980788762133,14.5154242693652,19.4186566936692,18.398622815919,16.4525650532404,16.6812004219738,17.8246563825112,14.2137186593149,17.5913144730413,16.9701776702776,17.1326423144497,17.9434857174872,-Inf,18.1177176190351,18.5493277717482,15.6453713132981,16.6986912532417,18.6120998075791,15.7484174755876,19.5686800148809,17.8297170906515,17.5555167321586,18.5767057218278,18.1050184638875,17.2741270208668,-Inf,15.9413202582221,16.6489926617824,18.5452203045192,13.531288606302,17.0549345347874,18.3251198674241,17.2579919743274,16.5043587168681,19.070752852388,18.6610466019251,15.851219161235,7.82162454939151e-21,0.999999999889994,1
"P35475",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,16.2799150208154,16.1269050095247,18.640310942906,13.8974433643268,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,15.3123534627343,-Inf,14.8355238448993,17.5198111529729,-Inf,16.0515197741909,16.4770206271329,16.3491397783904,-Inf,-Inf,-Inf,14.6116107494001,14.9567271530336,15.9721204839049,14.3291938876284,-Inf,-Inf,-Inf,-Inf,15.1035950387872,14.9394785037447,-Inf,-Inf,17.2008674138381,-Inf,-0.762748915256688,0.00888650640487771,0.0243608762245714
"O95425",6,NA,NA,NA,3,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,17.0949962108463,15.9838385412839,-Inf,18.2851776335947,17.5456322310436,-Inf,-Inf,-Inf,-Inf,14.1831813154413,-Inf,15.6069911468307,-Inf,-Inf,14.3251823979258,-Inf,18.1231003802093,-Inf,16.7063229611866,16.8718330390993,15.2138834155457,15.4738615190599,15.7308422251068,16.0573673957244,13.8925032931308,13.5792001337536,15.3033696466835,14.6143669566605,14.2643530469445,-Inf,13.0481249714623,13.0829329723345,14.4620781969428,14.3728728622453,14.4787053624149,14.763393057811,17.4504899520457,-Inf,-0.518645622029115,0.0228315197856074,0.0532217740127084
"Q96T51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,14.8847975729343,16.0350022217724,-Inf,-Inf,-Inf,-Inf,-Inf,15.3673465595645,-Inf,-Inf,15.1489699588861,-Inf,-Inf,-Inf,-Inf,15.7139168835721,-Inf,-Inf,-Inf,-Inf,-Inf,16.4252490059071,-Inf,-Inf,-Inf,14.5188108092934,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.61448597117157e-21,0.999999999999999,1
"Q15020",3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,17.2541208956109,16.898754308021,16.5211919244445,18.4100278081786,19.2783974977593,15.401156987235,14.7014591556784,14.983472504218,18.0293893188506,15.9311956600094,14.8605136717377,14.7760897947851,16.6130943836628,18.4659364754277,15.2163998457219,15.5191569544634,17.9920056844394,-Inf,14.0842874094145,12.9307194720453,17.1255635020247,16.6837989713725,16.6808709647701,16.1916455448793,16.3539700251323,15.005632712054,16.3713797879979,-Inf,16.1215175969999,18.0610638383128,16.7988692067826,15.7598979373428,14.369847573021,-Inf,15.7368181813925,13.3635154105116,15.6289306891187,14.1947293470753,-0.6855660765223,7.87838790105189e-06,6.04401698677712e-05
"Q9BUK6",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,17.2170660901296,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,17.2699468517165,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA
"P35606",15,3,10,11,20,7,11,8,3,4,9,3,10,7,8,5,8,2,14,12,9,8,10,8,10,11,11,11,12,10,13,8,9,7,7,5,14,11,20.4118242584039,20.531325553606,19.8001825466517,21.0506004096202,22.1803240931391,18.7285188495409,18.7145878109802,19.1109493036442,20.7156596163448,20.0432257156476,19.5269008458796,20.541787641869,19.9353722800312,20.6396610696065,18.3232447942486,19.446881001834,21.2863115881309,18.0632623931638,19.753245920862,18.7938092651565,20.7300721655296,20.0424688132183,19.5911068525191,19.881928730626,19.8751567820019,19.7168227521207,19.7412820562312,18.9496905344167,19.8217522335711,20.9776358036132,19.664290805971,18.7863691482498,18.6448341366671,19.4802969684365,19.6287223937841,19.8552899859658,19.9871838059456,18.6517972922595,-0.706039543238975,8.94361427705713e-07,9.24023666011531e-06
"P53985",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0223591636822,-Inf,16.6987200732628,15.7104759368492,17.6900314366847,15.5631955024739,-Inf,-Inf,17.5507473709546,16.0826543995784,-Inf,17.5855074140231,16.14139846821,17.6409669215387,-Inf,15.9047585053737,17.1046371909587,-Inf,15.152791342693,15.2936365819636,-Inf,16.8043295736626,15.639046875974,15.4759859892996,17.3731704675886,-Inf,14.2114384949263,16.1637083379433,14.7675838699394,15.4359638194531,13.2860552956261,15.6762998701762,-Inf,15.0231289075492,15.766698919429,14.6534700752274,-Inf,13.2915681425624,-0.376893506252108,0.0327946916037226,0.0706770292843329
"Q5HYK3",1,5,4,2,NA,NA,NA,NA,NA,3,2,4,3,1,4,4,NA,5,NA,5,2,NA,2,3,NA,3,NA,4,NA,3,2,2,NA,2,NA,1,NA,1,16.3931561098261,18.1495782137559,17.5188031278823,18.5501587242513,17.3409106645358,16.9223356442067,17.7148988491026,18.9190764107042,18.913582418622,17.9318884569198,18.1690557773552,17.1873963738134,18.2919412676943,17.6277368120681,18.3830040003073,17.1337513378961,18.9083057154619,18.1749031432742,17.1759595498044,16.8389809912734,19.1012817529632,18.7271551552483,17.651155078001,17.9884150650837,16.8537608284895,18.3598505802866,17.0426453106266,17.4819879554501,18.3064004584773,16.5942116126464,16.6707458527242,16.8455427524907,18.3662250561551,17.8590542749764,16.8031531817352,18.0284018027103,17.2773768349425,16.8956220195948,0.273616824724042,0.0250055373090521,0.0571237607860124
"Q13045",6,NA,5,4,6,2,6,4,3,NA,NA,NA,6,1,3,NA,NA,NA,2,NA,4,5,NA,NA,4,1,3,4,3,5,3,NA,5,3,9,2,8,4,18.3152755270201,17.9184221112795,17.1325130288029,18.5473102214084,19.7495799781851,16.6175317183905,16.3641680105159,16.7910090621749,18.2680488145731,17.7503029913795,17.5565419180362,17.8301231252661,18.5893063846826,17.5547516271787,17.0741139842766,17.3828716355409,19.4464939286596,-Inf,17.5937937792513,18.0454338778327,18.0965265346583,17.8585152628632,17.3318813554133,17.8305794268087,17.5382168635225,17.4225133740816,18.3822479376859,17.0489694609878,17.4123443809746,17.6170485961954,16.6819682082283,16.5692703711705,15.4162520652715,17.4082435511763,17.6918018939728,17.5883311518257,17.1789173798145,16.83651296193,-0.417780999568759,0.000933245869050653,0.00371132206338132
"P49257",7,NA,8,8,11,3,8,4,2,NA,3,NA,5,6,6,NA,5,NA,5,5,7,6,4,5,7,7,5,7,7,7,5,NA,6,5,5,5,NA,6,17.90374906471,19.8249701144424,18.794769220246,20.5447222448348,22.2334828266613,18.3003800394663,17.6539097484578,18.2942698838903,21.3197661926591,19.7517848985667,19.3518952213641,20.0749189657334,19.8726098291983,20.855313710363,18.2860208955982,20.3354209129718,20.8878726626364,17.0917014192098,19.3471084264471,18.6049840471409,20.55167798869,20.3275795621099,18.8306070251541,20.2316469804892,19.8236404620617,18.6744688698909,18.8206018443039,19.1870678500203,20.0243148037706,19.8056577490432,17.8648084311451,19.2288005888073,17.7888652731951,19.4228853647211,20.1475144994456,20.4621180439991,18.9669648756389,18.6564142655469,-1.37251885225155e-20,0.999999999828927,1
"Q12882",NA,NA,NA,4,6,5,NA,2,NA,3,1,2,1,4,5,1,1,NA,NA,NA,12,3,7,3,NA,NA,6,7,3,3,NA,NA,NA,3,NA,1,NA,3,16.1886828426282,19.4156176526163,18.2971759049987,17.5214120037512,18.7446642879636,16.2895208848583,17.2583366328632,16.7894148894829,-Inf,18.216052562397,19.3903260263567,-Inf,16.7848593762958,19.7063123592211,17.7210466239898,17.9206771587294,-Inf,16.52258245385,16.9322115155811,14.7052651248686,18.6460431370101,19.2474813624474,17.4142428709884,19.3865015012926,17.7790863322992,18.5210552161957,15.5260296153718,17.3702164161559,18.6972963584598,-Inf,16.5707486066426,17.8592210677176,17.1873951325392,18.5467763177633,18.4689999579003,18.5725629693996,16.499575919449,17.4718568431215,4.2694500527943e-11,0.999990745667096,1
