"","protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_1","abundance_control_1","abundance_hcc_2","abundance_control_2","abundance_hcc_3","abundance_control_3","abundance_hcc_4","abundance_control_4","abundance_hcc_5","abundance_control_5","abundance_hcc_6","abundance_control_6","abundance_hcc_7","abundance_control_7","abundance_hcc_8","abundance_control_8","abundance_hcc_9","abundance_control_9","abundance_hcc_10","abundance_control_10","abundance_hcc_11","abundance_control_11","abundance_hcc_12","abundance_control_12","abundance_hcc_13","abundance_control_13","abundance_hcc_14","abundance_control_14","abundance_hcc_15","abundance_control_15","abundance_hcc_16","abundance_control_16","abundance_hcc_17","abundance_control_17","abundance_hcc_18","abundance_control_18","abundance_hcc_19","abundance_control_19","log_ratios_control..vs.hcc.","differential_abundance_qvalue_control..vs.hcc."
"11","sp|P01024|CO3_HUMAN",52,26,39,38,59,35,43,25,46,31,46,30,33,30,35,32,40,27,40,54,52,42,27,28,53,42,31,49,38,32,19,28,50,41,48,25,33,41,25.1114735202908,23.6441170294782,24.4712737016034,24.2108465516832,25.9948088343868,23.1158295007099,24.8317385624032,22.1412083035176,24.5494957430436,22.9316079723944,24.3089111360629,23.4534106863505,23.3869297233899,23.5902789954315,23.3158329679557,23.8769529408595,23.5957279048087,22.6639944050885,24.3850041015686,25.4757038728363,25.2514426805289,24.1216803737861,22.8085969864582,22.9005253237205,25.4743093767633,24.4888171391917,23.678569193223,24.6975252422829,23.5959649364167,23.0566603694913,21.665406294497,23.2866267094437,24.8365756998883,23.8698153994462,24.2177175409992,22.3225985338347,23.6126183675876,24.2158755519868,-0.5804380194917,0.00078704649818403
"12","sp|P21333|FLNA_HUMAN",42,8,16,24,53,27,16,30,25,1,37,2,18,15,30,11,28,1,30,23,8,29,15,9,23,18,20,32,29,19,22,6,64,15,26,12,41,24,25.531949423203,21.262802984617,23.0167824488879,23.6869628493266,25.9451186387943,23.0752290806624,23.3363793407759,22.7826571424331,22.7495881554126,19.5080143935517,24.2339404133172,20.030515761054,22.5101050826622,22.1406421052356,23.5929585904972,21.90829356682,23.2663659304347,19.4101925329412,23.6833697868046,23.6562249523091,21.4507136404535,23.148317531129,21.9132578601102,21.3259822843567,23.1478826503647,22.5758795403034,23.069538926113,24.5717115659587,22.8905613512646,21.9549210740156,21.8988030375184,21.1713994766686,26.4570948907957,22.3924551333611,23.2488428224524,21.1174680901453,24.3971445077247,22.963465515997,-1.45564536403688,0.00740003199603374
"13","sp|P05787|K2C8_HUMAN",24,32,33,26,26,27,37,25,45,25,34,27,14,22,37,32,30,30,59,36,24,37,25,25,32,26,12,26,25,24,14,30,30,35,31,32,5,24,25.6809244466449,27.6924228848946,27.3289145597662,26.440298153388,25.6265636161296,25.5933671852797,28.3177936295581,24.6292892429999,26.6245360073233,25.3463999739133,26.3236235351332,26.302401301813,23.3507534852217,25.097719356992,27.0192264158185,26.6281791808052,26.125734437854,26.1626585428376,29.0785182953293,26.9230277404182,25.2400401210727,26.9832229174218,24.4818280031132,24.8801039147332,26.1422711577719,25.640410443866,23.1560526695562,26.5020570023099,24.6438327449093,24.8504366712152,24.4377822913552,25.7976492574482,25.8549880039354,26.4106225344706,25.5420537937314,25.2651624680536,22.0485718500825,25.7408599367505,0.308541033963363,0.0305873925961234
"14","sp|P05783|K1C18_HUMAN",19,28,27,21,20,20,32,18,35,21,27,27,16,14,30,24,25,24,47,26,19,29,17,19,24,20,8,24,18,20,13,26,21,31,25,27,8,19,25.2339889636636,27.4266194912971,26.9809706308491,26.0981352387347,25.5710868117072,25.4804855191705,28.1127862765855,24.3449376192479,26.9487020339029,25.3284801795392,26.5029907921407,26.3875428925546,23.3305167461204,25.1941422911646,26.8647282620117,26.3873525132133,25.6663285813981,25.890216026835,28.8125234116975,26.8347693263523,25.0990832194448,26.8818024564802,24.1883814825089,24.7747102606284,26.0006067991468,25.549948902834,23.4854070244605,26.2248701839456,24.5201707227701,24.7253405640886,23.7689627764277,25.7596492872777,25.5439890135205,26.4260381997668,25.8796111054213,25.0538811491694,24.5238067189477,25.6311222006537,0.177126470012032,0.0305873925961234
"15","sp|Q14204|DYHC1_HUMAN",18,2,13,8,42,5,9,6,7,1,16,3,25,2,19,2,12,1,13,8,7,6,15,1,3,9,11,8,16,2,3,NA,20,NA,9,7,51,5,24.2056034076706,23.479133518274,23.8582781505432,22.1270706663423,25.5140273858513,22.2264132218132,22.3497647252989,21.7411910676995,23.9694002236196,21.0629394269766,23.2657284907779,20.9057327566721,23.6207076824865,21.8068993417974,23.4945615492941,22.9274417946589,21.1806327822648,22.70728139712,23.7053639788338,23.8273280686919,23.00732178077,22.6518231718777,23.4678282824861,22.6118183137231,22.9483758766462,22.4764582195166,23.4972001062558,22.776616962538,23.1030790226271,20.2001802196455,22.1311422971862,22.8575244216289,23.0230656503688,20.8991342286366,23.3753493149448,22.2946890320561,23.4963785061675,22.5825214935216,-1.10797957320543,4.97717963623695e-08
"16","sp|P35749|MYH11_HUMAN",22,5,4,9,29,6,8,10,4,3,9,3,4,6,5,4,4,2,7,7,4,7,5,3,4,6,6,9,5,7,4,3,61,4,8,4,10,7,23.8609875801914,21.7170630442273,22.6419387266841,22.4872432695446,24.7725730270259,21.8405559922665,23.1045995533381,21.258293145042,22.1644886809518,20.7375989016424,21.5781354010279,20.4986374205604,21.4836710201796,21.6657213779303,21.7718763966774,21.0823373240504,21.6732728393205,20.1545054022571,22.5600390151024,22.4644637377168,21.8138002696996,21.8364293083814,21.7550811288948,21.3371686259394,21.5440357241568,21.9335853090947,22.2600392881252,22.8755772611191,21.7539646666574,21.1947869070503,20.9001194354436,21.5430143507696,24.8553556470516,21.3181117786146,21.7048779743406,20.9447058994059,22.8793047554371,22.1539691315597,-0.843915418059647,0.044993794900661
"17","sp|Q13576|IQGA2_HUMAN",15,29,46,40,25,29,53,16,20,34,4,26,31,25,31,28,25,16,9,30,5,27,9,20,31,35,24,31,41,26,7,28,9,27,28,31,NA,31,22.8191352682137,23.3979701649976,25.1125297067648,24.1472931326629,23.8467951646893,22.8777285070158,25.6350254678309,21.3185450162506,23.0192625627198,23.2017087539314,20.948778486615,22.9845861275583,23.1851060530749,23.4009875472422,23.4865235121331,23.4298604190228,22.6147221987344,22.1567992241905,21.3515264557072,23.9998062485341,21.005581206238,23.0377076393187,20.9606116467835,22.8647221231228,23.4443064410016,23.8034055167754,23.366581820066,23.5594328751951,23.4715314665536,22.5113716746187,20.5381387154828,23.4863965815979,21.3441853606411,23.0643531648612,22.9437404024236,22.6796243093982,21.8315803724593,23.4602538991039,0.445099506171868,0.209840045241604
"18","sp|P35580|MYH10_HUMAN",16,9,6,22,34,23,20,15,7,6,13,10,5,11,13,9,5,4,14,12,10,24,5,5,14,13,8,26,14,18,4,4,45,7,12,6,23,19,23.5870416479246,21.0096123494065,22.4443031546887,22.8173062281618,24.8617507645645,22.1084802690227,23.6927869196601,21.4865672109711,21.8806185072145,20.1479121494199,21.8991153273998,21.1767019917226,21.4286107693493,21.7945516116028,22.0859298032332,21.4716394958178,21.4143152923782,19.668298448261,22.5688412276091,22.7996486194016,22.0535863779273,22.347761384953,21.7453064662164,21.326491069527,22.0442818780721,22.0038385292107,22.3166091286482,23.3851011614451,22.0455023875437,21.5658600250659,20.6660989320216,21.0440038222994,24.407352315429,21.8196213021155,21.9518588268175,20.8390925651979,23.3975028205916,22.5610418826831,-0.795678022684422,0.0833286586266813
"19","sp|P14625|ENPL_HUMAN",32,32,34,30,41,24,34,26,32,31,26,31,20,21,32,31,30,30,40,34,39,30,28,25,31,30,31,31,32,27,22,34,31,34,33,31,23,33,26.1512107582143,26.3711540766489,26.2327053398592,25.6847486204216,27.1249460798885,24.7930884794612,26.9096403379536,24.2878126884518,25.3692654541264,25.3342054860483,25.1427541562318,25.8932837530617,24.5089496592264,25.0905439059916,25.2006596319386,26.0955264435217,25.1004777161908,25.0255382058949,26.1949310007046,26.3617842486549,27.2080266732505,25.339988601504,24.9416367297443,25.0804377755113,25.3847589864372,25.6869991706501,25.4922947718856,25.758097735812,25.1883034494827,24.5420383204006,24.3067584502752,25.4432950409034,25.0303903169325,25.4448135810386,25.5195753087773,24.6410622489828,25.0236836367939,25.4973012351745,-0.192592044198921,0.189056869181903
"20","sp|Q9Y490|TLN1_HUMAN",42,4,14,25,43,22,26,21,23,4,22,2,28,13,19,12,21,NA,22,31,23,29,19,15,31,24,23,37,29,21,16,10,39,14,17,14,32,26,24.0129598424251,19.857225679265,22.2193045857955,22.9602143626592,24.6093582196105,21.9860683094699,23.5666452106296,21.4157799293003,22.5207893858915,19.2265480176609,22.2890914382458,18.9336499725543,22.8711432704351,21.3585739410214,21.7352242168002,21.0623997975249,22.0367959022114,17.7898484360256,22.0948460499341,23.6083506020073,22.7040463128082,22.422882317503,21.8297381204586,22.0007451803256,22.9256758557537,22.3625966791228,22.574971797171,23.4029014626922,22.4849466454137,21.5228909779813,20.8121412602553,21.470135412751,23.6890259462257,21.8529278692799,21.8658064123159,21.1829978821089,22.9007945014962,22.673389094037,-1.19227258160982,0.0205696026954345
"21","sp|Q00610|CLH1_HUMAN",38,4,32,31,47,17,30,23,23,7,33,3,40,22,33,5,32,3,33,31,32,25,31,23,35,30,31,33,39,23,31,16,30,20,26,25,49,32,24.3394804773795,22.1456579287169,24.2056818527637,23.8045263285867,25.9231064691901,22.4270749414154,24.9605737349562,22.5150440876526,23.911581527062,21.4902971063307,23.7175727820265,21.890003892451,24.5896216611775,23.1119939920587,23.3552623664026,22.3153034085986,23.5812765648228,21.7967595199593,24.052064340675,24.3259157408096,23.9626409935332,23.0473397891321,23.5179753262026,23.3689365486398,23.9437329812998,23.5615840736762,23.8946591258826,23.9110814298322,23.5201954264215,22.6792378202063,22.6933110492345,22.8807084579671,23.3124164369556,23.3412166556636,23.8205037752018,22.5470237114756,25.2383575036876,23.5363629575697,-1.14968136863858,6.50288048874581e-07
"22","sp|P12111|CO6A3_HUMAN",30,10,10,32,35,10,21,13,27,1,21,14,5,20,NA,13,19,NA,9,1,3,14,6,4,39,8,NA,3,31,5,30,6,34,4,7,7,12,NA,23.7424502762735,23.2549056332962,23.1912297406255,23.74918630161,24.6283936962687,22.5752770195623,23.0194108743262,21.7186496162313,23.2915717757362,22.6909880917449,22.8162906329348,23.0763517655463,21.2444689457265,23.6030419843477,21.8803778637164,22.3060477786003,22.2171629867534,20.9987121352038,21.5061152939295,23.0761199570044,22.5015797980909,22.7400516498887,22.0697729414494,21.2079967462678,23.9427645100966,21.6729883100599,22.3843035491641,22.2302896348937,22.9680832441313,21.629912305386,22.9386883451954,22.6954132060128,23.101517936077,22.9506754939877,23.0469286462489,22.2261843193148,22.1704911336723,22.584601865359,-0.298642546110474,0.549972297223707
"23","sp|P78527|PRKDC_HUMAN",20,NA,17,3,53,2,4,4,2,1,6,NA,21,2,6,NA,11,NA,24,2,14,3,21,2,5,2,3,6,26,1,13,NA,3,1,7,1,14,2,22.5117298557555,20.248524947971,22.5241328852938,20.9374057046831,24.621111625358,19.5227822853482,21.0708363480045,19.1713648155324,20.9681193767075,20.3549601056141,20.5472504035074,20.1895419707782,22.2908385393921,20.5437568533759,20.8978461058041,20.1184787029385,20.9874981450765,19.6988269342256,22.4531113472024,20.7520162350942,21.5541668982395,20.2057267405275,21.853886700736,20.4247582053782,20.3885719207,20.4424315213894,21.4989682312066,20.4717098208783,21.9782083964997,19.3171847234773,20.7200044528431,20.5827019150187,20.2772113343977,20.3300009016853,21.0145747533915,19.5519637713063,21.3462971635431,20.2774396557842,-1.38751519329751,3.06871339292569e-05
"24","sp|P11021|BIP_HUMAN",34,29,33,25,41,31,35,28,34,32,36,28,32,26,30,26,31,28,36,33,34,31,30,29,33,31,32,24,31,28,23,31,32,34,36,35,32,30,26.4318667381515,26.0434896032064,26.1987551120228,25.2840028187093,27.1563440539151,24.5287239145534,26.5396106146,24.0238091646655,24.9853582474997,25.1560812241203,25.5471843769504,25.5012776531435,25.3228433025812,24.8188291592312,24.0648555629744,25.7062494848267,24.8947926969801,24.7354339294214,25.1404132231986,25.9443656961462,26.5408349083528,25.0449071826551,24.8706289548118,24.4115884382315,25.6201630976521,25.5213216314817,25.4088068052839,25.3732953105502,25.5733759476137,24.0560224383233,23.6516217463768,25.087358272009,24.86622310635,25.0577234022922,25.2889640506336,24.3601450170024,25.2143796018357,25.2977396861408,-0.387613585319689,0.167767510714075
"25","sp|P11498|PYC_HUMAN",10,22,26,29,22,24,21,26,33,27,27,26,32,25,33,32,20,22,13,44,21,33,23,33,34,36,35,32,19,28,23,32,16,34,18,33,4,36,22.1805027326264,23.8713235995471,24.4190177446144,24.8000379461587,23.7216295085428,23.7270085675265,23.9551857034655,22.8664034854595,24.3966981897437,23.5198462981927,23.9341848674239,23.3109742476971,24.3540408329815,24.6121836865688,24.3014137194488,24.8051111139641,22.9956636543735,23.0650870512398,22.1847624705936,26.1939615847155,23.3766900506325,24.48886836686,23.5889410452598,24.3174915575721,24.8840106133356,25.1336152644691,24.9847427398681,25.0242443674305,22.6841498711847,23.4353490306263,23.486130776941,24.3021152389423,21.7697351594376,24.688311999763,22.3702300329658,23.8637995762542,20.1677516447525,25.7876325914101,0.950414958747668,0.017352403741144
"26","sp|P08238|HS90B_HUMAN",33,22,27,24,39,21,36,23,29,23,29,21,34,23,31,25,28,20,40,28,36,22,35,23,31,23,30,24,34,23,27,25,28,24,28,25,29,25,26.0630787065354,25.3809247167009,25.9397721694476,24.970214572695,27.1772172555774,24.1462025810265,26.5333442298366,23.8886048433938,25.1361447214281,24.6257243362234,25.2323553418241,24.8289655527048,25.9969716489989,24.4620210407124,25.2403390509455,25.0949037010186,24.912108320774,24.1661020788557,26.0537325283645,25.7408934854837,26.3487914931014,24.6840283787728,25.6375281193669,24.6952464547409,25.6961966789234,24.8619656745507,25.4639764268032,25.0464579352308,25.4211269182929,23.8411965327719,24.7033483181578,24.9224779705008,24.8015854218287,24.6939285480039,25.1079373031984,24.2401097264485,25.613476657888,24.9094038464116,-0.941034701844531,1.08948523154524e-13
"27","sp|P10809|CH60_HUMAN",20,26,30,23,27,22,24,17,29,24,29,26,34,18,21,28,26,26,18,25,22,26,32,26,29,24,23,22,19,20,20,27,18,27,27,25,20,25,25.045822639827,26.2842769606884,26.9137435102518,25.6766625930841,26.1655283944311,24.9322359319076,25.8642695678523,23.5482128005782,25.1818938225301,25.2630267239216,26.0793096395431,25.7614924940219,27.1000671625469,24.8101466915149,24.9083425906721,26.082592335631,25.4222534433715,25.8066442129919,24.1441117620085,26.2935092559518,25.2783842307332,25.2179068305352,26.3840820363793,25.5652123900587,26.2341484956161,25.5227207605681,25.5357625643131,25.4356700066257,24.4781394589225,24.2334573068586,25.8771650365191,25.8323617798715,24.2133989924204,25.7533952971742,25.020802800797,24.9534341482879,24.7721091477027,25.5480895366576,-0.110436170500469,0.189056869181903
"28","sp|P23141|EST1_HUMAN",25,34,37,30,22,30,36,23,37,38,16,30,24,30,26,30,26,25,10,33,26,28,23,31,30,33,40,33,25,31,25,29,22,35,29,31,NA,29,25.3541546640881,27.7411544391766,28.3266838918591,26.7595982933094,24.4311006959,26.3862770819572,28.3732939828141,24.695553495816,26.6721256428782,27.2662430982558,22.5550369030182,26.8092630601575,24.9536705468498,26.0919461931267,25.3344450200778,26.5447439834584,25.1123297319984,25.8203472703435,22.108940744278,27.3132643385929,25.6893444459235,26.2667180676395,24.3844992058743,26.85601891696,26.1783519516996,26.8932613453157,28.2834111385614,26.9801407982046,24.8226257731853,26.5284674650336,25.4959358840987,26.5899892705381,24.3489340966691,26.7609719610222,25.3859084676056,25.8040966457895,17.1190970548813,25.8475072079565,1.52766700475754,8.41537900646921e-13
"29","sp|P07237|PDIA1_HUMAN",28,26,27,26,34,28,36,24,28,29,27,24,22,23,28,26,24,27,32,33,42,25,25,28,30,27,28,22,29,23,19,32,26,33,32,31,23,24,26.134300185936,25.9500307633944,26.3100448183716,25.7947918365057,27.0239076168897,25.0355715253811,27.1077492997305,24.3447684832834,25.2502239522976,25.4046210908343,25.1718716013192,25.6470434537025,24.5294672532411,25.0566203520279,25.2404581397002,25.8991365377871,24.7281952891091,25.0318945030543,24.7393715846964,26.5496994887022,27.1165289444528,25.5089273003168,24.7504523551692,25.1869895366045,25.6962761809879,25.7048049593037,25.8291552001658,25.6838666227763,25.3550885204031,24.6081364701434,23.5255785157043,25.6636647218868,24.8711457150889,25.7390711539671,25.2906895134726,25.1547697551686,25.2227269625085,25.5960346843418,-0.0175151794769792,0.59390958419514
